 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,bHLH2_OE_(green)_(0-141_thresh.tif,40000,67.001,112.234,0,0,255,100.000,100.000,102.878,93.336,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2680050,0,1.078,-0.838,26.275,2680050,0,0,135.000,200.000,1.000,1.000,1.000
2,bHLH2_OE_(green)_(0-141_thresh.tif,629,255.000,0.000,255,255,255,25.869,18.262,25.869,18.262,230.350,0,0,45,52,44.432,18.025,122.452,0.149,68.118,160395,255,NaN,NaN,100.000,160395,0,0,130.236,29.931,2.465,0.406,0.479
3,bHLH2_OE_(green)_(0-141_thresh.tif,34,255.000,0.000,255,255,255,68.500,2.000,68.500,2.000,24.142,64,0,9,5,9.161,4.726,2.748,0.733,9.487,8670,255,NaN,NaN,100.000,8670,64,0,161.565,5.000,1.939,0.516,0.872
4,bHLH2_OE_(green)_(0-141_thresh.tif,73,255.000,0.000,255,255,255,99.856,3.253,99.856,3.253,34.971,94,0,12,9,11.749,7.911,2.189,0.750,13.000,18615,255,NaN,NaN,100.000,18615,94,5,22.620,9.000,1.485,0.673,0.864
5,bHLH2_OE_(green)_(0-141_thresh.tif,550,255.000,0.000,255,255,255,130.080,29.987,130.080,29.987,186.752,116,0,24,52,43.029,16.275,84.753,0.198,52.953,140250,255,NaN,NaN,100.000,140250,128,0,100.886,23.747,2.644,0.378,0.566
6,bHLH2_OE_(green)_(0-141_thresh.tif,377,255.000,0.000,255,255,255,172.792,9.720,172.792,9.720,160.267,157,0,39,23,30.002,15.999,176.779,0.184,40.522,96135,255,NaN,NaN,100.000,96135,157,0,164.249,23.000,1.875,0.533,0.546
7,bHLH2_OE_(green)_(0-141_thresh.tif,12,255.000,0.000,255,255,255,196.083,0.917,196.083,0.917,20.485,192,0,8,3,7.704,1.983,177.086,0.359,8.544,3060,255,NaN,NaN,100.000,3060,192,0,159.444,3.000,3.884,0.257,0.585
8,bHLH2_OE_(green)_(0-141_thresh.tif,128,255.000,0.000,255,255,255,71.633,17.148,71.633,17.148,45.456,67,8,10,18,16.938,9.622,93.641,0.778,18.111,32640,255,NaN,NaN,100.000,32640,70,8,96.340,10.000,1.760,0.568,0.892
9,bHLH2_OE_(green)_(0-141_thresh.tif,1338,255.000,0.000,255,255,255,103.688,58.886,103.688,58.886,348.049,81,10,42,119,98.008,17.382,101.393,0.139,123.227,341190,255,NaN,NaN,100.000,341190,84,10,105.051,33.470,5.638,0.177,0.448
10,bHLH2_OE_(green)_(0-141_thresh.tif,40,255.000,0.000,255,255,255,197.000,33.000,197.000,33.000,22.142,194,29,6,8,8.346,6.102,107.039,1.000,8.944,10200,255,NaN,NaN,100.000,10200,195,29,116.565,6.000,1.368,0.731,0.930
11,bHLH2_OE_(green)_(0-141_thresh.tif,630,255.000,0.000,255,255,255,82.625,62.748,82.625,62.748,188.652,69,30,27,66,49.025,16.362,106.119,0.222,68.154,160650,255,NaN,NaN,100.000,160650,72,30,104.444,23.677,2.996,0.334,0.578
12,bHLH2_OE_(green)_(0-141_thresh.tif,26,255.000,0.000,255,255,255,146.692,35.192,146.692,35.192,24.385,144,31,6,9,8.449,3.918,127.563,0.549,9.849,6630,255,NaN,NaN,100.000,6630,144,31,113.962,5.400,2.156,0.464,0.684
13,bHLH2_OE_(green)_(0-141_thresh.tif,47,255.000,0.000,255,255,255,6.330,41.053,6.330,41.053,28.385,2,36,8,10,11.039,5.421,116.917,0.733,11.662,11985,255,NaN,NaN,100.000,11985,3,36,120.964,6.565,2.036,0.491,0.790
14,bHLH2_OE_(green)_(0-141_thresh.tif,432,255.000,0.000,255,255,255,165.618,61.972,165.618,61.972,149.296,157,37,17,55,48.408,11.362,86.080,0.244,56.294,110160,255,NaN,NaN,100.000,110160,158,92,77.692,17.000,4.260,0.235,0.593
15,bHLH2_OE_(green)_(0-141_thresh.tif,36,255.000,0.000,255,255,255,187.139,47.750,187.139,47.750,23.799,184,43,7,9,9.303,4.927,127.182,0.799,10.296,9180,255,NaN,NaN,100.000,9180,184,43,119.055,5.657,1.888,0.530,0.837
