,Path,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Folder
0,noise 3 21001.0.png,40000.0,2.556375,25.403871865859728,0.0,0.0,255.0,100.0,100.0,98.89650872817955,98.67206982543641,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,102255.0,0.0,9.836704222438676,94.76074995974291,1.0025,102255.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
1,noise 3 21002.0.png,40000.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
2,noise 3 21003.0.png,40000.0,255.0,0.0,255.0,255.0,255.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,10200000.0,255.0,,,100.0,10200000.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
3,noise 3 21004.0.png,40000.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
4,noise 3 21005.0.png,40000.0,9.925875,49.32175936017524,0.0,0.0,255.0,100.0,100.0,100.62845215157354,100.38053949903662,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,397035.0,0.0,4.767696701389598,20.730931836441236,3.8925,397035.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
5,noise 3 21006.0.png,40000.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
6,noise 3 21007.0.png,40000.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
7,noise 3 21008.0.png,40000.0,255.0,0.0,255.0,255.0,255.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,10200000.0,255.0,,,100.0,10200000.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
8,noise 3 21009.0.png,40000.0,35.139,87.89703536650515,0.0,0.0,255.0,100.0,100.0,100.70355587808417,100.29589985486211,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,1405560.0,0.0,2.101598857095104,2.4167177561434467,13.78,1405560.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
9,noise 3 21010.0.png,40000.0,255.0,0.0,255.0,255.0,255.0,100.0,100.0,100.0,100.0,800.0,0.0,0.0,200.0,200.0,225.67583340707242,225.67583340707242,0.0,0.7853981633974483,282.842712474619,10200000.0,255.0,,,100.0,10200000.0,1.0,0.0,0.0,135.0,200.0,1.0,1.000000000106614,1.0,./content/Images1/
