,Path,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
0,noise 3 21001.0.png,1.0,39599.0,39599.0,98.9975,255.0,255.0,815.0538330078125,224.61659240722656,224.4669952392578,166.702392578125,0.7490684390068054,0.9899749755859375,282.84271240234375,0.0,0.0,135.0,200.0,10097745.0,255.0,,
1,noise 3 21002.0.png,1.0,40000.0,40000.0,100.0,255.0,255.0,797.6568603515625,225.6758270263672,225.6758270263672,0.0,0.7900192141532898,1.0,282.84271240234375,0.0,0.0,135.0,200.0,10200000.0,255.0,,
2,noise 3 21003.0.png,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
3,noise 3 21004.0.png,1.0,40000.0,40000.0,100.0,255.0,255.0,797.6568603515625,225.6758270263672,225.6758270263672,0.0,0.7900192141532898,1.0,282.84271240234375,0.0,0.0,135.0,200.0,10200000.0,255.0,,
4,noise 3 21005.0.png,1.0,38443.0,38443.0,96.1075,255.0,255.0,830.7939453125,221.32839965820312,221.15167236328125,175.86952209472656,0.6999072432518005,0.9610750079154968,282.84271240234375,0.0,0.0,135.0,200.0,9802965.0,255.0,,
5,noise 3 21006.0.png,1.0,40000.0,40000.0,100.0,255.0,255.0,797.6568603515625,225.6758270263672,225.6758270263672,0.0,0.7900192141532898,1.0,282.84271240234375,0.0,0.0,135.0,200.0,10200000.0,255.0,,
6,noise 3 21007.0.png,1.0,40000.0,40000.0,100.0,255.0,255.0,797.6568603515625,225.6758270263672,225.6758270263672,0.0,0.7900192141532898,1.0,282.84271240234375,0.0,0.0,135.0,200.0,10200000.0,255.0,,
7,noise 3 21008.0.png,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
8,noise 3 21009.0.png,1.0,34488.0,34488.0,86.22,255.0,255.0,920.0731811523438,209.62684631347656,209.4745330810547,155.02230834960938,0.5119566321372986,0.8622000217437744,282.84271240234375,0.0,0.0,135.0,200.0,8794440.0,255.0,,
9,noise 3 21010.0.png,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
10,noise 3 21011.0.png,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
11,noise 3 21012.0.png,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
