 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,F2_260_green)_(0-105).tif,40000,70.966,114.283,0,0,255,100.000,100.000,95.108,97.004,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2838660,0,0.989,-1.021,27.830,2838660,0,0,135.000,200.000,1.000,1.000,1.000
2,F2_260_green)_(0-105).tif,112,255.000,0.000,255,255,255,4.938,5.196,4.938,5.196,41.556,0,0,12,12,14.081,10.128,50.767,0.815,16.971,28560,255,NaN,NaN,100.000,28560,0,12,45.000,12.000,1.390,0.719,0.957
3,F2_260_green)_(0-105).tif,1391,255.000,0.000,255,255,255,33.684,25.050,33.684,25.050,294.451,15,0,62,80,61.721,28.695,64.928,0.202,95.964,354705,255,NaN,NaN,100.000,354705,24,80,56.476,48.652,2.151,0.465,0.497
4,F2_260_green)_(0-105).tif,1161,255.000,0.000,255,255,255,96.522,31.433,96.522,31.433,227.924,78,0,35,74,65.732,22.489,88.595,0.281,75.505,296055,255,NaN,NaN,100.000,296055,98,74,78.541,29.932,2.923,0.342,0.664
5,F2_260_green)_(0-105).tif,247,255.000,0.000,255,255,255,129.257,9.172,129.257,9.172,79.012,119,0,18,24,23.969,13.121,106.560,0.497,27.785,62985,255,NaN,NaN,100.000,62985,120,0,120.256,17.965,1.827,0.547,0.778
6,F2_260_green)_(0-105).tif,68,255.000,0.000,255,255,255,159.412,4.044,159.412,4.044,32.971,154,0,10,10,10.100,8.572,105.352,0.786,12.207,17340,255,NaN,NaN,100.000,17340,154,0,124.992,9.803,1.178,0.849,0.895
7,F2_260_green)_(0-105).tif,368,255.000,0.000,255,255,255,179.016,23.231,179.016,23.231,82.527,172,8,15,33,33.489,13.991,85.940,0.679,33.734,93840,255,NaN,NaN,100.000,93840,177,41,78.024,14.512,2.394,0.418,0.928
8,F2_260_green)_(0-105).tif,114,255.000,0.000,255,255,255,132.763,49.640,132.763,49.640,89.255,126,33,11,33,24.599,5.901,92.730,0.180,33.377,29070,255,NaN,NaN,100.000,29070,130,33,98.616,10.822,4.169,0.240,0.481
9,F2_260_green)_(0-105).tif,68,255.000,0.000,255,255,255,155.382,42.176,155.382,42.176,48.284,152,33,6,19,17.540,4.936,87.741,0.367,19.235,17340,255,NaN,NaN,100.000,17340,153,52,81.027,6.000,3.553,0.281,0.683
10,F2_260_green)_(0-105).tif,65,255.000,0.000,255,255,255,66.454,48.838,66.454,48.838,45.113,61,41,11,16,15.014,5.512,53.481,0.401,18.358,16575,255,NaN,NaN,100.000,16575,62,57,60.642,7.778,2.724,0.367,0.634
11,F2_260_green)_(0-105).tif,5,255.000,0.000,255,255,255,128.300,50.100,128.300,50.100,7.071,127,49,3,2,3.144,2.025,161.565,1.000,3.606,1275,255,NaN,NaN,100.000,1275,127,49,146.310,2.000,1.553,0.644,0.909
12,F2_260_green)_(0-105).tif,18,255.000,0.000,255,255,255,73.611,55.667,73.611,55.667,16.485,70,54,7,3,7.274,3.151,2.600,0.832,7.280,4590,255,NaN,NaN,100.000,4590,70,55,164.055,3.000,2.308,0.433,0.923
13,F2_260_green)_(0-105).tif,41,255.000,0.000,255,255,255,62.744,68.890,62.744,68.890,35.899,61,61,5,15,15.033,3.473,93.158,0.400,15.297,10455,255,NaN,NaN,100.000,10455,63,61,101.310,4.667,4.329,0.231,0.713
14,F2_260_green)_(0-105).tif,1504,255.000,0.000,255,255,255,162.135,124.148,162.135,124.148,302.208,138,67,43,92,75.789,25.267,71.208,0.207,99.005,383520,255,NaN,NaN,100.000,383520,141,158,66.801,36.366,3.000,0.333,0.650
15,F2_260_green)_(0-105).tif,168,255.000,0.000,255,255,255,150.333,89.911,150.333,89.911,54.284,145,79,11,22,21.058,10.158,85.575,0.716,22.361,42840,255,NaN,NaN,100.000,42840,148,101,79.695,11.000,2.073,0.482,0.891
16,F2_260_green)_(0-105).tif,63,255.000,0.000,255,255,255,64.786,87.325,64.786,87.325,34.142,62,81,6,14,14.286,5.615,81.516,0.679,14.560,16065,255,NaN,NaN,100.000,16065,63,95,74.055,6.000,2.544,0.393,0.887
17,F2_260_green)_(0-105).tif,891,255.000,0.000,255,255,255,102.885,111.428,102.885,111.428,138.468,92,81,25,58,54.389,20.858,98.226,0.584,58.078,227205,255,NaN,NaN,100.000,227205,99,81,92.961,23.202,2.608,0.383,0.884
18,F2_260_green)_(0-105).tif,166,255.000,0.000,255,255,255,190.657,94.627,190.657,94.627,58.042,186,82,9,25,24.821,8.515,81.570,0.619,25.710,42330,255,NaN,NaN,100.000,42330,187,107,76.504,9.000,2.915,0.343,0.912
19,F2_260_green)_(0-105).tif,110,255.000,0.000,255,255,255,47.864,104.255,47.864,104.255,45.456,43,95,9,19,17.533,7.988,92.144,0.669,19.235,28050,255,NaN,NaN,100.000,28050,47,95,98.973,9.000,2.195,0.456,0.856
20,F2_260_green)_(0-105).tif,1893,255.000,0.000,255,255,255,47.814,143.963,47.814,143.963,334.007,23,97,50,103,81.713,29.496,119.204,0.213,108.784,482715,255,NaN,NaN,100.000,482715,26,97,108.768,40.696,2.770,0.361,0.662
21,F2_260_green)_(0-105).tif,267,255.000,0.000,255,255,255,132.706,116.163,132.706,116.163,81.113,127,99,11,35,34.991,9.715,89.202,0.510,35.228,68085,255,NaN,NaN,100.000,68085,130,99,96.520,10.547,3.602,0.278,0.870
22,F2_260_green)_(0-105).tif,361,255.000,0.000,255,255,255,78.251,123.602,78.251,123.602,103.012,71,101,15,44,45.792,10.037,100.433,0.428,45.122,92055,255,NaN,NaN,100.000,92055,72,101,102.804,11.801,4.562,0.219,0.835
23,F2_260_green)_(0-105).tif,866,255.000,0.000,255,255,255,11.830,131.581,11.830,131.581,145.154,0,102,24,59,63.115,17.470,103.823,0.516,61.984,220830,255,NaN,NaN,100.000,220830,0,102,107.850,18.398,3.613,0.277,0.896
24,F2_260_green)_(0-105).tif,663,255.000,0.000,255,255,255,190.179,133.146,190.179,133.146,139.255,181,104,19,59,47.470,17.783,77.156,0.430,61.131,169065,255,NaN,NaN,100.000,169065,184,163,74.827,19.000,2.669,0.375,0.858
25,F2_260_green)_(0-105).tif,381,255.000,0.000,255,255,255,117.689,184.854,117.689,184.854,86.527,110,166,15,34,34.600,14.020,86.494,0.639,34.928,97155,255,NaN,NaN,100.000,97155,111,200,76.759,14.677,2.468,0.405,0.914
26,F2_260_green)_(0-105).tif,140,255.000,0.000,255,255,255,134.914,187.593,134.914,187.593,57.456,130,175,9,25,24.403,7.304,89.143,0.533,25.179,35700,255,NaN,NaN,100.000,35700,134,175,96.843,8.856,3.341,0.299,0.828
27,F2_260_green)_(0-105).tif,1,255.000,0.000,255,255,255,42.500,199.500,42.500,199.500,2.828,42,199,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,42,199,135.000,1.000,1.000,1.000,1.000
