 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,LF10_11-20-23_(green)_(0-152).tif,40000,5.699,37.694,0,0,255,100.000,100.000,132.770,93.742,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,227970,0,6.463,39.766,2.235,227970,0,0,135.000,200.000,1.000,1.000,1.000
2,LF10_11-20-23_(green)_(0-152).tif,2,255.000,0.000,255,255,255,61.000,2.000,61.000,2.000,5.657,60,1,2,2,2.596,0.981,135.000,0.785,2.828,510,255,NaN,NaN,100.000,510,60,1,135.000,1.414,2.646,0.378,0.667
3,LF10_11-20-23_(green)_(0-152).tif,3,255.000,0.000,255,255,255,9.167,5.167,9.167,5.167,5.657,8,4,2,2,2.365,1.615,45.000,1.000,2.828,765,255,NaN,NaN,100.000,765,8,6,45.000,2.000,1.464,0.683,0.857
4,LF10_11-20-23_(green)_(0-152).tif,4,255.000,0.000,255,255,255,185.000,5.000,185.000,5.000,5.657,184,4,2,2,2.257,2.257,0.000,1.000,2.828,1020,255,NaN,NaN,100.000,1020,184,4,135.000,2.000,1.000,1.000,1.000
5,LF10_11-20-23_(green)_(0-152).tif,6,255.000,0.000,255,255,255,159.500,5.667,159.500,5.667,11.071,157,5,5,2,4.630,1.650,0.000,0.615,5.099,1530,255,NaN,NaN,100.000,1530,157,5,168.690,2.000,2.806,0.356,0.750
6,LF10_11-20-23_(green)_(0-152).tif,2,255.000,0.000,255,255,255,182.500,7.000,182.500,7.000,4.828,182,6,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,182,6,116.565,1.000,2.000,0.500,1.000
7,LF10_11-20-23_(green)_(0-152).tif,1,255.000,0.000,255,255,255,37.500,11.500,37.500,11.500,2.828,37,11,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,37,11,135.000,1.000,1.000,1.000,1.000
8,LF10_11-20-23_(green)_(0-152).tif,8,255.000,0.000,255,255,255,180.125,14.750,180.125,14.750,9.899,178,13,4,3,4.044,2.519,160.670,1.000,4.472,2040,255,NaN,NaN,100.000,2040,178,14,153.435,3.000,1.605,0.623,0.800
9,LF10_11-20-23_(green)_(0-152).tif,1,255.000,0.000,255,255,255,62.500,15.500,62.500,15.500,2.828,62,15,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,62,15,135.000,1.000,1.000,1.000,1.000
10,LF10_11-20-23_(green)_(0-152).tif,2,255.000,0.000,255,255,255,167.500,17.000,167.500,17.000,4.828,167,16,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,167,16,116.565,1.000,2.000,0.500,1.000
11,LF10_11-20-23_(green)_(0-152).tif,14,255.000,0.000,255,255,255,188.143,17.786,188.143,17.786,14.485,185,16,6,3,6.295,2.831,4.808,0.838,6.325,3570,255,NaN,NaN,100.000,3570,185,17,161.565,3.000,2.223,0.450,0.875
12,LF10_11-20-23_(green)_(0-152).tif,1,255.000,0.000,255,255,255,183.500,17.500,183.500,17.500,2.828,183,17,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,183,17,135.000,1.000,1.000,1.000,1.000
13,LF10_11-20-23_(green)_(0-152).tif,5,255.000,0.000,255,255,255,198.900,19.700,198.900,19.700,7.657,198,18,2,3,3.144,2.025,108.435,1.000,3.606,1275,255,NaN,NaN,100.000,1275,198,18,123.690,2.000,1.553,0.644,0.909
14,LF10_11-20-23_(green)_(0-152).tif,1,255.000,0.000,255,255,255,55.500,20.500,55.500,20.500,2.828,55,20,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,55,20,135.000,1.000,1.000,1.000,1.000
15,LF10_11-20-23_(green)_(0-152).tif,2,255.000,0.000,255,255,255,161.000,20.500,161.000,20.500,4.243,160,20,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,160,20,153.435,1.000,2.000,0.500,1.000
16,LF10_11-20-23_(green)_(0-152).tif,7,255.000,0.000,255,255,255,165.500,21.500,165.500,21.500,8.485,164,20,3,3,3.772,2.363,45.000,1.000,4.243,1785,255,NaN,NaN,100.000,1785,164,23,45.000,2.828,1.596,0.626,0.875
17,LF10_11-20-23_(green)_(0-152).tif,9,255.000,0.000,255,255,255,111.500,27.944,111.500,27.944,12.485,110,25,3,5,4.634,2.473,100.685,0.726,5.385,2295,255,NaN,NaN,100.000,2295,111,25,111.801,3.000,1.874,0.534,0.750
18,LF10_11-20-23_(green)_(0-152).tif,2,255.000,0.000,255,255,255,26.500,29.000,26.500,29.000,4.828,26,28,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,26,28,116.565,1.000,2.000,0.500,1.000
19,LF10_11-20-23_(green)_(0-152).tif,4,255.000,0.000,255,255,255,50.500,29.000,50.500,29.000,7.071,49,28,3,2,3.216,1.583,148.283,1.000,3.606,1020,255,NaN,NaN,100.000,1020,49,28,146.310,2.000,2.031,0.492,0.800
