 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_rnai_high_(green)_(0-103).tif,40000,128.246,127.499,255,0,255,100.000,100.000,99.774,105.119,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,5129835.000,255,-0.012,-2.000,50.292,5129835.000,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_rnai_high_(green)_(0-103).tif,19782,255.000,0.000,255,255,255,99.657,106.771,99.657,106.771,1914.903,0,0,190,200,168.057,149.873,108.116,0.068,258.103,5044410.000,255,NaN,NaN,100.000,5044410.000,0,0,134.529,188.392,1.121,0.892,0.593
3,RTO_rnai_high_(green)_(0-103).tif,95,255.000,0.000,255,255,255,32.058,3.005,32.058,3.005,56.042,23,0,20,9,17.797,6.797,9.381,0.380,20.396,24225.000,255,NaN,NaN,100.000,24225.000,23,0,168.690,9.000,2.618,0.382,0.717
4,RTO_rnai_high_(green)_(0-103).tif,179,255.000,0.000,255,255,255,156.109,6.059,156.109,6.059,106.225,144,0,27,17,20.695,11.013,13.685,0.199,27.803,45645.000,255,NaN,NaN,100.000,45645.000,148,17,37.694,17.000,1.879,0.532,0.543
5,RTO_rnai_high_(green)_(0-103).tif,39,255.000,0.000,255,255,255,37.705,13.013,37.705,13.013,38.627,33,8,11,10,11.040,4.498,32.525,0.328,13.454,9945.000,255,NaN,NaN,100.000,9945.000,33,18,41.987,6.605,2.454,0.407,0.549
6,RTO_rnai_high_(green)_(0-103).tif,5,255.000,0.000,255,255,255,43.500,16.500,43.500,16.500,10.243,41,16,5,1,5.642,1.128,0.000,0.599,5.099,1275.000,255,NaN,NaN,100.000,1275.000,41,16,168.690,1.000,5.000,0.200,1.000
7,RTO_rnai_high_(green)_(0-103).tif,1,255.000,0.000,255,255,255,199.500,18.500,199.500,18.500,2.828,199,18,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,199,18,135.000,1.000,1.000,1.000,1.000
8,RTO_rnai_high_(green)_(0-103).tif,1,255.000,0.000,255,255,255,45.500,19.500,45.500,19.500,2.828,45,19,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,45,19,135.000,1.000,1.000,1.000,1.000
9,RTO_rnai_high_(green)_(0-103).tif,12,255.000,0.000,255,255,255,199.000,26.000,199.000,26.000,13.657,198,23,2,6,6.770,2.257,90.000,0.809,6.325,3060.000,255,NaN,NaN,100.000,3060.000,198,23,108.435,2.000,3.000,0.333,1.000
10,RTO_rnai_high_(green)_(0-103).tif,1,255.000,0.000,255,255,255,179.500,41.500,179.500,41.500,2.828,179,41,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,179,41,135.000,1.000,1.000,1.000,1.000
11,RTO_rnai_high_(green)_(0-103).tif,1,255.000,0.000,255,255,255,84.500,45.500,84.500,45.500,2.828,84,45,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,84,45,135.000,1.000,1.000,1.000,1.000
12,RTO_rnai_high_(green)_(0-103).tif,1,255.000,0.000,255,255,255,166.500,144.500,166.500,144.500,2.828,166,144,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,166,144,135.000,1.000,1.000,1.000,1.000
