feat	param	r2
%Area_std	Da/Ba	1.0
%Area_std	Ui/Ba	1.0
%Area_inverted_std	Ga/Da	1.0
%Area_std	Ga/Gi	1.0
%Area_std	Ga/Di	1.0
%Area_inverted_std	Ga/Di	1.0
%Area_inverted_std	Ua/Di	1.0
%Area_std	Ga/Ba	1.0
%Area_std	Di	1.0
%Area_std	Gi/Di	1.0
%Area_inverted_std	Ga/Ba	1.0
%Area_std	Gi/Da	1.0
%Area_inverted_std	Ga	1.0
%Area_inverted_std	Ua/Gi	1.0
%Area_inverted_std	Gi/Da	1.0
%Area_std	Ua/Di	1.0
%Area_std	Ga	1.0
%Area_inverted_std	Ua	1.0
%Area_inverted_std	Ui/Gi	1.0
%Area_inverted_std	Ui/Di	1.0
%Area_std	Ba	1.0
%Area_std	Ua/Ga	1.0
%Area_std	Ua/Ba	1.0
%Area_inverted_std	Ua/Ba	1.0
%Area_std	Ui/Da	1.0
%Area_std	Ga/Da	1.0
%Area_inverted_std	Ui	1.0
%Area_std	Ua/Ui	1.0
%Area_std	Ui/Di	1.0
%Area_inverted_std	Ui/Da	1.0
%Area_inverted_std	Ba	1.0
%Area_inverted_std	Ga/Gi	1.0
%Area_std	Ui	1.0
%Area_std	Ui/Gi	1.0
%Area_inverted_std	Di	1.0
%Area_std	Ua/Gi	1.0
%Area_std	Gi/Ba	1.0
%Area_std	Di/Ba	1.0
%Area_std	Ua/Da	1.0
%Area_inverted_std	Ua/Da	1.0
%Area_inverted_std	Gi/Ba	1.0
%Area_std	Gi	1.0
%Area_inverted_std	Gi/Di	1.0
%Area_inverted_std	Gi	1.0
%Area_inverted_std	Di/Ba	1.0
%Area_std	Da	1.0
%Area_inverted_std	Ua/Ui	1.0
%Area_inverted_std	Da	1.0
%Area_std	Da/Di	1.0
%Area_inverted_std	Da/Ba	1.0
%Area_inverted_std	Ui/Ba	1.0
%Area_std	Ua	1.0
%Area_inverted_std	Ua/Ga	1.0
%Area_inverted_std	Da/Di	1.0
%Area_mean	Ua/Ga	0.37180865297595933
Mean_inverted	Ga/Ba	0.3122108963309169
Mean	Ga/Ba	0.3122108954247642
RawIntDen_inverted_mean	Ga/Ba	0.30233686467729015
IntDen_inverted_mean	Ga/Ba	0.30233686467729015
%Area_mean	Ga	0.29606702301775234
RawIntDen_inverted_mean	Ga	0.2921663003219729
IntDen_inverted_mean	Ga	0.2921663003219729
IntDen_mean	Ga/Ba	0.2862178628600821
RawIntDen_mean	Ga/Ba	0.2862178628600821
Mean	Ga	0.2823011624913331
Mean_inverted	Ga	0.28230116114891546
%Area_mean	Ga/Da	0.28125350158171813
Mean_inverted	Ua/Ga	0.2772380124699336
Mean	Ua/Ga	0.27723801207194254
%Area_inverted_mean	Ga/Ba	0.27387043750691176
IntDen_inverted_mean	Ga/Da	0.2723330436850735
RawIntDen_inverted_mean	Ga/Da	0.2723330436850735
RawIntDen_inverted_mean	Ua/Ga	0.27136383026551214
IntDen_inverted_mean	Ua/Ga	0.27136383026551214
Median_inverted	Ga/Ba	0.2652237935066688
Median	Ga/Ba	0.2652237935066688
Mean_inverted	Ga/Da	0.2628305554458892
Mean	Ga/Da	0.2628305552476673
Mean	Ui/Ba	0.2571356646018963
Mean_inverted	Ui/Ba	0.2571356641875828
%Area_inverted_mean	Ui/Ba	0.255073853283454
RawIntDen_mean	Ui/Ba	0.2518185571223026
IntDen_mean	Ui/Ba	0.2518185571223026
IntDen_inverted_mean	Ga/Gi	0.2472259511754602
RawIntDen_inverted_mean	Ga/Gi	0.2472259511754602
Mean_inverted	Ga/Gi	0.240015672478881
Mean	Ga/Gi	0.24001567155682502
IntDen_inverted_mean	Ui/Ba	0.23573925615685432
RawIntDen_inverted_mean	Ui/Ba	0.23573925615685432
Median	Ui/Ba	0.2347832329651267
Median_inverted	Ui/Ba	0.2347832329651267
IntDen_mean	Ga/Gi	0.2212120270478849
RawIntDen_mean	Ga/Gi	0.2212120270478849
RawIntDen_mean	Ga	0.21892471787660517
IntDen_mean	Ga	0.21892471787660517
Median	Ga	0.218903572613101
Median_inverted	Ga	0.218903572613101
Median_inverted	Ua/Ga	0.2090969655491166
Median	Ua/Ga	0.2090969655491166
Median_inverted	Ga/Gi	0.2056075737335037
Median	Ga/Gi	0.2056075737335037
Median	Ga/Da	0.20388172923912362
Median_inverted	Ga/Da	0.20388172923912362
RawIntDen_mean	Ga/Da	0.20309580745422806
IntDen_mean	Ga/Da	0.20309580745422806
Mean_inverted	Ui/Gi	0.1985913964694569
Mean	Ui/Gi	0.19859139425785688
%Area_inverted_mean	Ga/Gi	0.198239681272797
Mean	Ui	0.19799696755227225
Mean_inverted	Ui	0.1979969664721266
RawIntDen_inverted_mean	Ui/Gi	0.1935148765239587
IntDen_inverted_mean	Ui/Gi	0.1935148765239587
RawIntDen_mean	Ua/Ga	0.19150844489049335
IntDen_mean	Ua/Ga	0.19150844489049335
IntDen_mean	Ui/Gi	0.19115210016393747
RawIntDen_mean	Ui/Gi	0.19115210016393747
%Area_inverted_mean	Ga	0.19065700600932223
Mean_inverted	Ui/Da	0.18786686784524065
Mean	Ui/Da	0.18786686778560702
RawIntDen_inverted_mean	Ui	0.18579767265846048
IntDen_inverted_mean	Ui	0.18579767265846048
Median	Ui/Gi	0.1824342114194074
Median_inverted	Ui/Gi	0.1824342114194074
%Area_inverted_mean	Ui/Gi	0.1795222901363409
IntDen_inverted_mean	Ui/Da	0.17687939964447108
RawIntDen_inverted_mean	Ui/Da	0.17687939964447108
Median_inverted	Ui	0.17587574940200223
Median	Ui	0.17587574940200223
%Area_inverted_mean	Ga/Da	0.1753266534172334
%Area_inverted_mean	Ua/Ga	0.1753001004520437
IntDen_mean	Ui	0.17374391800459632
RawIntDen_mean	Ui	0.17374391800459632
%Area_inverted_mean	Ui	0.1683744480812408
Median_inverted	Ui/Da	0.16655536149570516
Median	Ui/Da	0.16655536149570516
%Area_mean	Ga/Ba	0.16617321732061485
RawIntDen_mean	Ui/Da	0.16387783943489942
IntDen_mean	Ui/Da	0.16387783943489942
%Area_inverted_mean	Ui/Da	0.15719907173598913
Mean	Ua/Ui	0.15381809174469807
Mean_inverted	Ua/Ui	0.153818091714085
RawIntDen_inverted_mean	Ua/Ui	0.14730309739394132
IntDen_inverted_mean	Ua/Ui	0.14730309739394132
%Area_mean	Ua/Ui	0.14470773731198827
%Area_mean	Ga/Gi	0.13412256700516756
Median_inverted	Ua/Ui	0.12233511353491267
Median	Ua/Ui	0.12233511353491267
IntDen_mean	Ua/Ui	0.108047342475323
RawIntDen_mean	Ua/Ui	0.108047342475323
%Area_inverted_mean	Ua/Ui	0.09940049974105669
%Area_inverted_mean	Da/Ba	0.09551365813214474
Mean_inverted	Ua	0.09498078030345147
Mean	Ua	0.09498077869388599
RawIntDen_mean	Da/Ba	0.09300301286466028
IntDen_mean	Da/Ba	0.09300301286466028
%Area_inverted_mean	Ba	0.09275571188480614
RawIntDen_mean	Ba	0.0913695120685728
IntDen_mean	Ba	0.0913695120685728
Mean	Ba	0.09043415755596318
Mean_inverted	Ba	0.09043415575256708
Mean_inverted	Da/Ba	0.08876010870553219
Mean	Da/Ba	0.08876010848671478
Mean_inverted	Ua/Da	0.08544647372863012
Mean	Ua/Da	0.0854464732075364
Median	Ba	0.08352519112410473
Median_inverted	Ba	0.08352519112410473
RawIntDen_inverted_mean	Ba	0.08324925019160945
IntDen_inverted_mean	Ba	0.08324925019160945
%Area_inverted_mean	Ua	0.08265162491087852
Median	Da/Ba	0.08240827764251091
Median_inverted	Da/Ba	0.08240827764251091
Median	Ua	0.08057300085307872
Median_inverted	Ua	0.08057300085307872
IntDen_inverted_mean	Da/Ba	0.08043437604208914
RawIntDen_inverted_mean	Da/Ba	0.08043437604208914
IntDen_inverted_mean	Ga/Di	0.07692070229112957
RawIntDen_inverted_mean	Ga/Di	0.07692070229112957
%Area_inverted_mean	Ua/Da	0.07657500063485134
IntDen_inverted_mean	Ua	0.0763030954794599
RawIntDen_inverted_mean	Ua	0.0763030954794599
Mean	Ga/Di	0.07565230361445074
Mean_inverted	Ga/Di	0.07565230030886971
IntDen_mean	Ua	0.07384849373445945
RawIntDen_mean	Ua	0.07384849373445945
Major_mean	Ui/Ba	0.07357231949756238
Width_mean	Ui/Ba	0.07295242015733716
Height_mean	Ui/Ba	0.07294752194164811
Minor_mean	Ui/Ba	0.07277380063568639
Feret_mean	Ui/Ba	0.07275055434317856
Median_inverted	Ua/Da	0.0726348033873272
Median	Ua/Da	0.0726348033873272
MinFeret_mean	Ui/Ba	0.07253096060328079
Area_mean	Ui/Ba	0.07237758955822138
BX_mean	Ui/Ba	0.07168918263281032
FeretX_mean	Ui/Ba	0.07140421830921706
BY_mean	Ui/Ba	0.07137220654787524
Perim._mean	Ui/Ba	0.07055092417436448
Mean_inverted	Di/Ba	0.06912494882808962
Mean	Di/Ba	0.06912494669549729
IntDen_inverted_mean	Ua/Da	0.06813653370737371
RawIntDen_inverted_mean	Ua/Da	0.06813653370737371
X_std	Ui/Ba	0.0681264229763251
Angle_std	Ui/Ba	0.06792115498283158
Y_std	Ui/Ba	0.06759062076694011
IntDen_mean	Ua/Da	0.06716116072445488
RawIntDen_mean	Ua/Da	0.06716116072445488
%Area_inverted_mean	Ui/Di	0.06650620389671624
IntDen_mean	Ga/Di	0.0663610378518209
RawIntDen_mean	Ga/Di	0.0663610378518209
BY_std	Ui/Ba	0.06557926225707678
BX_std	Ui/Ba	0.06545424644038478
FeretY_std	Ui/Ba	0.06538893121868561
FeretX_std	Ui/Ba	0.06528315406140228
%Area_mean	Ga/Di	0.06524628018054845
FeretY_mean	Ui/Ba	0.0649422326935154
IntDen_mean	Ui/Di	0.06488942216074822
RawIntDen_mean	Ui/Di	0.06488942216074822
RawIntDen_inverted_mean	Di/Ba	0.06486145223238904
IntDen_inverted_mean	Di/Ba	0.06486145223238904
Mean	Ui/Di	0.06399447808502745
Mean_inverted	Ui/Di	0.06399447598309649
IntDen_mean	Di/Ba	0.06259096398465158
RawIntDen_mean	Di/Ba	0.06259096398465158
%Area_inverted_mean	Ga/Di	0.06188123796203848
Median	Di/Ba	0.06161031026388719
Median_inverted	Di/Ba	0.06161031026388719
%Area_inverted_mean	Di/Ba	0.06122609854553762
Round_std	Ui/Ba	0.06035523957431521
Median_inverted	Ga/Di	0.0593073518981756
Median	Ga/Di	0.0593073518981756
Median	Ui/Di	0.05914648369608033
Median_inverted	Ui/Di	0.05914648369608022
RawIntDen_inverted_mean	Gi	0.0585417404404075
IntDen_inverted_mean	Gi	0.0585417404404075
RawIntDen_inverted_mean	Ui/Di	0.05816371075631743
IntDen_inverted_mean	Ui/Di	0.05816371075631743
%Area_mean	Ui/Ba	0.05649697901585604
%Area_mean	Ui/Da	0.054598855380004085
%Area_mean	Ui	0.054542975802371996
FeretAngle_std	Ui/Ba	0.05270543535169625
RawIntDen_inverted_mean	Gi/Da	0.05214226498922636
IntDen_inverted_mean	Gi/Da	0.05214226498922636
Mean_inverted	Gi	0.05178455764728007
Mean	Gi	0.05178455559266271
Perim._mean	Ui/Gi	0.051280027853078614
%Area_mean	Ui/Gi	0.051077859292208205
RawIntDen_mean	Gi	0.049655838084115445
IntDen_mean	Gi	0.049655838084115445
Width_mean	Ui/Gi	0.04957734122734314
Height_mean	Ui/Gi	0.04956905169437731
Feret_mean	Ui/Gi	0.049397047293894714
MinFeret_mean	Ui/Gi	0.049183560466206866
Major_mean	Ui/Gi	0.048760000181958474
Minor_mean	Ui/Gi	0.048062449562041976
BX_mean	Ui/Gi	0.04801501519435525
BY_mean	Ui/Gi	0.047889194262102586
FeretX_mean	Ui/Gi	0.047745741069845526
Area_mean	Ui/Gi	0.04692859997440846
Mean_inverted	Gi/Da	0.046233075796749845
Mean	Gi/Da	0.04623307429307466
Median	Gi	0.04611486729073477
Median_inverted	Gi	0.04611486729073477
Angle_std	Ui/Gi	0.045696568928407566
X_std	Ui/Gi	0.04509098225278041
IntDen_mean	Gi/Da	0.04503388333346692
RawIntDen_mean	Gi/Da	0.04503388333346692
num_spots	Da/Ba	0.044307806020007834
Y_std	Ui/Gi	0.044255041133747564
Angle_inverted_mean	Ui/Ba	0.04269785700817996
BX_std	Ui/Gi	0.04238595376134069
Mean_inverted	Ua/Di	0.042299445423553794
Mean	Ua/Di	0.042299444200272096
FeretY_std	Ui/Gi	0.0422955847473061
FeretX_std	Ui/Gi	0.04226096951038116
BY_std	Ui/Gi	0.04195438622873515
Median_inverted	Gi/Da	0.041414883705264915
Median	Gi/Da	0.041414883705264915
Circ._mean	Ui/Gi	0.04064870777920815
FeretY_mean	Ui/Gi	0.04025014637862301
Angle_mean	Ui/Ba	0.03988273612893278
%Area_inverted_mean	Gi	0.03919767723238654
num_spots	Ba	0.038844643760280295
RawIntDen_inverted_mean	Gi/Di	0.037399660906905496
IntDen_inverted_mean	Gi/Di	0.037399660906905496
IntDen_inverted_mean	Ua/Di	0.03669946305689209
RawIntDen_inverted_mean	Ua/Di	0.03669946305689209
Major_mean	Da/Ba	0.036482753921417754
Width_mean	Da/Ba	0.03636856516956255
Height_mean	Da/Ba	0.03632702476134453
Major_mean	Ui	0.036316939861120834
Height_mean	Ui	0.03614460444592238
Feret_mean	Da/Ba	0.036115780986047064
Width_mean	Ui	0.03610172930241773
Feret_mean	Ui	0.036048673178197155
Perim._mean	Ui	0.036022625133284136
Minor_mean	Ui	0.03598198132658981
Round_std	Ui/Gi	0.03597882085266613
MinFeret_mean	Ui	0.035964279430866
%Area_inverted_mean	Gi/Da	0.035942074919359523
Area_mean	Ui	0.0359301532999049
MinFeret_mean	Da/Ba	0.03591684739720724
Minor_mean	Da/Ba	0.03566483066320292
BY_mean	Ui	0.035662959864593335
BX_mean	Da/Ba	0.035462239610157154
BX_mean	Ui	0.03541467891934824
FeretX_mean	Ui	0.03531023539684597
FeretX_mean	Da/Ba	0.035135114981206694
BY_mean	Da/Ba	0.03498323778779189
Circ._mean	Ui/Ba	0.03489526260143749
Perim._mean	Da/Ba	0.03485282255988498
%Area_mean	Ua	0.034759766122163915
Area_mean	Da/Ba	0.034698318560086205
Angle_std	Ui	0.03433429002830124
Solidity_inverted_mean	Ua/Ga	0.034240824793755786
%Area_mean	Ua/Di	0.03403755681745846
FeretAngle_std	Ui/Gi	0.033822041273133374
Round_mean	Ui/Ba	0.033777464794123024
num_spots	Di/Ba	0.033741642626351154
%Area_mean	Gi/Di	0.033551357397009984
Median	Ua/Di	0.03343334950917065
Median_inverted	Ua/Di	0.03343334950917065
Mean_inverted	Gi/Di	0.033400850611708055
Mean	Gi/Di	0.03340084759884243
X_std	Da/Ba	0.03331332088016825
X_std	Ui	0.0332508989671394
Y_std	Da/Ba	0.03291751371244611
Y_std	Ui	0.03286646521651193
