feat	param	r2
%Area_inverted_std	Ga/Da	1.0
%Area_inverted_std	Ga/Di	1.0
%Area_inverted_std	Ua/Di	1.0
%Area_inverted_std	Ga/Ba	1.0
%Area_inverted_std	Ga	1.0
%Area_inverted_std	Ua/Gi	1.0
%Area_inverted_std	Gi/Da	1.0
%Area_inverted_std	Ua	1.0
%Area_inverted_std	Ui/Gi	1.0
%Area_inverted_std	Ui/Di	1.0
%Area_inverted_std	Ua/Ba	1.0
%Area_inverted_std	Ui	1.0
%Area_inverted_std	Ui/Da	1.0
%Area_inverted_std	Ba	1.0
%Area_inverted_std	Ga/Gi	1.0
%Area_inverted_std	Di	1.0
%Area_inverted_std	Ua/Da	1.0
%Area_inverted_std	Gi/Ba	1.0
%Area_inverted_std	Gi/Di	1.0
%Area_inverted_std	Gi	1.0
%Area_inverted_std	Di/Ba	1.0
%Area_inverted_std	Ua/Ui	1.0
%Area_inverted_std	Da	1.0
%Area_inverted_std	Da/Ba	1.0
%Area_inverted_std	Ui/Ba	1.0
%Area_inverted_std	Ua/Ga	1.0
%Area_inverted_std	Da/Di	1.0
