feat	param	r2
%Area_mean	Ua/Ga	0.37180865297595933
%Area_mean	Ga	0.29606702301775234
%Area_mean	Ga/Da	0.28125350158171813
%Area_mean	Ga/Ba	0.16617321732061485
%Area_mean	Ua/Ui	0.14470773731198827
%Area_mean	Ga/Gi	0.13412256700516756
%Area_mean	Ga/Di	0.06524628018054845
%Area_mean	Ui/Ba	0.05649697901585604
%Area_mean	Ui/Da	0.054598855380004085
%Area_mean	Ui	0.054542975802371996
%Area_mean	Ui/Gi	0.051077859292208205
%Area_mean	Ua	0.034759766122163915
%Area_mean	Ua/Di	0.03403755681745846
%Area_mean	Gi/Di	0.033551357397009984
%Area_mean	Ua/Da	0.027781063845705556
%Area_mean	Gi	0.026600364851075753
%Area_mean	Ba	0.0217475370252479
%Area_mean	Gi/Da	0.021234249776308167
%Area_mean	Di/Ba	0.020967915296873585
%Area_mean	Da/Ba	0.014447162596724183
%Area_mean	Da/Di	0.012094353864405827
%Area_mean	Di	0.008038950890207897
%Area_mean	Ui/Di	0.007798180703046165
%Area_mean	Da	0.001602811873638088
%Area_mean	Ua/Gi	0.0003777878658346445
%Area_mean	Ua/Ba	0.00016423521732211732
%Area_mean	Gi/Ba	3.887894652221391e-06
