feat	param	r2
AR_inverted_mean	Ua/Ga	0.004567308945121029
AR_inverted_mean	Ga	0.003915435348756491
AR_inverted_mean	Ga/Da	0.0038839121722916703
AR_inverted_mean	Ua/Ui	0.00216235709836754
AR_inverted_mean	Ua/Di	0.0010636967836257227
AR_inverted_mean	Gi/Di	0.0009643102369435441
AR_inverted_mean	Da/Di	0.0007779493997127629
AR_inverted_mean	Ua	0.0007257032202089286
AR_inverted_mean	Ua/Da	0.0006272833966910474
AR_inverted_mean	Di	0.0005149236777211019
AR_inverted_mean	Ga/Gi	0.0004504237462344962
AR_inverted_mean	Ua/Ba	0.0003657908428567058
AR_inverted_mean	Ga/Ba	0.0002709821910035215
AR_inverted_mean	Ui/Da	0.00017824472369631916
AR_inverted_mean	Ui	0.00017518959549789326
AR_inverted_mean	Ga/Di	0.00013438327366688263
AR_inverted_mean	Gi	0.00012229520668849414
AR_inverted_mean	Ui/Di	0.00010259171664084299
AR_inverted_mean	Gi/Ba	9.55358033923881e-05
AR_inverted_mean	Gi/Da	7.110760575834707e-05
AR_inverted_mean	Da/Ba	6.553497745420689e-05
AR_inverted_mean	Ua/Gi	4.2616041572962615e-05
AR_inverted_mean	Ba	1.6494511462017414e-05
AR_inverted_mean	Ui/Ba	1.6317637433704846e-05
AR_inverted_mean	Di/Ba	1.3899264799999145e-05
AR_inverted_mean	Da	1.2016927256164323e-05
AR_inverted_mean	Ui/Gi	2.527313481048843e-06
