feat	param	r2
AR_std	Ui/Ba	0.027579225133492757
AR_std	Ui	0.017796140706123453
AR_std	Ui/Da	0.01601439044122477
AR_std	Ui/Di	0.01506951941386725
AR_std	Ua/Ga	0.014721641384798478
AR_std	Ga	0.014187933277870046
AR_std	Ui/Gi	0.013837337854967435
AR_std	Ga/Da	0.013246138129037077
AR_std	Da/Ba	0.006809156839541641
AR_std	Ua	0.006468046402432037
AR_std	Ua/Da	0.006406216305904433
AR_std	Ba	0.004582641876099469
AR_std	Da/Di	0.003525594375964003
AR_std	Gi/Ba	0.003224667293895589
AR_std	Di	0.0029900261662598737
AR_std	Gi/Di	0.0027137398871391882
AR_std	Ga/Di	0.0010405254330928537
AR_std	Di/Ba	0.001032097748550953
AR_std	Ua/Ui	0.0004837375375003061
AR_std	Ga/Ba	0.00044345676683710256
AR_std	Ua/Gi	0.00011910049761487684
AR_std	Gi	0.00011685414193896015
AR_std	Da	0.00010128171437417954
AR_std	Ua/Ba	7.741189700116724e-05
AR_std	Gi/Da	5.906206811667758e-05
AR_std	Ua/Di	5.8090049398495935e-06
AR_std	Ga/Gi	8.323642997076774e-09
