feat	param	r2
BX_mean	Ui/Ba	0.07168918263281032
BX_mean	Ui/Gi	0.04801501519435525
BX_mean	Da/Ba	0.035462239610157154
BX_mean	Ui	0.03541467891934824
BX_mean	Ui/Da	0.03111665501364702
BX_mean	Ui/Di	0.027070488752714006
BX_mean	Ba	0.02567830750699729
BX_mean	Ga/Ba	0.021622115420366517
BX_mean	Ua/Ga	0.018359391814832815
BX_mean	Ga/Gi	0.016029796235001448
BX_mean	Di/Ba	0.012663310802005556
BX_mean	Ua/Da	0.009795272746819017
BX_mean	Ua	0.008598998934971402
BX_mean	Gi/Ba	0.006993605141350501
BX_mean	Ua/Ba	0.006755695113801585
BX_mean	Gi/Da	0.0062124548327976425
BX_mean	Da/Di	0.005865303566770841
BX_mean	Ua/Gi	0.005399967839289976
BX_mean	Gi	0.0053424979850916765
BX_mean	Ga/Da	0.002282703168914879
BX_mean	Di	0.002226749026431385
BX_mean	Ga	0.0018692939970541556
BX_mean	Da	0.0012638075283932793
BX_mean	Ua/Ui	0.0009870085286801666
BX_mean	Ga/Di	0.00025608038199087524
BX_mean	Gi/Di	0.0001309249277720026
BX_mean	Ua/Di	9.855248896906144e-05
