feat	param	r2
BX_std	Ui/Ba	0.06545424644038478
BX_std	Ui/Gi	0.04238595376134069
BX_std	Da/Ba	0.03231628933880171
BX_std	Ui	0.03120141776859775
BX_std	Ui/Da	0.027454032823608365
BX_std	Ui/Di	0.026182017648877398
BX_std	Ba	0.02316177566349653
BX_std	Ua/Ga	0.02020689163904732
BX_std	Ga/Ba	0.018546171669161504
BX_std	Ga/Gi	0.012963084225051213
BX_std	Di/Ba	0.010317618181818977
BX_std	Ua/Da	0.008448840096833887
BX_std	Ua	0.007456327884716063
BX_std	Da/Di	0.006759137603278953
BX_std	Gi/Ba	0.006711309784463104
BX_std	Ua/Ba	0.006167871632012822
BX_std	Gi/Da	0.004787912362396174
BX_std	Ua/Gi	0.00444728287402163
BX_std	Gi	0.0040595575041878496
BX_std	Ga/Da	0.0031630363461810918
BX_std	Di	0.003140539540061882
BX_std	Ga	0.002794493358015959
BX_std	Ua/Ui	0.0014693329752872852
BX_std	Da	0.0010747900155057
BX_std	Gi/Di	0.000483419045128608
BX_std	Ua/Di	0.00031084726654184713
BX_std	Ga/Di	0.000252719193036377
