feat	param	r2
Circ._inverted_std	Ga	0.013809067093242033
Circ._inverted_std	Ga/Da	0.013419472715216596
Circ._inverted_std	Ua/Ga	0.006461237279752341
Circ._inverted_std	Ga/Gi	0.004445282739863332
Circ._inverted_std	Gi/Di	0.004161080807559503
Circ._inverted_std	Gi	0.003312496392076536
Circ._inverted_std	Ua/Ui	0.0031974182672644957
Circ._inverted_std	Ua/Gi	0.0028280800225647384
Circ._inverted_std	Gi/Da	0.002681059345713832
Circ._inverted_std	Ua/Da	0.0023773371552298084
Circ._inverted_std	Ua	0.0022079986715367594
Circ._inverted_std	Di	0.0018427344772790066
Circ._inverted_std	Da/Di	0.001701787896025042
Circ._inverted_std	Gi/Ba	0.0016473306200364135
Circ._inverted_std	Ga/Di	0.0013444267664556309
Circ._inverted_std	Ui/Da	0.0011597039942199405
Circ._inverted_std	Ui	0.0010618798521363493
Circ._inverted_std	Ui/Gi	0.0009795285235744133
Circ._inverted_std	Ga/Ba	0.0009734816510319488
Circ._inverted_std	Da/Ba	0.0006575841385756398
Circ._inverted_std	Ba	0.00023069655376117826
Circ._inverted_std	Da	0.00013399183573514772
Circ._inverted_std	Ua/Ba	0.00013178965688809274
Circ._inverted_std	Ui/Di	7.550269347433858e-05
Circ._inverted_std	Ui/Ba	7.121281655997347e-05
Circ._inverted_std	Di/Ba	3.2102706582493035e-05
Circ._inverted_std	Ua/Di	1.2639157741745066e-05
