feat	param	r2
Circ._mean	Ui/Gi	0.04064870777920815
Circ._mean	Ui/Ba	0.03489526260143749
Circ._mean	Ga/Gi	0.032180287422633014
Circ._mean	Ga/Ba	0.023047378363138527
Circ._mean	Da/Ba	0.020969856811788867
Circ._mean	Ui	0.020082363270462533
Circ._mean	Gi	0.019478334860896673
Circ._mean	Gi/Da	0.019455478953110616
Circ._mean	Ui/Da	0.018194865358051038
Circ._mean	Ua/Gi	0.018083272274826867
Circ._mean	Ba	0.016540280593071555
Circ._mean	Di/Ba	0.013453558019785317
Circ._mean	Ui/Di	0.00884296839579557
Circ._mean	Ua/Ba	0.008400221407359076
Circ._mean	Gi/Di	0.0055521715099762226
Circ._mean	Ga	0.003391852278801455
Circ._mean	Ga/Da	0.0027035160861290652
Circ._mean	Ua/Ga	0.002054690439257878
Circ._mean	Ua/Da	0.0012666106641178176
Circ._mean	Ua	0.0009500658302145082
Circ._mean	Ga/Di	0.0007619575214418139
Circ._mean	Gi/Ba	0.0006414914018570972
Circ._mean	Da	0.0006196038219263844
Circ._mean	Di	0.0002560924122637642
Circ._mean	Da/Di	0.00019357810798736885
Circ._mean	Ua/Di	2.3948684865326975e-05
Circ._mean	Ua/Ui	1.3318954721786014e-05
