feat	param	r2
Circ._std	Ga	0.01798761698939977
Circ._std	Ua/Ga	0.017451922939195175
Circ._std	Ga/Da	0.017391252054478445
Circ._std	Ui/Ba	0.012110946255531996
Circ._std	Ui/Di	0.007706911664684513
Circ._std	Gi/Di	0.006900652432697885
Circ._std	Di	0.006014280935905392
Circ._std	Da/Di	0.005614339531302193
Circ._std	Da/Ba	0.00556583932468091
Circ._std	Gi/Ba	0.004026244606316509
Circ._std	Ui	0.003585370173532665
Circ._std	Ba	0.0030680951659874944
Circ._std	Ua/Da	0.0030253599344282067
Circ._std	Ui/Da	0.002925638071195502
Circ._std	Ua	0.0027443975614285243
Circ._std	Ui/Gi	0.002591672610667284
Circ._std	Gi	0.0019932765181248646
Circ._std	Ua/Ui	0.001570051305734621
Circ._std	Gi/Da	0.0014665050102797839
Circ._std	Ga/Gi	0.0013853023506031903
Circ._std	Ua/Di	0.0009702935024076265
Circ._std	Ua/Gi	0.0008324023641828049
Circ._std	Ga/Di	0.000604890969923555
Circ._std	Da	0.00027758870483540754
Circ._std	Ua/Ba	0.00026173579767929667
Circ._std	Di/Ba	0.00015046906436566587
Circ._std	Ga/Ba	1.1879586243379592e-05
