feat	param	r2
FeretAngle_std	Ui/Ba	0.05270543535169625
FeretAngle_std	Ui/Gi	0.033822041273133374
FeretAngle_std	Ui/Di	0.02671367582289641
FeretAngle_std	Ui	0.025810211579096243
FeretAngle_std	Ui/Da	0.023097884024343873
FeretAngle_std	Ua/Ga	0.021667536996663683
FeretAngle_std	Da/Ba	0.02151342355287167
FeretAngle_std	Ba	0.014096592601826163
FeretAngle_std	Ga/Ba	0.013341237437020759
FeretAngle_std	Da/Di	0.009932616885979129
FeretAngle_std	Ga/Gi	0.009311608081870149
FeretAngle_std	Di	0.00715961420477762
FeretAngle_std	Ua/Ba	0.0048923747674697315
FeretAngle_std	Gi/Ba	0.004557927062023404
FeretAngle_std	Di/Ba	0.004012878845559231
FeretAngle_std	Ua/Da	0.003527136390738761
FeretAngle_std	Ua/Gi	0.003473483735304539
FeretAngle_std	Ua	0.003091354528423018
FeretAngle_std	Gi/Di	0.0027528646073605723
FeretAngle_std	Ua/Di	0.0025633461888072695
FeretAngle_std	Ga/Da	0.0025359165988786403
FeretAngle_std	Ga	0.0025063509924899696
FeretAngle_std	Ua/Ui	0.0019371005816810616
FeretAngle_std	Gi/Da	0.0018413589630278393
FeretAngle_std	Gi	0.0015926235321361837
FeretAngle_std	Ga/Di	0.0011649374973905502
FeretAngle_std	Da	0.0004428426294014187
