feat	param	r2
FeretX_mean	Ui/Ba	0.07140421830921706
FeretX_mean	Ui/Gi	0.047745741069845526
FeretX_mean	Ui	0.03531023539684597
FeretX_mean	Da/Ba	0.035135114981206694
FeretX_mean	Ui/Da	0.03105024202365958
FeretX_mean	Ui/Di	0.027217932765899566
FeretX_mean	Ba	0.025419387504468482
FeretX_mean	Ga/Ba	0.021503666674395516
FeretX_mean	Ua/Ga	0.018567829780649303
FeretX_mean	Ga/Gi	0.015909643662331607
FeretX_mean	Di/Ba	0.012379718092322856
FeretX_mean	Ua/Da	0.009456144921181964
FeretX_mean	Ua	0.008288348025437431
FeretX_mean	Gi/Ba	0.006939815671797356
FeretX_mean	Ua/Ba	0.006801689710773329
FeretX_mean	Gi/Da	0.006084330591787812
FeretX_mean	Da/Di	0.005997531022184255
FeretX_mean	Ua/Gi	0.005411938493226853
FeretX_mean	Gi	0.005235930423730606
FeretX_mean	Di	0.0023401913770535465
FeretX_mean	Ga/Da	0.002252289692594278
FeretX_mean	Ga	0.001851010847652268
FeretX_mean	Da	0.001233578082122544
FeretX_mean	Ua/Ui	0.0010274036422687205
FeretX_mean	Ga/Di	0.0002847684640797654
FeretX_mean	Gi/Di	0.00015884802474464
FeretX_mean	Ua/Di	0.0001327629762100102
