feat	param	r2
FeretX_std	Ui/Ba	0.06528315406140228
FeretX_std	Ui/Gi	0.04226096951038116
FeretX_std	Da/Ba	0.032154212280455785
FeretX_std	Ui	0.031131053973145306
FeretX_std	Ui/Da	0.02740642181364894
FeretX_std	Ui/Di	0.026230261407715783
FeretX_std	Ba	0.023027926834014223
FeretX_std	Ua/Ga	0.020262047916503878
FeretX_std	Ga/Ba	0.018498496385134566
FeretX_std	Ga/Gi	0.012937312513418231
FeretX_std	Di/Ba	0.010201608986283306
FeretX_std	Ua/Da	0.008335389857640041
FeretX_std	Ua	0.00735365159132928
FeretX_std	Da/Di	0.006812728663303846
FeretX_std	Gi/Ba	0.006677999290497394
FeretX_std	Ua/Ba	0.006168260380698065
FeretX_std	Gi/Da	0.0047453057207466065
FeretX_std	Ua/Gi	0.004451216841344752
FeretX_std	Gi	0.004025919445438952
FeretX_std	Di	0.0031908854855452473
FeretX_std	Ga/Da	0.0031348573341257735
FeretX_std	Ga	0.0027722454057069745
FeretX_std	Ua/Ui	0.0014848109483496241
FeretX_std	Da	0.0010614003200190014
FeretX_std	Gi/Di	0.0005023441841834897
FeretX_std	Ua/Di	0.00033118317513292084
FeretX_std	Ga/Di	0.0002654840017543014
