feat	param	r2
FeretY_inverted_mean	Ui/Ba	0.0076861531999482535
FeretY_inverted_mean	Ua/Ga	0.007102814087395659
FeretY_inverted_mean	Ga	0.006474676732968643
FeretY_inverted_mean	Ga/Da	0.006225076780868366
FeretY_inverted_mean	Da/Ba	0.004769286586218335
FeretY_inverted_mean	Ua/Da	0.004532017876774375
FeretY_inverted_mean	Ua	0.00442197620585183
FeretY_inverted_mean	Ba	0.004098554154000844
FeretY_inverted_mean	Ui/Gi	0.002149365967386796
FeretY_inverted_mean	Ui/Di	0.001976173266011738
FeretY_inverted_mean	Di	0.0019279681306789698
FeretY_inverted_mean	Gi/Ba	0.0019041046204103518
FeretY_inverted_mean	Da/Di	0.0017283420593486865
FeretY_inverted_mean	Ua/Ui	0.001464363672344704
FeretY_inverted_mean	Ui	0.001169528595144187
FeretY_inverted_mean	Gi/Di	0.001077793307718733
FeretY_inverted_mean	Ui/Da	0.0009095445332956142
FeretY_inverted_mean	Di/Ba	0.0007196640821327538
FeretY_inverted_mean	Ga/Ba	0.0006295210053365308
FeretY_inverted_mean	Ga/Di	0.00039597556998227645
FeretY_inverted_mean	Ua/Gi	0.00021194803182911226
FeretY_inverted_mean	Ua/Ba	8.103376197421408e-05
FeretY_inverted_mean	Da	7.92622195322501e-05
FeretY_inverted_mean	Ua/Di	3.370354362786099e-05
FeretY_inverted_mean	Gi	1.9908470132667944e-05
FeretY_inverted_mean	Gi/Da	6.1005242397715875e-06
FeretY_inverted_mean	Ga/Gi	6.746979946958831e-07
