feat	param	r2
Feret_inverted_mean	Ga/Da	0.022414482782264655
Feret_inverted_mean	Ga	0.022377771051235174
Feret_inverted_mean	Ga/Gi	0.012097821866248082
Feret_inverted_mean	Gi	0.00997319627775295
Feret_inverted_mean	Ua/Gi	0.009097449841997562
Feret_inverted_mean	Gi/Di	0.008711212429293291
Feret_inverted_mean	Ua/Ga	0.008511594062728833
Feret_inverted_mean	Gi/Da	0.008199014728803689
Feret_inverted_mean	Ua/Da	0.006257019442426848
Feret_inverted_mean	Ua	0.005513564663163328
Feret_inverted_mean	Ua/Ui	0.0041982005847277515
Feret_inverted_mean	Gi/Ba	0.003758449648448847
Feret_inverted_mean	Ui/Gi	0.0035777144576929487
Feret_inverted_mean	Ga/Ba	0.0027815825352226486
Feret_inverted_mean	Ga/Di	0.002463623546518523
Feret_inverted_mean	Da/Di	0.0023318205139071235
Feret_inverted_mean	Di	0.002112895205714116
Feret_inverted_mean	Ui/Da	0.002112666623603099
Feret_inverted_mean	Ui	0.0016609563555314288
Feret_inverted_mean	Ua/Ba	0.0011329740423176027
Feret_inverted_mean	Da/Ba	0.0006172303522856692
Feret_inverted_mean	Da	0.0004460376055985815
Feret_inverted_mean	Ba	0.00016598662573419354
Feret_inverted_mean	Di/Ba	8.733834120877582e-05
Feret_inverted_mean	Ua/Di	6.53967428252411e-05
Feret_inverted_mean	Ui/Ba	4.0695494844755764e-05
Feret_inverted_mean	Ui/Di	3.3838223529758515e-05
