feat	param	r2
Feret_std	Ga	0.008060811373000742
Feret_std	Ga/Da	0.007743595399684611
Feret_std	Ua/Ga	0.0060882605919622135
Feret_std	Gi/Di	0.003908772417426709
Feret_std	Di	0.0030760831146535716
Feret_std	Da/Di	0.0025140491702589918
Feret_std	Ga/Gi	0.0023696282361806986
Feret_std	Ua/Ui	0.0021324785218906905
Feret_std	Gi	0.0015651148041859742
Feret_std	Ua/Gi	0.0012985225857119476
Feret_std	Gi/Da	0.0012008526489499793
Feret_std	Gi/Ba	0.0008572820936957326
Feret_std	Ua/Di	0.0007390627900347724
Feret_std	Da/Ba	0.0005955141210032266
Feret_std	Ui/Di	0.000553775481536567
Feret_std	Ga/Ba	0.0004947775388070008
Feret_std	Ua/Da	0.0004615386878696892
Feret_std	Ua	0.0004226227266393989
Feret_std	Ui/Ba	0.00031884329417586343
Feret_std	Ui/Da	0.00030119920821503054
Feret_std	Ui/Gi	0.0002833114402599479
Feret_std	Ui	0.0002542483079439606
Feret_std	Di/Ba	0.00017826306137525005
Feret_std	Ba	0.00014733836883940032
Feret_std	Da	9.524908336411286e-05
Feret_std	Ga/Di	9.321930718841909e-05
Feret_std	Ua/Ba	9.001026389787725e-07
