feat	param	r2
Height_inverted_std	Ga	0.00855040620892522
Height_inverted_std	Ga/Da	0.008116509107536585
Height_inverted_std	Ua/Ga	0.004228679375041455
Height_inverted_std	Gi/Di	0.002256106213555875
Height_inverted_std	Ga/Gi	0.0021064264801312627
Height_inverted_std	Ua/Ui	0.0015829025148598186
Height_inverted_std	Di	0.001564439408634044
Height_inverted_std	Gi	0.0014751402150400272
Height_inverted_std	Gi/Da	0.0012312630887030274
Height_inverted_std	Da/Di	0.0011989729395115445
Height_inverted_std	Ua/Gi	0.0011041653205676738
Height_inverted_std	Ua/Da	0.0010458535712227768
Height_inverted_std	Ua	0.0010277527132617204
Height_inverted_std	Gi/Ba	0.0009268369079150629
Height_inverted_std	Ga/Di	0.000834822810327096
Height_inverted_std	Ga/Ba	0.0004971255186390078
Height_inverted_std	Da/Ba	0.000455696726394339
Height_inverted_std	Ui	0.00026880472654067233
Height_inverted_std	Ui/Da	0.00026811444651808625
Height_inverted_std	Ui/Di	0.00024046667267219046
Height_inverted_std	Ui/Ba	0.00020117238596550902
Height_inverted_std	Ui/Gi	0.00019551606522383302
Height_inverted_std	Ba	0.0001505846042264558
Height_inverted_std	Di/Ba	5.242491796153548e-05
Height_inverted_std	Ua/Di	4.668727716294896e-05
Height_inverted_std	Da	1.972019206042397e-05
Height_inverted_std	Ua/Ba	1.268027620404677e-05
