feat	param	r2
IntDen_inverted_mean	Ga/Ba	0.30233686467729015
IntDen_inverted_mean	Ga	0.2921663003219729
IntDen_inverted_mean	Ga/Da	0.2723330436850735
IntDen_inverted_mean	Ua/Ga	0.27136383026551214
IntDen_inverted_mean	Ga/Gi	0.2472259511754602
IntDen_inverted_mean	Ui/Ba	0.23573925615685432
IntDen_inverted_mean	Ui/Gi	0.1935148765239587
IntDen_inverted_mean	Ui	0.18579767265846048
IntDen_inverted_mean	Ui/Da	0.17687939964447108
IntDen_inverted_mean	Ua/Ui	0.14730309739394132
IntDen_inverted_mean	Ba	0.08324925019160945
IntDen_inverted_mean	Da/Ba	0.08043437604208914
IntDen_inverted_mean	Ga/Di	0.07692070229112957
IntDen_inverted_mean	Ua	0.0763030954794599
IntDen_inverted_mean	Ua/Da	0.06813653370737371
IntDen_inverted_mean	Di/Ba	0.06486145223238904
IntDen_inverted_mean	Gi	0.0585417404404075
IntDen_inverted_mean	Ui/Di	0.05816371075631743
IntDen_inverted_mean	Gi/Da	0.05214226498922636
IntDen_inverted_mean	Gi/Di	0.037399660906905496
IntDen_inverted_mean	Ua/Di	0.03669946305689209
IntDen_inverted_mean	Ua/Gi	0.008491881830317238
IntDen_inverted_mean	Gi/Ba	0.005030336076376152
IntDen_inverted_mean	Di	0.004882342501563941
IntDen_inverted_mean	Da/Di	0.0033502166294707703
IntDen_inverted_mean	Ua/Ba	0.0031240758031891858
IntDen_inverted_mean	Da	0.0001249100889568755
