feat	param	r2
IntDen_mean	Ga/Ba	0.2862178628600821
IntDen_mean	Ui/Ba	0.2518185571223026
IntDen_mean	Ga/Gi	0.2212120270478849
IntDen_mean	Ga	0.21892471787660517
IntDen_mean	Ga/Da	0.20309580745422806
IntDen_mean	Ua/Ga	0.19150844489049335
IntDen_mean	Ui/Gi	0.19115210016393747
IntDen_mean	Ui	0.17374391800459632
IntDen_mean	Ui/Da	0.16387783943489942
IntDen_mean	Ua/Ui	0.108047342475323
IntDen_mean	Da/Ba	0.09300301286466028
IntDen_mean	Ba	0.0913695120685728
IntDen_mean	Ua	0.07384849373445945
IntDen_mean	Ua/Da	0.06716116072445488
IntDen_mean	Ga/Di	0.0663610378518209
IntDen_mean	Ui/Di	0.06488942216074822
IntDen_mean	Di/Ba	0.06259096398465158
IntDen_mean	Gi	0.049655838084115445
IntDen_mean	Gi/Da	0.04503388333346692
IntDen_mean	Ua/Di	0.026984688071033047
IntDen_mean	Gi/Di	0.024711441110889854
IntDen_mean	Gi/Ba	0.008036497479457672
IntDen_mean	Ua/Gi	0.007704681676250047
IntDen_mean	Ua/Ba	0.004912762329864595
IntDen_mean	Di	0.001194310637707252
IntDen_mean	Da/Di	0.0006196108333688111
IntDen_mean	Da	9.40193120624322e-06
