feat	param	r2
IntDen_std	Ua/Ga	0.003499974162360364
IntDen_std	Ga/Da	0.003174635641310819
IntDen_std	Ga	0.003121944119892528
IntDen_std	Ua/Ui	0.002510061936191965
IntDen_std	Gi/Di	0.0019344193854778924
IntDen_std	Di	0.00173762228131924
IntDen_std	Da/Di	0.001495394173353981
IntDen_std	Ui/Da	0.0012118791932781425
IntDen_std	Ui	0.0011717035104008566
IntDen_std	Ua/Di	0.0008452842032743435
IntDen_std	Ga/Gi	0.0007875098718523876
IntDen_std	Ui/Gi	0.0006082456694216365
IntDen_std	Gi	0.0005377681776917997
IntDen_std	Gi/Da	0.00035931287557811054
IntDen_std	Da/Ba	0.00032586006510026966
IntDen_std	Gi/Ba	0.0003182556574505835
IntDen_std	Ua/Gi	0.00024889072391443
IntDen_std	Da	0.00013635363913799825
IntDen_std	Ga/Ba	0.00013567251760415733
IntDen_std	Di/Ba	0.00010964696595594514
IntDen_std	Ua/Ba	8.747940683551114e-05
IntDen_std	Ba	7.201478958884788e-05
IntDen_std	Ui/Di	1.1797356798348702e-05
IntDen_std	Ua	9.465422569521209e-06
IntDen_std	Ui/Ba	4.254389349811483e-06
IntDen_std	Ga/Di	1.212462494182276e-06
IntDen_std	Ua/Da	1.0813503622530973e-06
