feat	param	r2
Major_inverted_mean	Ga/Da	0.024380143278900368
Major_inverted_mean	Ga	0.024325122771541197
Major_inverted_mean	Ua/Ga	0.017620431696548255
Major_inverted_mean	Gi/Di	0.008898679936659826
Major_inverted_mean	Ua/Ui	0.008448366656944706
Major_inverted_mean	Ga/Gi	0.007232049510183858
Major_inverted_mean	Gi	0.006310121831901605
Major_inverted_mean	Gi/Da	0.004948806360057234
Major_inverted_mean	Da/Di	0.004287761156772318
Major_inverted_mean	Di	0.004130345526900392
Major_inverted_mean	Ua/Gi	0.003826925048314833
Major_inverted_mean	Gi/Ba	0.0037527882378194377
Major_inverted_mean	Ua/Da	0.0028822308764955284
Major_inverted_mean	Ua	0.002201185875539635
Major_inverted_mean	Da/Ba	0.0020052576543018175
Major_inverted_mean	Ga/Di	0.001859926923936439
Major_inverted_mean	Ui/Da	0.0014045621062903635
Major_inverted_mean	Ga/Ba	0.0012003043438261196
Major_inverted_mean	Ui/Ba	0.0011179649475048237
Major_inverted_mean	Ui/Gi	0.0010114840283110826
Major_inverted_mean	Ui	0.0009847540747295325
Major_inverted_mean	Ba	0.0008853617331363584
Major_inverted_mean	Da	0.0006004831571134739
Major_inverted_mean	Ui/Di	0.0005631046434496634
Major_inverted_mean	Ua/Di	0.0003932214543448387
Major_inverted_mean	Ua/Ba	2.1907684634170366e-05
Major_inverted_mean	Di/Ba	2.056968868913156e-05
