feat	param	r2
Major_std	Ua/Ga	0.008058708908656564
Major_std	Ga	0.007978898138274904
Major_std	Ga/Da	0.007736780516563679
Major_std	Di	0.003974124782724409
Major_std	Gi/Di	0.003690756374066795
Major_std	Da/Di	0.003286544984305584
Major_std	Ua/Ui	0.002948034492559315
Major_std	Ua/Di	0.0017316063065847542
Major_std	Ga/Gi	0.0013351086168617021
Major_std	Ui/Di	0.0008202374570435156
Major_std	Da/Ba	0.0006843655600065057
Major_std	Gi	0.00068415905918362
Major_std	Gi/Ba	0.0004918123387832596
Major_std	Gi/Da	0.0004692921133441219
Major_std	Ui/Ba	0.0004495168737284061
Major_std	Ga/Ba	0.00035990597137636193
Major_std	Ua/Gi	0.00028809686112873933
Major_std	Ui/Da	0.00028418711033528776
Major_std	Di/Ba	0.0002713497681711141
Major_std	Ui	0.0002396822339497673
Major_std	Ba	0.00019274973321048439
Major_std	Ua/Ba	0.00012551026306206747
Major_std	Da	0.00012461265306029645
Major_std	Ui/Gi	6.591737952810206e-05
Major_std	Ua/Da	1.6182697824329573e-05
Major_std	Ga/Di	1.5575764859554475e-05
Major_std	Ua	4.04566794565131e-06
