feat	param	r2
Median	Ga/Ba	0.2652237935066688
Median	Ui/Ba	0.2347832329651267
Median	Ga	0.218903572613101
Median	Ua/Ga	0.2090969655491166
Median	Ga/Gi	0.2056075737335037
Median	Ga/Da	0.20388172923912362
Median	Ui/Gi	0.1824342114194074
Median	Ui	0.17587574940200223
Median	Ui/Da	0.16655536149570516
Median	Ua/Ui	0.12233511353491267
Median	Ba	0.08352519112410473
Median	Da/Ba	0.08240827764251091
Median	Ua	0.08057300085307872
Median	Ua/Da	0.0726348033873272
Median	Di/Ba	0.06161031026388719
Median	Ga/Di	0.0593073518981756
Median	Ui/Di	0.05914648369608033
Median	Gi	0.04611486729073477
Median	Gi/Da	0.041414883705264915
Median	Ua/Di	0.03343334950917065
Median	Gi/Di	0.028013404416719068
Median	Gi/Ba	0.0074278430410488205
Median	Ua/Gi	0.005613464502393639
Median	Di	0.0028387951959685243
Median	Ua/Ba	0.002680687901854162
Median	Da/Di	0.0018077473158303325
Median	Da	4.845068312697709e-05
