feat	param	r2
Median_inverted	Ga/Ba	0.2652237935066688
Median_inverted	Ui/Ba	0.2347832329651267
Median_inverted	Ga	0.218903572613101
Median_inverted	Ua/Ga	0.2090969655491166
Median_inverted	Ga/Gi	0.2056075737335037
Median_inverted	Ga/Da	0.20388172923912362
Median_inverted	Ui/Gi	0.1824342114194074
Median_inverted	Ui	0.17587574940200223
Median_inverted	Ui/Da	0.16655536149570516
Median_inverted	Ua/Ui	0.12233511353491267
Median_inverted	Ba	0.08352519112410473
Median_inverted	Da/Ba	0.08240827764251091
Median_inverted	Ua	0.08057300085307872
Median_inverted	Ua/Da	0.0726348033873272
Median_inverted	Di/Ba	0.06161031026388719
Median_inverted	Ga/Di	0.0593073518981756
Median_inverted	Ui/Di	0.05914648369608022
Median_inverted	Gi	0.04611486729073477
Median_inverted	Gi/Da	0.041414883705264915
Median_inverted	Ua/Di	0.03343334950917065
Median_inverted	Gi/Di	0.028013404416719068
Median_inverted	Gi/Ba	0.0074278430410488205
Median_inverted	Ua/Gi	0.005613464502393639
Median_inverted	Di	0.0028387951959685243
Median_inverted	Ua/Ba	0.002680687901854162
Median_inverted	Da/Di	0.0018077473158303325
Median_inverted	Da	4.845068312697709e-05
