feat	param	r2
MinFeret_inverted_mean	Ga	0.022215367054357782
MinFeret_inverted_mean	Ga/Da	0.022214861186247492
MinFeret_inverted_mean	Ga/Gi	0.012055622256882503
MinFeret_inverted_mean	Gi	0.009821160562980435
MinFeret_inverted_mean	Ua/Gi	0.008877225518324483
MinFeret_inverted_mean	Gi/Di	0.008650026000798894
MinFeret_inverted_mean	Ua/Ga	0.008501073244364
MinFeret_inverted_mean	Gi/Da	0.008083030522826884
MinFeret_inverted_mean	Ua/Da	0.005924752637674335
MinFeret_inverted_mean	Ua	0.005218891765844225
MinFeret_inverted_mean	Ua/Ui	0.004121948091397876
MinFeret_inverted_mean	Gi/Ba	0.003650220274880711
MinFeret_inverted_mean	Ui/Gi	0.0034961664797956704
MinFeret_inverted_mean	Ga/Ba	0.0028158830474029894
MinFeret_inverted_mean	Ga/Di	0.0024150720316771235
MinFeret_inverted_mean	Da/Di	0.002321643407411811
MinFeret_inverted_mean	Di	0.002111632572492028
MinFeret_inverted_mean	Ui/Da	0.002054307739831396
MinFeret_inverted_mean	Ui	0.0016220847425093554
MinFeret_inverted_mean	Ua/Ba	0.0010901907891783802
MinFeret_inverted_mean	Da/Ba	0.0005776473201042354
MinFeret_inverted_mean	Da	0.000424802237758759
MinFeret_inverted_mean	Ba	0.00014815994370265262
MinFeret_inverted_mean	Di/Ba	9.651679769961952e-05
MinFeret_inverted_mean	Ua/Di	4.984854269374228e-05
MinFeret_inverted_mean	Ui/Di	3.701153760382603e-05
MinFeret_inverted_mean	Ui/Ba	3.4924001900082935e-05
