feat	param	r2
Minor_inverted_mean	Ga	0.024399324146546775
Minor_inverted_mean	Ga/Da	0.02432189304632093
Minor_inverted_mean	Ua/Ga	0.01784271129434578
Minor_inverted_mean	Gi/Di	0.008926866177854098
Minor_inverted_mean	Ua/Ui	0.008142291286525882
Minor_inverted_mean	Ga/Gi	0.007300913770170614
Minor_inverted_mean	Gi	0.006186087967720577
Minor_inverted_mean	Gi/Da	0.004878326498601093
Minor_inverted_mean	Da/Di	0.004333895653597319
Minor_inverted_mean	Di	0.004227288103871185
Minor_inverted_mean	Ua/Gi	0.0037041228191629916
Minor_inverted_mean	Gi/Ba	0.0036257862665661778
Minor_inverted_mean	Ua/Da	0.0025834737917856954
Minor_inverted_mean	Ua	0.001975127571369528
Minor_inverted_mean	Da/Ba	0.001901802638317962
Minor_inverted_mean	Ga/Di	0.0018142070535300814
Minor_inverted_mean	Ga/Ba	0.0012531410890996852
Minor_inverted_mean	Ui/Da	0.0011882615783417316
Minor_inverted_mean	Ui/Ba	0.0011833159081821032
Minor_inverted_mean	Ui/Gi	0.0008837232657538108
Minor_inverted_mean	Ba	0.0008310635371793218
Minor_inverted_mean	Ui	0.0008201589704898149
Minor_inverted_mean	Ui/Di	0.0006641456374245625
Minor_inverted_mean	Da	0.000535403916878785
Minor_inverted_mean	Ua/Di	0.000469959818483634
Minor_inverted_mean	Di/Ba	3.2290753452013377e-05
Minor_inverted_mean	Ua/Ba	1.562401614729758e-05
