feat	param	r2
Minor_inverted_std	Ga	0.00807274530070401
Minor_inverted_std	Ga/Da	0.007756511038631175
Minor_inverted_std	Ua/Ga	0.002723411611751936
Minor_inverted_std	Ga/Gi	0.0023906626524016206
Minor_inverted_std	Ua/Da	0.00229985122947185
Minor_inverted_std	Ua	0.0022895828813983554
Minor_inverted_std	Gi	0.0019291150854411354
Minor_inverted_std	Ua/Gi	0.0018387432177567886
Minor_inverted_std	Gi/Di	0.0017743090853854504
Minor_inverted_std	Gi/Da	0.0016398107314309351
Minor_inverted_std	Gi/Ba	0.0013506692118381292
Minor_inverted_std	Ga/Di	0.0012931795318582573
Minor_inverted_std	Di	0.0008715743622759176
Minor_inverted_std	Ua/Ui	0.0007654603569794416
Minor_inverted_std	Da/Di	0.0006526674384390585
Minor_inverted_std	Da/Ba	0.0005347767490950783
Minor_inverted_std	Ga/Ba	0.0004466312424875607
Minor_inverted_std	Ui/Ba	0.00037991147049587504
Minor_inverted_std	Ba	0.00022235337496856467
Minor_inverted_std	Ui/Di	0.00019377786146967946
Minor_inverted_std	Ui/Gi	0.00018968809428487887
Minor_inverted_std	Ua/Ba	8.935433860590702e-05
Minor_inverted_std	Ui/Da	8.69266807883573e-05
Minor_inverted_std	Ui	7.81639827890368e-05
Minor_inverted_std	Ua/Di	6.49265218169992e-05
Minor_inverted_std	Da	2.9128830219771196e-05
Minor_inverted_std	Di/Ba	4.9364835108534066e-08
