feat	param	r2
Minor_std	Ua/Ga	0.005584215119442626
Minor_std	Ga	0.004811120092294563
Minor_std	Ga/Da	0.004777469103480536
Minor_std	Gi/Di	0.002850421826319116
Minor_std	Di	0.0027918881579759303
Minor_std	Ua/Ui	0.002720013772305241
Minor_std	Da/Di	0.002413872527787464
Minor_std	Ua/Di	0.0012505630640663457
Minor_std	Ga/Gi	0.0009241514085023272
Minor_std	Da/Ba	0.0006947181218300846
Minor_std	Gi	0.0006600816971419343
Minor_std	Gi/Ba	0.0005545054732630783
Minor_std	Gi/Da	0.0004510933958727925
Minor_std	Ui/Di	0.0004107963711017515
Minor_std	Ui/Da	0.0003803704392102425
Minor_std	Ui	0.0003319661686305153
Minor_std	Ua/Gi	0.0003186370658510018
Minor_std	Ui/Ba	0.00028099178768425936
Minor_std	Ba	0.00022817217326953632
Minor_std	Ui/Gi	0.0001566933017300709
Minor_std	Ua/Ba	0.00014591426595877977
Minor_std	Da	0.00013908249001393092
Minor_std	Di/Ba	0.00011370482539085902
Minor_std	Ga/Ba	9.903170858749366e-05
Minor_std	Ua/Da	1.6445739379089552e-05
Minor_std	Ua	4.081402335764928e-06
Minor_std	Ga/Di	5.035951888832102e-07
