feat	param	r2
Perim._std	Ga	0.006327881986408768
Perim._std	Ga/Da	0.006072673235293591
Perim._std	Ua/Ga	0.0036483826885428394
Perim._std	Gi/Di	0.0034526772752039303
Perim._std	Ga/Gi	0.002893486730325745
Perim._std	Gi	0.002588621364012722
Perim._std	Ua/Gi	0.00237345739887751
Perim._std	Gi/Da	0.002078892722975456
Perim._std	Ua/Ui	0.0017736025300848501
Perim._std	Di	0.001702355582895665
Perim._std	Da/Di	0.001383415594832238
Perim._std	Ua/Da	0.0012255153062897817
Perim._std	Ua	0.0012133299848330337
Perim._std	Gi/Ba	0.001164673833362051
Perim._std	Ui/Gi	0.0007637539852050068
Perim._std	Ui/Da	0.0005004091233635766
Perim._std	Da/Ba	0.0004970697367298049
Perim._std	Ui	0.00044120162121108475
Perim._std	Ga/Ba	0.00043057786864009184
Perim._std	Ga/Di	0.00018518736647898937
Perim._std	Ua/Ba	0.00013046131067084854
Perim._std	Ba	0.0001229750755986636
Perim._std	Ui/Di	0.00011335279859747693
Perim._std	Ua/Di	9.682708113256666e-05
Perim._std	Da	8.914369355883522e-05
Perim._std	Ui/Ba	7.403150901807987e-05
Perim._std	Di/Ba	4.640020985691162e-05
