feat	param	r2
RawIntDen_std	Ua/Ga	0.003499974162360364
RawIntDen_std	Ga/Da	0.003174635641310819
RawIntDen_std	Ga	0.003121944119892528
RawIntDen_std	Ua/Ui	0.002510061936191965
RawIntDen_std	Gi/Di	0.0019344193854778924
RawIntDen_std	Di	0.00173762228131924
RawIntDen_std	Da/Di	0.001495394173353981
RawIntDen_std	Ui/Da	0.0012118791932781425
RawIntDen_std	Ui	0.0011717035104008566
RawIntDen_std	Ua/Di	0.0008452842032743435
RawIntDen_std	Ga/Gi	0.0007875098718523876
RawIntDen_std	Ui/Gi	0.0006082456694216365
RawIntDen_std	Gi	0.0005377681776917997
RawIntDen_std	Gi/Da	0.00035931287557811054
RawIntDen_std	Da/Ba	0.00032586006510026966
RawIntDen_std	Gi/Ba	0.0003182556574505835
RawIntDen_std	Ua/Gi	0.00024889072391443
RawIntDen_std	Da	0.00013635363913799825
RawIntDen_std	Ga/Ba	0.00013567251760415733
RawIntDen_std	Di/Ba	0.00010964696595594514
RawIntDen_std	Ua/Ba	8.747940683551114e-05
RawIntDen_std	Ba	7.201478958884788e-05
RawIntDen_std	Ui/Di	1.1797356798348702e-05
RawIntDen_std	Ua	9.465422569521209e-06
RawIntDen_std	Ui/Ba	4.254389349811483e-06
RawIntDen_std	Ga/Di	1.212462494182276e-06
RawIntDen_std	Ua/Da	1.0813503622530973e-06
