feat	param	r2
Round_mean	Ui/Ba	0.033777464794123024
Round_mean	Ua/Ga	0.021693795019614437
Round_mean	Ui/Gi	0.01825515048147197
Round_mean	Ui/Di	0.016343548942684194
Round_mean	Ga	0.016108936461038947
Round_mean	Ga/Da	0.015839856834744315
Round_mean	Ui	0.014876383830009776
Round_mean	Da/Ba	0.01384985594202015
Round_mean	Ui/Da	0.012895476788854165
Round_mean	Ba	0.00929230137335102
Round_mean	Ua/Da	0.00811153568612899
Round_mean	Ua	0.007445664631586801
Round_mean	Da/Di	0.006459360586141938
Round_mean	Di	0.005330551942163475
Round_mean	Gi/Ba	0.003887376586740321
Round_mean	Gi/Di	0.0026422335997958735
Round_mean	Ga/Ba	0.002305112705458412
Round_mean	Di/Ba	0.0020203501922039235
Round_mean	Ua/Ba	0.001113691189136512
Round_mean	Ua/Ui	0.0009664320862209363
Round_mean	Ga/Gi	0.000682453455070231
Round_mean	Ga/Di	0.0005457978332040758
Round_mean	Da	0.0005388952185039209
Round_mean	Gi/Da	0.00034471348311393424
Round_mean	Ua/Di	0.00018664999656026193
Round_mean	Ua/Gi	0.00018505623139331018
Round_mean	Gi	0.00016547272307276817
