feat	param	r2
Solidity_mean	Ui/Ba	0.029108854434251152
Solidity_mean	Ua/Da	0.028132471508913404
Solidity_mean	Ua	0.027679463833333973
Solidity_mean	Da/Ba	0.013956394932525318
Solidity_mean	Gi/Ba	0.011520168704444611
Solidity_mean	Ui/Di	0.011180653475641678
Solidity_mean	Ui	0.010739175509445364
Solidity_mean	Ba	0.009137802020675156
Solidity_mean	Ua/Ga	0.00902239534119642
Solidity_mean	Ui/Da	0.008895422312894086
Solidity_mean	Ga/Da	0.007938467750833955
Solidity_mean	Ga	0.007783457076333433
Solidity_mean	Ui/Gi	0.0071411644044842015
Solidity_mean	Gi/Di	0.006823199218385589
Solidity_mean	Ua/Gi	0.005729854449787575
Solidity_mean	Di/Ba	0.00408580278854187
Solidity_mean	Da/Di	0.004070566408134635
Solidity_mean	Ga/Ba	0.003964172352482476
Solidity_mean	Gi	0.0034228114428613843
Solidity_mean	Gi/Da	0.0025434762105365216
Solidity_mean	Di	0.002007200227338357
Solidity_mean	Ua/Di	0.001242938572198371
Solidity_mean	Ua/Ui	0.0007642711861762796
Solidity_mean	Da	0.00046266868241628956
Solidity_mean	Ua/Ba	0.00021821007254330116
Solidity_mean	Ga/Gi	0.00012496295189223794
Solidity_mean	Ga/Di	0.00012223072608641417
