feat	param	r2
Width_inverted_mean	Ga/Da	0.022402223545614164
Width_inverted_mean	Ga	0.02232971606238121
Width_inverted_mean	Ga/Gi	0.012148546503174429
Width_inverted_mean	Gi	0.009996686496741902
Width_inverted_mean	Ua/Gi	0.009108039671408719
Width_inverted_mean	Gi/Di	0.00863722187722471
Width_inverted_mean	Ua/Ga	0.00838324408409108
Width_inverted_mean	Gi/Da	0.008207700473634505
Width_inverted_mean	Ua/Da	0.0062618795093037916
Width_inverted_mean	Ua	0.005505867573125767
Width_inverted_mean	Ua/Ui	0.004158308385592169
Width_inverted_mean	Gi/Ba	0.003745773504160166
Width_inverted_mean	Ui/Gi	0.0036388108443398126
Width_inverted_mean	Ga/Ba	0.00282130835510086
Width_inverted_mean	Ga/Di	0.002499372787189924
Width_inverted_mean	Da/Di	0.0022763426056942038
Width_inverted_mean	Ui/Da	0.0021573301514872245
Width_inverted_mean	Di	0.0020371274697571495
Width_inverted_mean	Ui	0.0016985473642897597
Width_inverted_mean	Ua/Ba	0.0011439688950681814
Width_inverted_mean	Da/Ba	0.0006050469852854068
Width_inverted_mean	Da	0.00045808167188454707
Width_inverted_mean	Ba	0.00015884505043095576
Width_inverted_mean	Di/Ba	8.216305496178133e-05
Width_inverted_mean	Ua/Di	7.323882138343674e-05
Width_inverted_mean	Ui/Ba	3.27665134742805e-05
Width_inverted_mean	Ui/Di	2.637987656628482e-05
