feat	param	r2
Y_inverted_mean	Ga	0.0001637667675368215
Y_inverted_mean	Ga/Da	0.00012993987617992975
Y_inverted_mean	Ua/Ga	0.000109120474079627
Y_inverted_mean	Ua/Di	8.044310434296431e-05
Y_inverted_mean	Ui/Di	4.0543113092761374e-05
Y_inverted_mean	Ua/Ui	3.680208586342992e-05
Y_inverted_mean	Gi/Da	3.663807708220723e-05
Y_inverted_mean	Da/Di	3.609936552284587e-05
Y_inverted_mean	Gi	3.251218721511684e-05
Y_inverted_mean	Di	1.8469072116999996e-05
Y_inverted_mean	Ga/Ba	1.753060623288505e-05
Y_inverted_mean	Ua/Da	1.6862069342815644e-05
Y_inverted_mean	Ua/Gi	1.6104376988512747e-05
Y_inverted_mean	Ui/Gi	1.4965538707278903e-05
Y_inverted_mean	Ua	1.380855783483792e-05
Y_inverted_mean	Gi/Ba	1.2183760142669975e-05
Y_inverted_mean	Da/Ba	1.0246710175132456e-05
Y_inverted_mean	Gi/Di	7.216289951372801e-06
Y_inverted_mean	Ua/Ba	5.142099464894301e-06
Y_inverted_mean	Ui/Ba	3.998367578916806e-06
Y_inverted_mean	Di/Ba	2.1440460450383725e-06
Y_inverted_mean	Ga/Di	2.117820481206678e-06
Y_inverted_mean	Ga/Gi	2.1176704886327613e-06
Y_inverted_mean	Ui	2.054962147446382e-06
Y_inverted_mean	Ui/Da	3.4342507893025953e-07
Y_inverted_mean	Ba	5.311821205111755e-09
Y_inverted_mean	Da	7.787559486160944e-11
