feat	param	r2
Y_inverted_std	Ga	0.018688598688644253
Y_inverted_std	Ga/Da	0.01856312322699094
Y_inverted_std	Ga/Gi	0.010582755814087297
Y_inverted_std	Gi	0.009178489377602017
Y_inverted_std	Gi/Di	0.008541204672748326
Y_inverted_std	Ua/Gi	0.00833008830343085
Y_inverted_std	Gi/Da	0.007594502422405003
Y_inverted_std	Ua/Ga	0.007586070110743082
Y_inverted_std	Ua/Da	0.005025337085683534
Y_inverted_std	Ua	0.0044627485068634565
Y_inverted_std	Ua/Ui	0.0038087095488325007
Y_inverted_std	Gi/Ba	0.0034070368595044975
Y_inverted_std	Ui/Gi	0.003400705119771308
Y_inverted_std	Di	0.002554204654786396
Y_inverted_std	Da/Di	0.0025321483798972366
Y_inverted_std	Ga/Ba	0.00211021490268104
Y_inverted_std	Ui/Da	0.0018532632833340168
Y_inverted_std	Ga/Di	0.001580110722434247
Y_inverted_std	Ui	0.001498490831679411
Y_inverted_std	Ua/Ba	0.0008353715693194541
Y_inverted_std	Da/Ba	0.0005359565367631935
Y_inverted_std	Da	0.00033665171528907134
Y_inverted_std	Di/Ba	0.00016917697894003325
Y_inverted_std	Ba	0.00015045164692506496
Y_inverted_std	Ui/Di	8.044229342574205e-05
Y_inverted_std	Ui/Ba	3.3215549046783366e-05
Y_inverted_std	Ua/Di	3.3223974843510362e-06
