feat	param	r2
Y_mean	Ga/Gi	0.0006146787013052712
Y_mean	Di/Ba	0.0005585769436609045
Y_mean	Gi/Da	0.0005267130781408946
Y_mean	Gi	0.0004901070480274328
Y_mean	Ui/Gi	0.0004736283234205718
Y_mean	Da/Ba	0.0004586571342120038
Y_mean	Ua/Gi	0.0004497777634829836
Y_mean	Ga/Ba	0.0003065244066570161
Y_mean	Di	0.00026254277847370666
Y_mean	Ba	0.00025157025984900994
Y_mean	Ua/Ba	0.00023709015834405545
Y_mean	Gi/Di	0.00021684335024685364
Y_mean	Ui/Ba	0.00017333685823917033
Y_mean	Da	5.797515384609042e-05
Y_mean	Ua/Ui	3.90435486944396e-05
Y_mean	Ga	3.131251138033253e-05
Y_mean	Ua/Di	2.8057436617046072e-05
Y_mean	Da/Di	2.7632996431270485e-05
Y_mean	Ga/Di	2.2415790371321798e-05
Y_mean	Ua/Da	1.0184504435462038e-05
Y_mean	Ui	8.533325169479689e-06
Y_mean	Ga/Da	6.852419853431435e-06
Y_mean	Gi/Ba	4.332127131689845e-06
Y_mean	Ua	5.833494899354363e-07
Y_mean	Ui/Di	5.39814515976289e-07
Y_mean	Ui/Da	3.597505306984772e-07
Y_mean	Ua/Ga	8.606158863333491e-08
