feat	param	r2
%Area_std	Ba	1.0
%Area_inverted_std	Ba	1.0
%Area_inverted_mean	Ba	0.09275571188480614
RawIntDen_mean	Ba	0.0913695120685728
IntDen_mean	Ba	0.0913695120685728
Mean	Ba	0.09043415755596318
Mean_inverted	Ba	0.09043415575256708
Median	Ba	0.08352519112410473
Median_inverted	Ba	0.08352519112410473
RawIntDen_inverted_mean	Ba	0.08324925019160945
IntDen_inverted_mean	Ba	0.08324925019160945
num_spots	Ba	0.038844643760280295
Major_mean	Ba	0.026474028459075094
Width_mean	Ba	0.026445658825005713
Height_mean	Ba	0.026406348416829206
Feret_mean	Ba	0.026240136660103053
MinFeret_mean	Ba	0.02606576233118474
Minor_mean	Ba	0.025798905604410338
BX_mean	Ba	0.02567830750699729
BY_mean	Ba	0.02552350639301948
Perim._mean	Ba	0.025505355331071455
FeretX_mean	Ba	0.025419387504468482
Area_mean	Ba	0.024970331141043856
X_std	Ba	0.02400240592628866
Y_std	Ba	0.023736614315854387
BX_std	Ba	0.02316177566349653
FeretX_std	Ba	0.023027926834014223
FeretY_std	Ba	0.022810273543204418
BY_std	Ba	0.022805927169985418
FeretY_mean	Ba	0.022390996847449163
Angle_std	Ba	0.022303549490791164
%Area_mean	Ba	0.0217475370252479
Round_std	Ba	0.019799646958173822
Angle_inverted_mean	Ba	0.01684684637258005
Circ._mean	Ba	0.016540280593071555
FeretAngle_std	Ba	0.014096592601826163
Solidity_std	Ba	0.0100817876746353
Round_mean	Ba	0.00929230137335102
Solidity_mean	Ba	0.009137802020675156
Angle_mean	Ba	0.008343593042304032
Circ._inverted_mean	Ba	0.006569025368959869
FeretAngle_mean	Ba	0.0054400258453941586
Solidity_inverted_mean	Ba	0.0049977060214617675
AR_std	Ba	0.004582641876099469
FeretAngle_inverted_mean	Ba	0.0042057803175420405
FeretY_inverted_mean	Ba	0.004098554154000844
AR_mean	Ba	0.0034173894056624965
Circ._std	Ba	0.0030680951659874944
Area_inverted_mean	Ba	0.0016088643829653693
num_spots_inverted	Ba	0.0009486591061351746
Major_inverted_mean	Ba	0.0008853617331363584
Minor_inverted_mean	Ba	0.0008310635371793218
BX_inverted_std	Ba	0.0003441165922594136
FeretX_inverted_std	Ba	0.00033401525086484973
Perim._inverted_mean	Ba	0.00031934510510034375
Perim._inverted_std	Ba	0.00030022934950024727
BX_inverted_mean	Ba	0.00028673747434726504
FeretX_inverted_mean	Ba	0.0002724707730333842
Y_mean	Ba	0.00025157025984900994
X_inverted_std	Ba	0.00024153183944197743
Area_inverted_std	Ba	0.00023504827097653447
RawIntDen_inverted_std	Ba	0.00023504827097631242
IntDen_inverted_std	Ba	0.00023504827097631242
Circ._inverted_std	Ba	0.00023069655376117826
Minor_std	Ba	0.00022817217326953632
FeretY_inverted_std	Ba	0.00022652092237018806
Minor_inverted_std	Ba	0.00022235337496856467
Solidity_inverted_std	Ba	0.0002200441583525281
MinFeret_std	Ba	0.00019510786428611482
Angle_inverted_std	Ba	0.00019499093202868245
Major_std	Ba	0.00019274973321048439
FeretAngle_inverted_std	Ba	0.0001911832052378104
X_inverted_mean	Ba	0.00019065722995581513
Major_inverted_std	Ba	0.00018476047588722455
Round_inverted_mean	Ba	0.00018297154459478993
Height_std	Ba	0.00017924297123228516
BY_inverted_std	Ba	0.0001676824084376749
Feret_inverted_mean	Ba	0.00016598662573419354
Width_std	Ba	0.00016383572262157475
MinFeret_inverted_std	Ba	0.0001609348946072231
Round_inverted_std	Ba	0.0001605757362488358
Height_inverted_mean	Ba	0.00015940776811718127
Width_inverted_mean	Ba	0.00015884505043095576
Feret_inverted_std	Ba	0.0001506402248671046
Height_inverted_std	Ba	0.0001505846042264558
Y_inverted_std	Ba	0.00015045164692506496
MinFeret_inverted_mean	Ba	0.00014815994370265262
Feret_std	Ba	0.00014733836883940032
BY_inverted_mean	Ba	0.00014253655337492788
Width_inverted_std	Ba	0.00013304073477882206
Perim._std	Ba	0.0001229750755986636
RawIntDen_std	Ba	7.201478958884788e-05
IntDen_std	Ba	7.201478958884788e-05
Area_std	Ba	7.201478958873686e-05
AR_inverted_std	Ba	6.177219111525023e-05
AR_inverted_mean	Ba	1.6494511462017414e-05
Y_inverted_mean	Ba	5.311821205111755e-09
X_mean	Ba	1.1823664269883238e-10
