feat	param	r2
%Area_std	Da/Ba	1.0
%Area_inverted_std	Da/Ba	1.0
%Area_inverted_mean	Da/Ba	0.09551365813214474
RawIntDen_mean	Da/Ba	0.09300301286466028
IntDen_mean	Da/Ba	0.09300301286466028
Mean_inverted	Da/Ba	0.08876010870553219
Mean	Da/Ba	0.08876010848671478
Median	Da/Ba	0.08240827764251091
Median_inverted	Da/Ba	0.08240827764251091
IntDen_inverted_mean	Da/Ba	0.08043437604208914
RawIntDen_inverted_mean	Da/Ba	0.08043437604208914
num_spots	Da/Ba	0.044307806020007834
Major_mean	Da/Ba	0.036482753921417754
Width_mean	Da/Ba	0.03636856516956255
Height_mean	Da/Ba	0.03632702476134453
Feret_mean	Da/Ba	0.036115780986047064
MinFeret_mean	Da/Ba	0.03591684739720724
Minor_mean	Da/Ba	0.03566483066320292
BX_mean	Da/Ba	0.035462239610157154
FeretX_mean	Da/Ba	0.035135114981206694
BY_mean	Da/Ba	0.03498323778779189
Perim._mean	Da/Ba	0.03485282255988498
Area_mean	Da/Ba	0.034698318560086205
X_std	Da/Ba	0.03331332088016825
Y_std	Da/Ba	0.03291751371244611
BX_std	Da/Ba	0.03231628933880171
FeretX_std	Da/Ba	0.032154212280455785
FeretY_std	Da/Ba	0.03185435692001415
BY_std	Da/Ba	0.03179524600295569
Angle_std	Da/Ba	0.03166981385275136
FeretY_mean	Da/Ba	0.031397428920690085
Round_std	Da/Ba	0.026569033518127227
Angle_inverted_mean	Da/Ba	0.021955090188791826
FeretAngle_std	Da/Ba	0.02151342355287167
Circ._mean	Da/Ba	0.020969856811788867
Solidity_std	Da/Ba	0.015849811940155445
Angle_mean	Da/Ba	0.014718412647617307
%Area_mean	Da/Ba	0.014447162596724183
Solidity_mean	Da/Ba	0.013956394932525318
Round_mean	Da/Ba	0.01384985594202015
FeretAngle_mean	Da/Ba	0.009881543532766712
Circ._inverted_mean	Da/Ba	0.00845313752229182
Solidity_inverted_mean	Da/Ba	0.00719606189714006
AR_std	Da/Ba	0.006809156839541641
Circ._std	Da/Ba	0.00556583932468091
AR_mean	Da/Ba	0.0054890995931657915
FeretY_inverted_mean	Da/Ba	0.004769286586218335
FeretAngle_inverted_mean	Da/Ba	0.004567906141811573
Area_inverted_mean	Da/Ba	0.0031562451108577694
num_spots_inverted	Da/Ba	0.0020650671509698793
Major_inverted_mean	Da/Ba	0.0020052576543018175
Minor_inverted_mean	Da/Ba	0.001901802638317962
BX_inverted_std	Da/Ba	0.0009839183129870532
FeretX_inverted_std	Da/Ba	0.000957564905379682
BX_inverted_mean	Da/Ba	0.000839403968944219
FeretX_inverted_mean	Da/Ba	0.0008228289577724146
X_inverted_std	Da/Ba	0.0007757475944405456
Perim._inverted_std	Da/Ba	0.0007230174246595222
Minor_std	Da/Ba	0.0006947181218300846
Major_std	Da/Ba	0.0006843655600065057
Height_std	Da/Ba	0.0006803066166604088
MinFeret_std	Da/Ba	0.0006728071872140751
Circ._inverted_std	Da/Ba	0.0006575841385756398
Width_std	Da/Ba	0.0006451392397217592
Solidity_inverted_std	Da/Ba	0.000642469558301606
Feret_inverted_mean	Da/Ba	0.0006172303522856692
FeretY_inverted_std	Da/Ba	0.0006166901602174812
Round_inverted_std	Da/Ba	0.0006071641301776953
Width_inverted_mean	Da/Ba	0.0006050469852854068
Height_inverted_mean	Da/Ba	0.0006029639572837642
Feret_std	Da/Ba	0.0005955141210032266
Angle_inverted_std	Da/Ba	0.0005934026368293877
BY_inverted_std	Da/Ba	0.000592225075492725
MinFeret_inverted_mean	Da/Ba	0.0005776473201042354
BY_inverted_mean	Da/Ba	0.0005765890361938419
Y_inverted_std	Da/Ba	0.0005359565367631935
Minor_inverted_std	Da/Ba	0.0005347767490950783
Round_inverted_mean	Da/Ba	0.0005346324290782523
FeretAngle_inverted_std	Da/Ba	0.0005297227048347564
Area_inverted_std	Da/Ba	0.0005174779057188772
IntDen_inverted_std	Da/Ba	0.0005174779057186552
RawIntDen_inverted_std	Da/Ba	0.0005174779057186552
Major_inverted_std	Da/Ba	0.0005005878092514404
Perim._std	Da/Ba	0.0004970697367298049
MinFeret_inverted_std	Da/Ba	0.0004712350533152554
Feret_inverted_std	Da/Ba	0.0004618887783351955
Y_mean	Da/Ba	0.0004586571342120038
Height_inverted_std	Da/Ba	0.000455696726394339
Width_inverted_std	Da/Ba	0.0004455079153399266
RawIntDen_std	Da/Ba	0.00032586006510026966
IntDen_std	Da/Ba	0.00032586006510026966
Area_std	Da/Ba	0.0003258600650999366
X_inverted_mean	Da/Ba	0.00020903963149121463
Perim._inverted_mean	Da/Ba	0.0001798801784044235
AR_inverted_std	Da/Ba	0.00016337256978371517
AR_inverted_mean	Da/Ba	6.553497745420689e-05
X_mean	Da/Ba	1.0748393953208257e-05
Y_inverted_mean	Da/Ba	1.0246710175132456e-05
