feat	param	r2
%Area_std	Da/Di	1.0
%Area_inverted_std	Da/Di	1.0
%Area_mean	Da/Di	0.012094353864405827
Angle_mean	Da/Di	0.011774145247472445
FeretAngle_mean	Da/Di	0.010144059023757035
FeretAngle_std	Da/Di	0.009932616885979129
Angle_std	Da/Di	0.007355823236502301
Round_std	Da/Di	0.007216240795045015
FeretY_std	Da/Di	0.006821684194771915
FeretX_std	Da/Di	0.006812728663303846
BX_std	Da/Di	0.006759137603278953
BY_std	Da/Di	0.006694575987592266
Y_std	Da/Di	0.006566026094080524
X_std	Da/Di	0.00654713241569338
Round_mean	Da/Di	0.006459360586141938
Solidity_inverted_mean	Da/Di	0.0063740215208291096
Area_mean	Da/Di	0.006220425522683981
FeretY_mean	Da/Di	0.0062058234907229615
FeretX_mean	Da/Di	0.005997531022184255
BX_mean	Da/Di	0.005865303566770841
Minor_mean	Da/Di	0.005746331399512528
Area_inverted_mean	Da/Di	0.005625577773105461
Circ._std	Da/Di	0.005614339531302193
Major_mean	Da/Di	0.00551758714836581
MinFeret_mean	Da/Di	0.0054987885007162784
Feret_mean	Da/Di	0.00547185676203199
BY_mean	Da/Di	0.005439677434207368
Height_mean	Da/Di	0.005394682610060708
Width_mean	Da/Di	0.005370384425626762
Circ._inverted_mean	Da/Di	0.005188193302417599
Angle_inverted_mean	Da/Di	0.0048348977110038716
Perim._mean	Da/Di	0.004696052023107633
Minor_inverted_mean	Da/Di	0.004333895653597319
Major_inverted_mean	Da/Di	0.004287761156772318
AR_mean	Da/Di	0.004083904877779432
Solidity_mean	Da/Di	0.004070566408134635
AR_std	Da/Di	0.003525594375964003
IntDen_inverted_mean	Da/Di	0.0033502166294707703
RawIntDen_inverted_mean	Da/Di	0.0033502166294707703
Major_std	Da/Di	0.003286544984305584
Width_std	Da/Di	0.0029349326343292015
Mean_inverted	Da/Di	0.002918894991566501
Mean	Da/Di	0.002918894147079132
Height_std	Da/Di	0.002862354465040573
Y_inverted_std	Da/Di	0.0025321483798972366
Feret_std	Da/Di	0.0025140491702589918
Round_inverted_mean	Da/Di	0.0024298344171951314
Minor_std	Da/Di	0.002413872527787464
Angle_inverted_std	Da/Di	0.0024131102517694902
MinFeret_std	Da/Di	0.0023921510780137156
Round_inverted_std	Da/Di	0.0023693703366099994
Feret_inverted_mean	Da/Di	0.0023318205139071235
BY_inverted_std	Da/Di	0.0023273188866940187
MinFeret_inverted_mean	Da/Di	0.002321643407411811
FeretAngle_inverted_std	Da/Di	0.0023189350153006716
X_inverted_std	Da/Di	0.0023072411257893943
Height_inverted_mean	Da/Di	0.0023047536781213296
Width_inverted_mean	Da/Di	0.0022763426056942038
FeretY_inverted_std	Da/Di	0.0022553079004087317
Solidity_inverted_std	Da/Di	0.0022212468426098253
BY_inverted_mean	Da/Di	0.0021999934917642516
FeretX_inverted_std	Da/Di	0.0019661051590679213
BX_inverted_std	Da/Di	0.001960480744667259
Median	Da/Di	0.0018077473158303325
Median_inverted	Da/Di	0.0018077473158303325
BX_inverted_mean	Da/Di	0.0018054742397802803
FeretX_inverted_mean	Da/Di	0.0017977492130420991
FeretY_inverted_mean	Da/Di	0.0017283420593486865
Circ._inverted_std	Da/Di	0.001701787896025042
RawIntDen_std	Da/Di	0.001495394173353981
IntDen_std	Da/Di	0.001495394173353981
Area_std	Da/Di	0.001495394173353648
Perim._std	Da/Di	0.001383415594832238
X_mean	Da/Di	0.001245608086012262
Width_inverted_std	Da/Di	0.0012129902865256614
Height_inverted_std	Da/Di	0.0011989729395115445
AR_inverted_std	Da/Di	0.001194378517057948
FeretAngle_inverted_mean	Da/Di	0.0011594147748033024
Feret_inverted_std	Da/Di	0.0011248470343511174
num_spots	Da/Di	0.0011219270372005985
Solidity_std	Da/Di	0.0010319568999836992
MinFeret_inverted_std	Da/Di	0.0009954765206655614
Major_inverted_std	Da/Di	0.0009741916638600356
AR_inverted_mean	Da/Di	0.0007779493997127629
Perim._inverted_std	Da/Di	0.0007502413424531618
Minor_inverted_std	Da/Di	0.0006526674384390585
RawIntDen_mean	Da/Di	0.0006196108333688111
IntDen_mean	Da/Di	0.0006196108333688111
Area_inverted_std	Da/Di	0.00042690308013215716
RawIntDen_inverted_std	Da/Di	0.00042690308013215716
IntDen_inverted_std	Da/Di	0.00042690308013215716
X_inverted_mean	Da/Di	0.0002014091445856625
num_spots_inverted	Da/Di	0.0001971793332646854
Circ._mean	Da/Di	0.00019357810798736885
%Area_inverted_mean	Da/Di	0.00017089789751356665
Perim._inverted_mean	Da/Di	7.877427284597172e-05
Y_inverted_mean	Da/Di	3.609936552284587e-05
Y_mean	Da/Di	2.7632996431270485e-05
