feat	param	r2
%Area_std	Da	1.0
%Area_inverted_std	Da	1.0
num_spots	Da	0.005084472677174046
%Area_mean	Da	0.001602811873638088
num_spots_inverted	Da	0.001440448388450033
Major_mean	Da	0.00129277900783209
Width_mean	Da	0.0012814095784117185
Height_mean	Da	0.0012801112366613854
BX_mean	Da	0.0012638075283932793
Feret_mean	Da	0.001259494649261228
MinFeret_mean	Da	0.0012576510578932165
Minor_mean	Da	0.0012501348194388084
FeretX_mean	Da	0.001233578082122544
FeretY_mean	Da	0.0012248691419982638
BY_mean	Da	0.0012011758868178957
Area_mean	Da	0.001196687947248809
Perim._mean	Da	0.001164890988257672
X_std	Da	0.0011236135065525454
Y_std	Da	0.0011044031930679266
BX_std	Da	0.0010747900155057
FeretY_std	Da	0.001071191290999085
FeretX_std	Da	0.0010614003200190014
BY_std	Da	0.0010030379106497067
Angle_std	Da	0.0009744201816876963
Round_std	Da	0.0008079091011207185
Solidity_std	Da	0.0007642004212005116
Angle_inverted_mean	Da	0.0007299743594481045
Circ._mean	Da	0.0006196038219263844
Major_inverted_mean	Da	0.0006004831571134739
Area_inverted_mean	Da	0.0005800935225930282
BX_inverted_std	Da	0.0005444286939357834
Round_mean	Da	0.0005388952185039209
Minor_inverted_mean	Da	0.000535403916878785
FeretX_inverted_std	Da	0.0005339549451106596
BX_inverted_mean	Da	0.0004818754261288749
Solidity_mean	Da	0.00046266868241628956
FeretX_inverted_mean	Da	0.0004589617779967581
Width_inverted_mean	Da	0.00045808167188454707
Height_inverted_mean	Da	0.0004520044504749965
X_inverted_std	Da	0.00044824333353543633
Angle_mean	Da	0.00044727954013468185
Feret_inverted_mean	Da	0.0004460376055985815
FeretAngle_std	Da	0.0004428426294014187
MinFeret_inverted_mean	Da	0.000424802237758759
BY_inverted_mean	Da	0.0004012527878854977
BY_inverted_std	Da	0.00038342166895910523
Y_inverted_std	Da	0.00033665171528907134
FeretY_inverted_std	Da	0.0003211025864101602
Solidity_inverted_mean	Da	0.00031915707805563187
Round_inverted_std	Da	0.0003166321144545403
Angle_inverted_std	Da	0.0002945539732679414
Circ._std	Da	0.00027758870483540754
FeretAngle_mean	Da	0.0002172814540419843
FeretAngle_inverted_std	Da	0.00020887702149430254
Circ._inverted_mean	Da	0.00020817236763770453
AR_mean	Da	0.00017194510568607768
Minor_std	Da	0.00013908249001393092
RawIntDen_std	Da	0.00013635363913799825
IntDen_std	Da	0.00013635363913799825
Area_std	Da	0.0001363536391377762
Circ._inverted_std	Da	0.00013399183573514772
Round_inverted_mean	Da	0.00012891628230105034
Solidity_inverted_std	Da	0.0001256913586203945
RawIntDen_inverted_mean	Da	0.0001249100889568755
IntDen_inverted_mean	Da	0.0001249100889568755
Major_std	Da	0.00012461265306029645
AR_std	Da	0.00010128171437417954
Mean_inverted	Da	9.918086255267244e-05
Mean	Da	9.918080210402636e-05
AR_inverted_std	Da	9.72961864432742e-05
Feret_std	Da	9.524908336411286e-05
MinFeret_std	Da	9.285795979330214e-05
Height_std	Da	9.178004861587485e-05
Perim._std	Da	8.914369355883522e-05
Perim._inverted_mean	Da	8.443404574276503e-05
Width_std	Da	7.970601007423195e-05
FeretY_inverted_mean	Da	7.92622195322501e-05
Perim._inverted_std	Da	7.915719480822148e-05
Y_mean	Da	5.797515384609042e-05
Median	Da	4.845068312697709e-05
Median_inverted	Da	4.845068312697709e-05
Minor_inverted_std	Da	2.9128830219771196e-05
Area_inverted_std	Da	2.202649091287423e-05
IntDen_inverted_std	Da	2.2026490912763208e-05
RawIntDen_inverted_std	Da	2.2026490912763208e-05
Feret_inverted_std	Da	2.0726506650747822e-05
MinFeret_inverted_std	Da	2.0065527320811682e-05
Height_inverted_std	Da	1.972019206042397e-05
Major_inverted_std	Da	1.9299357735258482e-05
Width_inverted_std	Da	1.9118772324189237e-05
FeretAngle_inverted_mean	Da	1.8186256244279164e-05
AR_inverted_mean	Da	1.2016927256164323e-05
RawIntDen_mean	Da	9.40193120624322e-06
IntDen_mean	Da	9.40193120624322e-06
%Area_inverted_mean	Da	9.171348215986086e-06
X_inverted_mean	Da	6.631073666718557e-06
X_mean	Da	4.876889310390098e-06
Y_inverted_mean	Da	7.787559486160944e-11
