feat	param	r2
%Area_std	Di	1.0
%Area_inverted_std	Di	1.0
Angle_mean	Di	0.009129563232883608
FeretAngle_mean	Di	0.008907681871119788
%Area_mean	Di	0.008038950890207897
FeretAngle_std	Di	0.00715961420477762
Solidity_inverted_mean	Di	0.006885310117195953
Circ._std	Di	0.006014280935905392
Area_inverted_mean	Di	0.005607698261729022
Circ._inverted_mean	Di	0.005551660757949772
Round_mean	Di	0.005330551942163475
IntDen_inverted_mean	Di	0.004882342501563941
RawIntDen_inverted_mean	Di	0.004882342501563941
Round_std	Di	0.0045667812297774946
Mean_inverted	Di	0.004326558396594016
Mean	Di	0.0043265576698700015
Minor_inverted_mean	Di	0.004227288103871185
num_spots	Di	0.004219785625255046
Major_inverted_mean	Di	0.004130345526900392
Major_std	Di	0.003974124782724409
AR_mean	Di	0.0038587774750400428
Angle_std	Di	0.003602752399625486
Width_std	Di	0.003599213016909464
Height_std	Di	0.0034658706881699475
FeretY_std	Di	0.0032937795234303513
BY_std	Di	0.0032071048950608194
FeretX_std	Di	0.0031908854855452473
BX_std	Di	0.003140539540061882
Feret_std	Di	0.0030760831146535716
Y_std	Di	0.0029934197824803555
AR_std	Di	0.0029900261662598737
X_std	Di	0.0029079104087015306
MinFeret_std	Di	0.0028772838327109085
Median_inverted	Di	0.0028387951959685243
Median	Di	0.0028387951959685243
Minor_std	Di	0.0027918881579759303
FeretY_mean	Di	0.0026419529228182137
Angle_inverted_mean	Di	0.0025768528090155396
Y_inverted_std	Di	0.002554204654786396
Area_mean	Di	0.002530856817532956
Solidity_inverted_std	Di	0.002391951935639125
Angle_inverted_std	Di	0.0023751974323213965
FeretX_mean	Di	0.0023401913770535465
FeretAngle_inverted_std	Di	0.002309448299892436
FeretY_inverted_std	Di	0.002297758137288275
Round_inverted_mean	Di	0.002290852445474001
Round_inverted_std	Di	0.002285440855444909
BX_mean	Di	0.002226749026431385
X_inverted_std	Di	0.0022130023434071555
BY_inverted_std	Di	0.002181172501348194
Minor_mean	Di	0.002141949608985061
Feret_inverted_mean	Di	0.002112895205714116
MinFeret_inverted_mean	Di	0.002111632572492028
Height_inverted_mean	Di	0.0020771173195659465
BY_mean	Di	0.0020376340327069586
Width_inverted_mean	Di	0.0020371274697571495
Solidity_mean	Di	0.002007200227338357
MinFeret_mean	Di	0.0019708031106320245
BY_inverted_mean	Di	0.001951099381203636
Feret_mean	Di	0.0019392003668230462
Major_mean	Di	0.001934238055144255
FeretY_inverted_mean	Di	0.0019279681306789698
Height_mean	Di	0.0018760911805132396
Width_mean	Di	0.0018570004509693705
Circ._inverted_std	Di	0.0018427344772790066
RawIntDen_std	Di	0.00173762228131924
IntDen_std	Di	0.00173762228131924
Area_std	Di	0.0017376222813189068
FeretX_inverted_std	Di	0.001720581968927437
BX_inverted_std	Di	0.0017148101548867256
Perim._std	Di	0.001702355582895665
Width_inverted_std	Di	0.001584952457566735
Height_inverted_std	Di	0.001564439408634044
Perim._mean	Di	0.001506800973576583
X_mean	Di	0.0014795164589285204
BX_inverted_mean	Di	0.001479071320890868
FeretAngle_inverted_mean	Di	0.0014762341029787018
FeretX_inverted_mean	Di	0.0014717901409818657
Feret_inverted_std	Di	0.0014633430095752908
Major_inverted_std	Di	0.0012971025814073611
MinFeret_inverted_std	Di	0.0012886728009362525
RawIntDen_mean	Di	0.001194310637707252
IntDen_mean	Di	0.001194310637707252
Perim._inverted_std	Di	0.0009411121413401835
Minor_inverted_std	Di	0.0008715743622759176
AR_inverted_std	Di	0.000870215379052075
%Area_inverted_mean	Di	0.0006168594067558208
Area_inverted_std	Di	0.0005984511124611513
RawIntDen_inverted_std	Di	0.0005984511124610403
IntDen_inverted_std	Di	0.0005984511124610403
AR_inverted_mean	Di	0.0005149236777211019
X_inverted_mean	Di	0.0003561927950334054
Y_mean	Di	0.00026254277847370666
Circ._mean	Di	0.0002560924122637642
Solidity_std	Di	0.0001037454733168186
num_spots_inverted	Di	3.409678673471639e-05
Y_inverted_mean	Di	1.8469072116999996e-05
Perim._inverted_mean	Di	1.2371200399985405e-05
