feat	param	r2
%Area_std	Ga/Ba	1.0
%Area_inverted_std	Ga/Ba	1.0
Mean_inverted	Ga/Ba	0.3122108963309169
Mean	Ga/Ba	0.3122108954247642
RawIntDen_inverted_mean	Ga/Ba	0.30233686467729015
IntDen_inverted_mean	Ga/Ba	0.30233686467729015
IntDen_mean	Ga/Ba	0.2862178628600821
RawIntDen_mean	Ga/Ba	0.2862178628600821
%Area_inverted_mean	Ga/Ba	0.27387043750691176
Median_inverted	Ga/Ba	0.2652237935066688
Median	Ga/Ba	0.2652237935066688
%Area_mean	Ga/Ba	0.16617321732061485
Circ._mean	Ga/Ba	0.023047378363138527
Perim._mean	Ga/Ba	0.022605335827804773
Width_mean	Ga/Ba	0.02224550604518738
Height_mean	Ga/Ba	0.022234427520295696
Feret_mean	Ga/Ba	0.02219415056933627
Major_mean	Ga/Ba	0.02189017149039929
MinFeret_mean	Ga/Ba	0.021799393924249677
BX_mean	Ga/Ba	0.021622115420366517
FeretX_mean	Ga/Ba	0.021503666674395516
BY_mean	Ga/Ba	0.02137706851247223
Minor_mean	Ga/Ba	0.02105142722721065
Area_mean	Ga/Ba	0.020152049738891287
Angle_std	Ga/Ba	0.019604803192374787
X_std	Ga/Ba	0.01935894737069599
Y_std	Ga/Ba	0.018859947229714513
BX_std	Ga/Ba	0.018546171669161504
FeretX_std	Ga/Ba	0.018498496385134566
BY_std	Ga/Ba	0.017825494729100888
FeretY_std	Ga/Ba	0.01768481764005947
num_spots	Ga/Ba	0.017044849522686922
FeretY_mean	Ga/Ba	0.016779670437820027
FeretAngle_std	Ga/Ba	0.013341237437020759
Round_std	Ga/Ba	0.012074471845593515
Angle_inverted_mean	Ga/Ba	0.01136440664336602
Angle_mean	Ga/Ba	0.005782929035923812
FeretAngle_mean	Ga/Ba	0.004595877075409316
Solidity_mean	Ga/Ba	0.003964172352482476
Circ._inverted_mean	Ga/Ba	0.003949239186170073
Perim._inverted_mean	Ga/Ba	0.0031604298951265486
Solidity_inverted_mean	Ga/Ba	0.0030166882906175196
Height_inverted_mean	Ga/Ba	0.0028243361437929604
Width_inverted_mean	Ga/Ba	0.00282130835510086
MinFeret_inverted_mean	Ga/Ba	0.0028158830474029894
Feret_inverted_mean	Ga/Ba	0.0027815825352226486
BY_inverted_mean	Ga/Ba	0.002630773709460854
Round_mean	Ga/Ba	0.002305112705458412
BX_inverted_mean	Ga/Ba	0.0021995599563642276
FeretX_inverted_mean	Ga/Ba	0.0021802321988316775
Solidity_std	Ga/Ba	0.002178459355912654
X_inverted_std	Ga/Ba	0.002172585249015979
BY_inverted_std	Ga/Ba	0.002139297148360142
Y_inverted_std	Ga/Ba	0.00211021490268104
Angle_inverted_std	Ga/Ba	0.002086179439302449
FeretX_inverted_std	Ga/Ba	0.0019459430150510215
FeretY_inverted_std	Ga/Ba	0.0019251565345593802
BX_inverted_std	Ga/Ba	0.0019150225760024009
Round_inverted_std	Ga/Ba	0.0017596860833186678
FeretAngle_inverted_std	Ga/Ba	0.0015661935414781336
FeretAngle_inverted_mean	Ga/Ba	0.001445268553135648
Round_inverted_mean	Ga/Ba	0.001328721193293414
Minor_inverted_mean	Ga/Ba	0.0012531410890996852
Major_inverted_mean	Ga/Ba	0.0012003043438261196
Circ._inverted_std	Ga/Ba	0.0009734816510319488
Major_inverted_std	Ga/Ba	0.0007121666992840892
FeretY_inverted_mean	Ga/Ba	0.0006295210053365308
Solidity_inverted_std	Ga/Ba	0.0005801802759533015
Width_inverted_std	Ga/Ba	0.0005460196723746646
Height_inverted_std	Ga/Ba	0.0004971255186390078
Area_inverted_mean	Ga/Ba	0.0004954189205420567
Feret_std	Ga/Ba	0.0004947775388070008
Feret_inverted_std	Ga/Ba	0.000488608076547159
Minor_inverted_std	Ga/Ba	0.0004466312424875607
AR_std	Ga/Ba	0.00044345676683710256
Perim._std	Ga/Ba	0.00043057786864009184
Area_inverted_std	Ga/Ba	0.0004274989895209913
IntDen_inverted_std	Ga/Ba	0.0004274989895208803
RawIntDen_inverted_std	Ga/Ba	0.0004274989895208803
Width_std	Ga/Ba	0.0004222260624486829
MinFeret_inverted_std	Ga/Ba	0.00040880004958454563
Height_std	Ga/Ba	0.0004065166260189823
AR_inverted_std	Ga/Ba	0.00036327768017574424
Major_std	Ga/Ba	0.00035990597137636193
num_spots_inverted	Ga/Ba	0.00035230651802620194
Perim._inverted_std	Ga/Ba	0.0003082297549305002
Y_mean	Ga/Ba	0.0003065244066570161
AR_inverted_mean	Ga/Ba	0.0002709821910035215
X_inverted_mean	Ga/Ba	0.00026887979774403714
MinFeret_std	Ga/Ba	0.00023223690881524206
IntDen_std	Ga/Ba	0.00013567251760415733
RawIntDen_std	Ga/Ba	0.00013567251760415733
Area_std	Ga/Ba	0.0001356725176040463
Minor_std	Ga/Ba	9.903170858749366e-05
AR_mean	Ga/Ba	6.426774878920405e-05
Y_inverted_mean	Ga/Ba	1.753060623288505e-05
Circ._std	Ga/Ba	1.1879586243379592e-05
X_mean	Ga/Ba	7.844449434468714e-08
