feat	param	r2
%Area_inverted_std	Ga/Da	1.0
%Area_std	Ga/Da	1.0
%Area_mean	Ga/Da	0.28125350158171813
IntDen_inverted_mean	Ga/Da	0.2723330436850735
RawIntDen_inverted_mean	Ga/Da	0.2723330436850735
Mean_inverted	Ga/Da	0.2628305554458892
Mean	Ga/Da	0.2628305552476673
Median	Ga/Da	0.20388172923912362
Median_inverted	Ga/Da	0.20388172923912362
RawIntDen_mean	Ga/Da	0.20309580745422806
IntDen_mean	Ga/Da	0.20309580745422806
%Area_inverted_mean	Ga/Da	0.1753266534172334
Major_inverted_mean	Ga/Da	0.024380143278900368
Minor_inverted_mean	Ga/Da	0.02432189304632093
Area_inverted_mean	Ga/Da	0.024319214149621016
Height_inverted_mean	Ga/Da	0.02244292948561577
Feret_inverted_mean	Ga/Da	0.022414482782264655
Width_inverted_mean	Ga/Da	0.022402223545614164
MinFeret_inverted_mean	Ga/Da	0.022214861186247492
BY_inverted_mean	Ga/Da	0.020843879696970213
X_inverted_std	Ga/Da	0.020515992672197947
BX_inverted_mean	Ga/Da	0.020472943529943777
FeretX_inverted_mean	Ga/Da	0.020287568366853193
FeretX_inverted_std	Ga/Da	0.020041398715920478
BX_inverted_std	Ga/Da	0.02000389738357211
BY_inverted_std	Ga/Da	0.019067811701412474
Y_inverted_std	Ga/Da	0.01856312322699094
FeretY_inverted_std	Ga/Da	0.018555414074803434
Angle_inverted_std	Ga/Da	0.018260337867919807
Circ._std	Ga/Da	0.017391252054478445
Round_inverted_std	Ga/Da	0.017328993505693835
AR_mean	Ga/Da	0.016373727867059373
Round_mean	Ga/Da	0.015839856834744315
FeretAngle_inverted_std	Ga/Da	0.015476858405471194
Round_inverted_mean	Ga/Da	0.015021309079842782
Solidity_std	Ga/Da	0.013556151146207007
Circ._inverted_std	Ga/Da	0.013419472715216596
AR_std	Ga/Da	0.013246138129037077
num_spots_inverted	Ga/Da	0.012379020898505622
Solidity_inverted_std	Ga/Da	0.010307687936845222
num_spots	Ga/Da	0.010160940832837917
Major_inverted_std	Ga/Da	0.009777941204134777
Width_inverted_std	Ga/Da	0.008295323361095064
Height_inverted_std	Ga/Da	0.008116509107536585
Feret_inverted_std	Ga/Da	0.008037240971552007
Solidity_mean	Ga/Da	0.007938467750833955
Height_std	Ga/Da	0.007784190077287478
Width_std	Ga/Da	0.0077626693913359635
Minor_inverted_std	Ga/Da	0.007756511038631175
Feret_std	Ga/Da	0.007743595399684611
Major_std	Ga/Da	0.007736780516563679
Perim._inverted_std	Ga/Da	0.007673032807225755
Angle_mean	Ga/Da	0.007605104314122424
Area_inverted_std	Ga/Da	0.007329381787663625
RawIntDen_inverted_std	Ga/Da	0.007329381787663514
IntDen_inverted_std	Ga/Da	0.007329381787663514
MinFeret_inverted_std	Ga/Da	0.007295921695628649
Round_std	Ga/Da	0.006830233815609987
Perim._inverted_mean	Ga/Da	0.006511837556722133
FeretY_inverted_mean	Ga/Da	0.006225076780868366
Perim._std	Ga/Da	0.006072673235293591
MinFeret_std	Ga/Da	0.00600895895202036
AR_inverted_std	Ga/Da	0.005820402042990502
Solidity_inverted_mean	Ga/Da	0.004864548116043088
Minor_std	Ga/Da	0.004777469103480536
FeretAngle_mean	Ga/Da	0.004402517656095117
FeretY_mean	Ga/Da	0.004243698627948267
AR_inverted_mean	Ga/Da	0.0038839121722916703
Circ._inverted_mean	Ga/Da	0.0037999461041059446
FeretY_std	Ga/Da	0.0036009985336034056
Angle_inverted_mean	Ga/Da	0.0035826072386229146
BY_std	Ga/Da	0.003469728984313969
Y_std	Ga/Da	0.003254398922652779
RawIntDen_std	Ga/Da	0.003174635641310819
IntDen_std	Ga/Da	0.003174635641310819
Area_std	Ga/Da	0.003174635641310486
BX_std	Ga/Da	0.0031630363461810918
Area_mean	Ga/Da	0.0031360709214233173
FeretX_std	Ga/Da	0.0031348573341257735
X_std	Ga/Da	0.0030555384875100566
Minor_mean	Ga/Da	0.002834087987550582
FeretAngle_inverted_mean	Ga/Da	0.002768069379546878
Circ._mean	Ga/Da	0.0027035160861290652
Major_mean	Ga/Da	0.0025774155035371837
FeretAngle_std	Ga/Da	0.0025359165988786403
MinFeret_mean	Ga/Da	0.0024055501141698743
BY_mean	Ga/Da	0.00229388522043128
Width_mean	Ga/Da	0.002284127602741659
BX_mean	Ga/Da	0.002282703168914879
Height_mean	Ga/Da	0.0022824148047422277
FeretX_mean	Ga/Da	0.002252289692594278
Feret_mean	Ga/Da	0.0022440754200547808
Angle_std	Ga/Da	0.0022117928690845723
Perim._mean	Ga/Da	0.0014212476334836133
X_inverted_mean	Ga/Da	0.00017937145515312114
Y_inverted_mean	Ga/Da	0.00012993987617992975
X_mean	Ga/Da	3.922181612303621e-05
Y_mean	Ga/Da	6.852419853431435e-06
