feat	param	r2
%Area_std	Ga/Di	1.0
%Area_inverted_std	Ga/Di	1.0
IntDen_inverted_mean	Ga/Di	0.07692070229112957
RawIntDen_inverted_mean	Ga/Di	0.07692070229112957
Mean	Ga/Di	0.07565230361445074
Mean_inverted	Ga/Di	0.07565230030886971
IntDen_mean	Ga/Di	0.0663610378518209
RawIntDen_mean	Ga/Di	0.0663610378518209
%Area_mean	Ga/Di	0.06524628018054845
%Area_inverted_mean	Ga/Di	0.06188123796203848
Median_inverted	Ga/Di	0.0593073518981756
Median	Ga/Di	0.0593073518981756
num_spots	Ga/Di	0.01140396548590994
num_spots_inverted	Ga/Di	0.002787657505537444
Solidity_std	Ga/Di	0.002557003492568044
BX_inverted_mean	Ga/Di	0.002521104014013731
Width_inverted_mean	Ga/Di	0.002499372787189924
FeretX_inverted_mean	Ga/Di	0.0024956894105436778
Height_inverted_mean	Ga/Di	0.0024745481626679
Feret_inverted_mean	Ga/Di	0.002463623546518523
MinFeret_inverted_mean	Ga/Di	0.0024150720316771235
FeretX_inverted_std	Ga/Di	0.0022912604123771496
BX_inverted_std	Ga/Di	0.0022899467793423556
BY_inverted_mean	Ga/Di	0.0022384549263994025
X_inverted_std	Ga/Di	0.002125558401546379
FeretY_inverted_std	Ga/Di	0.001877798788907148
Major_inverted_mean	Ga/Di	0.001859926923936439
Minor_inverted_mean	Ga/Di	0.0018142070535300814
BY_inverted_std	Ga/Di	0.0017977177727015459
Angle_inverted_std	Ga/Di	0.0016482348593354068
Y_inverted_std	Ga/Di	0.001580110722434247
Area_inverted_std	Ga/Di	0.0014949226170991592
RawIntDen_inverted_std	Ga/Di	0.0014949226170989371
IntDen_inverted_std	Ga/Di	0.0014949226170989371
Round_inverted_std	Ga/Di	0.0014871097819071366
Area_inverted_mean	Ga/Di	0.0014081509680612392
Major_inverted_std	Ga/Di	0.0013704998664222368
Circ._inverted_std	Ga/Di	0.0013444267664556309
Minor_inverted_std	Ga/Di	0.0012931795318582573
AR_mean	Ga/Di	0.001215762685083499
Perim._inverted_mean	Ga/Di	0.0011967048666541302
FeretAngle_inverted_std	Ga/Di	0.0011771616725685385
FeretAngle_std	Ga/Di	0.0011649374973905502
Perim._inverted_std	Ga/Di	0.001126561760063316
AR_std	Ga/Di	0.0010405254330928537
Round_inverted_mean	Ga/Di	0.0009744102928584963
Feret_inverted_std	Ga/Di	0.0008741015365312244
Width_inverted_std	Ga/Di	0.0008504117990133508
MinFeret_inverted_std	Ga/Di	0.0008397049911379462
Height_inverted_std	Ga/Di	0.000834822810327096
FeretAngle_mean	Ga/Di	0.0007852292080714474
Circ._mean	Ga/Di	0.0007619575214418139
X_mean	Ga/Di	0.00067762974420571
Circ._std	Ga/Di	0.000604890969923555
Angle_std	Ga/Di	0.0006039568251204885
Round_mean	Ga/Di	0.0005457978332040758
Angle_mean	Ga/Di	0.0005020279159169139
Solidity_inverted_std	Ga/Di	0.0004981259827484541
FeretY_inverted_mean	Ga/Di	0.00039597556998227645
FeretX_mean	Ga/Di	0.0002847684640797654
FeretX_std	Ga/Di	0.0002654840017543014
BX_mean	Ga/Di	0.00025608038199087524
BX_std	Ga/Di	0.000252719193036377
AR_inverted_std	Ga/Di	0.00022814764750167527
X_std	Ga/Di	0.00022224464329645421
Perim._mean	Ga/Di	0.00021303575972242417
BY_std	Ga/Di	0.0002058925265390199
Y_std	Ga/Di	0.000203168170891721
FeretY_std	Ga/Di	0.00019694002742320915
Feret_mean	Ga/Di	0.00018864497126902524
BY_mean	Ga/Di	0.00018576327884178845
Perim._std	Ga/Di	0.00018518736647898937
Height_mean	Ga/Di	0.00017145563350939863
MinFeret_mean	Ga/Di	0.00016723862091749808
Width_mean	Ga/Di	0.00016638078038400117
Area_mean	Ga/Di	0.00016391274840876768
Major_mean	Ga/Di	0.00014438359827795288
Minor_mean	Ga/Di	0.00014076663807649492
AR_inverted_mean	Ga/Di	0.00013438327366688263
Solidity_mean	Ga/Di	0.00012223072608641417
FeretAngle_inverted_mean	Ga/Di	0.00011547319241433929
Solidity_inverted_mean	Ga/Di	0.00010431149821876762
Feret_std	Ga/Di	9.321930718841909e-05
FeretY_mean	Ga/Di	6.902705265732223e-05
Height_std	Ga/Di	5.7659631626294505e-05
Circ._inverted_mean	Ga/Di	5.5405185288570635e-05
Angle_inverted_mean	Ga/Di	5.385623409670526e-05
Width_std	Ga/Di	4.760210614818128e-05
Y_mean	Ga/Di	2.2415790371321798e-05
MinFeret_std	Ga/Di	2.225769767383312e-05
Major_std	Ga/Di	1.5575764859554475e-05
X_inverted_mean	Ga/Di	1.0272605126093737e-05
Y_inverted_mean	Ga/Di	2.117820481206678e-06
Round_std	Ga/Di	1.7695544869411606e-06
RawIntDen_std	Ga/Di	1.212462494182276e-06
IntDen_std	Ga/Di	1.212462494182276e-06
Area_std	Ga/Di	1.212462494182276e-06
Minor_std	Ga/Di	5.035951888832102e-07
