feat	param	r2
%Area_inverted_std	Ga	1.0
%Area_std	Ga	1.0
%Area_mean	Ga	0.29606702301775234
RawIntDen_inverted_mean	Ga	0.2921663003219729
IntDen_inverted_mean	Ga	0.2921663003219729
Mean	Ga	0.2823011624913331
Mean_inverted	Ga	0.28230116114891546
RawIntDen_mean	Ga	0.21892471787660517
IntDen_mean	Ga	0.21892471787660517
Median	Ga	0.218903572613101
Median_inverted	Ga	0.218903572613101
%Area_inverted_mean	Ga	0.19065700600932223
Area_inverted_mean	Ga	0.024471814916718126
Minor_inverted_mean	Ga	0.024399324146546775
Major_inverted_mean	Ga	0.024325122771541197
Height_inverted_mean	Ga	0.022386876424259405
Feret_inverted_mean	Ga	0.022377771051235174
Width_inverted_mean	Ga	0.02232971606238121
MinFeret_inverted_mean	Ga	0.022215367054357782
BY_inverted_mean	Ga	0.020908225316543683
X_inverted_std	Ga	0.020488348284583124
BX_inverted_mean	Ga	0.020337734543000696
FeretX_inverted_mean	Ga	0.020198967935236678
FeretX_inverted_std	Ga	0.019837778607340595
BX_inverted_std	Ga	0.019777704869452517
BY_inverted_std	Ga	0.019155737970202646
FeretY_inverted_std	Ga	0.018773901401987425
Y_inverted_std	Ga	0.018688598688644253
Angle_inverted_std	Ga	0.018564382834054816
Circ._std	Ga	0.01798761698939977
Round_inverted_std	Ga	0.017492295306618666
AR_mean	Ga	0.017266758021346473
Round_mean	Ga	0.016108936461038947
FeretAngle_inverted_std	Ga	0.01581252348711848
Round_inverted_mean	Ga	0.015422813384430412
AR_std	Ga	0.014187933277870046
Circ._inverted_std	Ga	0.013809067093242033
Solidity_std	Ga	0.013378935652068602
Solidity_inverted_std	Ga	0.010618599531230344
num_spots_inverted	Ga	0.010526307687940495
Major_inverted_std	Ga	0.010333148581826102
Width_inverted_std	Ga	0.008773481612927791
Height_inverted_std	Ga	0.00855040620892522
Feret_inverted_std	Ga	0.008466361449270154
Width_std	Ga	0.008141830939375816
Height_std	Ga	0.008126793875100957
Minor_inverted_std	Ga	0.00807274530070401
Feret_std	Ga	0.008060811373000742
Major_std	Ga	0.007978898138274904
Perim._inverted_std	Ga	0.007785274596640579
Solidity_mean	Ga	0.007783457076333433
Angle_mean	Ga	0.00768515553776572
MinFeret_inverted_std	Ga	0.007667439380484753
Area_inverted_std	Ga	0.007637917273540573
IntDen_inverted_std	Ga	0.007637917273540462
RawIntDen_inverted_std	Ga	0.007637917273540462
num_spots	Ga	0.007578928711476918
Round_std	Ga	0.006554848236521971
FeretY_inverted_mean	Ga	0.006474676732968643
Perim._inverted_mean	Ga	0.0064428679223201835
Perim._std	Ga	0.006327881986408768
MinFeret_std	Ga	0.006228061194683443
AR_inverted_std	Ga	0.005802171787751775
Solidity_inverted_mean	Ga	0.0049226405590939715
Minor_std	Ga	0.004811120092294563
FeretAngle_mean	Ga	0.00464229042161568
Circ._inverted_mean	Ga	0.003957586498775867
AR_inverted_mean	Ga	0.003915435348756491
FeretY_mean	Ga	0.0037676137977005197
Circ._mean	Ga	0.003391852278801455
Angle_inverted_mean	Ga	0.003289042559152744
FeretY_std	Ga	0.0032247132235666554
BY_std	Ga	0.003132446979336012
RawIntDen_std	Ga	0.003121944119892528
IntDen_std	Ga	0.003121944119892528
Area_std	Ga	0.003121944119892195
FeretAngle_inverted_mean	Ga	0.0029647154275743715
Y_std	Ga	0.002866704486627736
BX_std	Ga	0.002794493358015959
FeretX_std	Ga	0.0027722454057069745
Area_mean	Ga	0.002708662092274494
X_std	Ga	0.00266540409149596
FeretAngle_std	Ga	0.0025063509924899696
Minor_mean	Ga	0.0023987458079983703
Major_mean	Ga	0.002136435970766959
MinFeret_mean	Ga	0.0019904378269892664
BY_mean	Ga	0.0019105120090638916
Angle_std	Ga	0.0019052344928237597
BX_mean	Ga	0.0018692939970541556
Width_mean	Ga	0.0018671362304176764
Height_mean	Ga	0.001865818395326957
FeretX_mean	Ga	0.001851010847652268
Feret_mean	Ga	0.0018368909348109863
Perim._mean	Ga	0.0011013187114624623
X_inverted_mean	Ga	0.0001971927835248133
Y_inverted_mean	Ga	0.0001637667675368215
X_mean	Ga	3.729334572244447e-05
Y_mean	Ga	3.131251138033253e-05
