feat	param	r2
%Area_std	Gi/Di	1.0
%Area_inverted_std	Gi/Di	1.0
RawIntDen_inverted_mean	Gi/Di	0.037399660906905496
IntDen_inverted_mean	Gi/Di	0.037399660906905496
%Area_mean	Gi/Di	0.033551357397009984
Mean_inverted	Gi/Di	0.033400850611708055
Mean	Gi/Di	0.03340084759884243
Median_inverted	Gi/Di	0.028013404416719068
Median	Gi/Di	0.028013404416719068
IntDen_mean	Gi/Di	0.024711441110889854
RawIntDen_mean	Gi/Di	0.024711441110889854
%Area_inverted_mean	Gi/Di	0.018076466288159176
num_spots	Gi/Di	0.011403007269364829
Minor_inverted_mean	Gi/Di	0.008926866177854098
Major_inverted_mean	Gi/Di	0.008898679936659826
Area_inverted_mean	Gi/Di	0.008765674451438277
Angle_mean	Gi/Di	0.008762215588244748
Feret_inverted_mean	Gi/Di	0.008711212429293291
Height_inverted_mean	Gi/Di	0.008669577224863612
Angle_inverted_std	Gi/Di	0.008651586578861892
MinFeret_inverted_mean	Gi/Di	0.008650026000798894
Width_inverted_mean	Gi/Di	0.00863722187722471
Y_inverted_std	Gi/Di	0.008541204672748326
FeretAngle_inverted_std	Gi/Di	0.008438162351419143
X_inverted_std	Gi/Di	0.00797885415273314
BY_inverted_mean	Gi/Di	0.007803212286228267
FeretY_inverted_std	Gi/Di	0.007741453528452347
BY_inverted_std	Gi/Di	0.007638366283148068
Round_inverted_std	Gi/Di	0.007447553841988808
FeretX_inverted_mean	Gi/Di	0.0072969791289496655
BX_inverted_mean	Gi/Di	0.007254435186846653
Circ._std	Gi/Di	0.006900652432697885
Solidity_mean	Gi/Di	0.006823199218385589
FeretX_inverted_std	Gi/Di	0.006798885406617661
BX_inverted_std	Gi/Di	0.006778353265392445
FeretAngle_mean	Gi/Di	0.006177572148032495
Circ._mean	Gi/Di	0.0055521715099762226
Round_inverted_mean	Gi/Di	0.005163549571979953
Width_std	Gi/Di	0.004333456725552964
Height_std	Gi/Di	0.004259012888059632
Circ._inverted_std	Gi/Di	0.004161080807559503
Feret_std	Gi/Di	0.003908772417426709
Major_std	Gi/Di	0.003690756374066795
Perim._inverted_mean	Gi/Di	0.003641320965832806
MinFeret_std	Gi/Di	0.00362684767498056
num_spots_inverted	Gi/Di	0.0035649704465873233
AR_mean	Gi/Di	0.0035647798692304278
Perim._std	Gi/Di	0.0034526772752039303
Solidity_inverted_std	Gi/Di	0.003213683263668332
Minor_std	Gi/Di	0.002850421826319116
FeretAngle_std	Gi/Di	0.0027528646073605723
AR_std	Gi/Di	0.0027137398871391882
Major_inverted_std	Gi/Di	0.0026929093278764693
Round_mean	Gi/Di	0.0026422335997958735
Width_inverted_std	Gi/Di	0.0023093862083740646
Height_inverted_std	Gi/Di	0.002256106213555875
AR_inverted_std	Gi/Di	0.0022447843830517566
Feret_inverted_std	Gi/Di	0.002142075304703117
Area_std	Gi/Di	0.0019344193854780034
IntDen_std	Gi/Di	0.0019344193854778924
RawIntDen_std	Gi/Di	0.0019344193854778924
MinFeret_inverted_std	Gi/Di	0.0018959261572877306
Perim._inverted_std	Gi/Di	0.001789610159196986
Minor_inverted_std	Gi/Di	0.0017743090853854504
Area_inverted_std	Gi/Di	0.001530452816593253
IntDen_inverted_std	Gi/Di	0.001530452816593031
RawIntDen_inverted_std	Gi/Di	0.001530452816593031
X_mean	Gi/Di	0.0014379554893484414
Round_std	Gi/Di	0.0011930701023440404
FeretY_inverted_mean	Gi/Di	0.001077793307718733
Solidity_inverted_mean	Gi/Di	0.0010263843180091659
Solidity_std	Gi/Di	0.0009770000389930367
AR_inverted_mean	Gi/Di	0.0009643102369435441
Angle_inverted_mean	Gi/Di	0.0009293506924420436
Angle_std	Gi/Di	0.0006321466976138002
FeretY_mean	Gi/Di	0.0005575473833197009
BY_std	Gi/Di	0.000532857859749325
FeretY_std	Gi/Di	0.0005174723788824442
FeretX_std	Gi/Di	0.0005023441841834897
BX_std	Gi/Di	0.000483419045128608
X_inverted_mean	Gi/Di	0.0004003182869101174
FeretAngle_inverted_mean	Gi/Di	0.00038192575340900703
Y_std	Gi/Di	0.0003807891319909107
X_std	Gi/Di	0.0003406889837028748
Circ._inverted_mean	Gi/Di	0.0003186493105578059
Area_mean	Gi/Di	0.00031773893927899977
Y_mean	Gi/Di	0.00021684335024685364
Minor_mean	Gi/Di	0.0001622865520256589
FeretX_mean	Gi/Di	0.00015884802474464
BX_mean	Gi/Di	0.0001309249277720026
Major_mean	Gi/Di	0.0001062269257025017
BY_mean	Gi/Di	7.894983661449473e-05
MinFeret_mean	Gi/Di	6.931601422865974e-05
Feret_mean	Gi/Di	6.040409407548353e-05
Height_mean	Gi/Di	5.007764469577847e-05
Width_mean	Gi/Di	4.7754182794679245e-05
Perim._mean	Gi/Di	7.254115331090105e-06
Y_inverted_mean	Gi/Di	7.216289951372801e-06
