feat	param	r2
%Area_std	Ua/Ba	1.0
%Area_inverted_std	Ua/Ba	1.0
Solidity_inverted_mean	Ua/Ba	0.01073044137916157
Circ._inverted_mean	Ua/Ba	0.00859156372663683
Circ._mean	Ua/Ba	0.008400221407359076
Perim._mean	Ua/Ba	0.007854947331583984
Feret_mean	Ua/Ba	0.007162862673989023
Height_mean	Ua/Ba	0.007121518382050107
Width_mean	Ua/Ba	0.007119873177558911
MinFeret_mean	Ua/Ba	0.007050764355519545
Angle_std	Ua/Ba	0.0069913826938954315
FeretX_mean	Ua/Ba	0.006801689710773329
BX_mean	Ua/Ba	0.006755695113801585
BY_mean	Ua/Ba	0.006737284330613713
Major_mean	Ua/Ba	0.006696038017288131
Minor_mean	Ua/Ba	0.006610195568840682
X_std	Ua/Ba	0.006543337581970343
Area_mean	Ua/Ba	0.006527714612989288
Y_std	Ua/Ba	0.00641228389875681
FeretY_std	Ua/Ba	0.006221709552839072
FeretX_std	Ua/Ba	0.006168260380698065
BX_std	Ua/Ba	0.006167871632012822
BY_std	Ua/Ba	0.006114893970089241
FeretY_mean	Ua/Ba	0.00579602086882991
Round_std	Ua/Ba	0.005097974469914113
IntDen_mean	Ua/Ba	0.004912762329864595
RawIntDen_mean	Ua/Ba	0.004912762329864595
FeretAngle_std	Ua/Ba	0.0048923747674697315
num_spots	Ua/Ba	0.0039492044188293995
%Area_inverted_mean	Ua/Ba	0.0037894859623429644
Angle_inverted_mean	Ua/Ba	0.003526937522462914
IntDen_inverted_mean	Ua/Ba	0.0031240758031891858
RawIntDen_inverted_mean	Ua/Ba	0.0031240758031891858
Median	Ua/Ba	0.002680687901854162
Median_inverted	Ua/Ba	0.002680687901854162
Perim._inverted_mean	Ua/Ba	0.0026185216179434034
Mean_inverted	Ua/Ba	0.002242737920947091
Mean	Ua/Ba	0.0022427378855662816
FeretAngle_mean	Ua/Ba	0.002011350940801071
Angle_mean	Ua/Ba	0.0017768187978169925
num_spots_inverted	Ua/Ba	0.0015991344352395132
Width_inverted_mean	Ua/Ba	0.0011439688950681814
Height_inverted_mean	Ua/Ba	0.0011361730214517474
Feret_inverted_mean	Ua/Ba	0.0011329740423176027
Round_mean	Ua/Ba	0.001113691189136512
MinFeret_inverted_mean	Ua/Ba	0.0010901907891783802
Angle_inverted_std	Ua/Ba	0.000989492360435662
BY_inverted_mean	Ua/Ba	0.0009683387459233916
FeretX_inverted_mean	Ua/Ba	0.0008862791208086307
BX_inverted_mean	Ua/Ba	0.0008685632157497958
Y_inverted_std	Ua/Ba	0.0008353715693194541
X_inverted_std	Ua/Ba	0.0008275901004584085
BY_inverted_std	Ua/Ba	0.0007323659447042719
FeretY_inverted_std	Ua/Ba	0.0007075964264843249
FeretAngle_inverted_std	Ua/Ba	0.0006930725632727786
FeretX_inverted_std	Ua/Ba	0.0006911856328143395
BX_inverted_std	Ua/Ba	0.0006759864541209248
Round_inverted_std	Ua/Ba	0.000569364329276012
AR_inverted_mean	Ua/Ba	0.0003657908428567058
FeretAngle_inverted_mean	Ua/Ba	0.00028464588007048874
Circ._std	Ua/Ba	0.00026173579767929667
Y_mean	Ua/Ba	0.00023709015834405545
Solidity_mean	Ua/Ba	0.00021821007254330116
%Area_mean	Ua/Ba	0.00016423521732211732
Area_inverted_std	Ua/Ba	0.00016273061290117408
IntDen_inverted_std	Ua/Ba	0.000162730612900841
RawIntDen_inverted_std	Ua/Ba	0.000162730612900841
Major_inverted_std	Ua/Ba	0.0001502668842298105
AR_inverted_std	Ua/Ba	0.00015024571514021812
Area_inverted_mean	Ua/Ba	0.00014878761920100736
Minor_std	Ua/Ba	0.00014591426595877977
X_inverted_mean	Ua/Ba	0.00013582377820064995
Circ._inverted_std	Ua/Ba	0.00013178965688809274
Perim._std	Ua/Ba	0.00013046131067084854
Major_std	Ua/Ba	0.00012551026306206747
Minor_inverted_std	Ua/Ba	8.935433860590702e-05
RawIntDen_std	Ua/Ba	8.747940683551114e-05
IntDen_std	Ua/Ba	8.747940683551114e-05
Area_std	Ua/Ba	8.747940683540012e-05
FeretY_inverted_mean	Ua/Ba	8.103376197421408e-05
AR_std	Ua/Ba	7.741189700116724e-05
Solidity_inverted_std	Ua/Ba	7.434622267310509e-05
X_mean	Ua/Ba	5.776638903587372e-05
Major_inverted_mean	Ua/Ba	2.1907684634170366e-05
Width_inverted_std	Ua/Ba	1.7867028681783914e-05
Minor_inverted_mean	Ua/Ba	1.562401614729758e-05
Perim._inverted_std	Ua/Ba	1.5262965334494893e-05
Feret_inverted_std	Ua/Ba	1.3059466999254532e-05
Height_inverted_std	Ua/Ba	1.268027620404677e-05
MinFeret_inverted_std	Ua/Ba	1.1139451089436925e-05
MinFeret_std	Ua/Ba	8.353117954218447e-06
Y_inverted_mean	Ua/Ba	5.142099464894301e-06
AR_mean	Ua/Ba	4.2476748753905724e-06
Height_std	Ua/Ba	2.4420661591806336e-06
Solidity_std	Ua/Ba	2.2035877921267044e-06
Round_inverted_mean	Ua/Ba	1.6437128663726597e-06
Width_std	Ua/Ba	1.208234686966847e-06
Feret_std	Ua/Ba	9.001026389787725e-07
