feat	param	r2
%Area_std	Ua/Da	1.0
%Area_inverted_std	Ua/Da	1.0
Mean_inverted	Ua/Da	0.08544647372863012
Mean	Ua/Da	0.0854464732075364
%Area_inverted_mean	Ua/Da	0.07657500063485134
Median_inverted	Ua/Da	0.0726348033873272
Median	Ua/Da	0.0726348033873272
IntDen_inverted_mean	Ua/Da	0.06813653370737371
RawIntDen_inverted_mean	Ua/Da	0.06813653370737371
IntDen_mean	Ua/Da	0.06716116072445488
RawIntDen_mean	Ua/Da	0.06716116072445488
num_spots	Ua/Da	0.031754258425724435
Solidity_mean	Ua/Da	0.028132471508913404
%Area_mean	Ua/Da	0.027781063845705556
Solidity_std	Ua/Da	0.024294715797168354
num_spots_inverted	Ua/Da	0.01587174062463037
Major_mean	Ua/Da	0.010534673750446477
Minor_mean	Ua/Da	0.01011690374831431
BX_mean	Ua/Da	0.009795272746819017
Width_mean	Ua/Da	0.009650906041612894
Height_mean	Ua/Da	0.009621811664200064
Area_mean	Ua/Da	0.009541882765877308
MinFeret_mean	Ua/Da	0.009464602435520275
FeretX_mean	Ua/Da	0.009456144921181964
BY_mean	Ua/Da	0.009450528333970198
Feret_mean	Ua/Da	0.009383867751087793
FeretY_mean	Ua/Da	0.008878061958839445
BX_std	Ua/Da	0.008448840096833887
X_std	Ua/Da	0.00842941387734708
Y_std	Ua/Da	0.008423885969371825
FeretX_std	Ua/Da	0.008335389857640041
BY_std	Ua/Da	0.008193090480753784
Round_mean	Ua/Da	0.00811153568612899
FeretY_std	Ua/Da	0.007994739571659082
Perim._mean	Ua/Da	0.007560425642362034
AR_mean	Ua/Da	0.007010959883346435
Angle_inverted_mean	Ua/Da	0.006946859707848807
Round_std	Ua/Da	0.006870840864010019
AR_std	Ua/Da	0.006406216305904433
Angle_std	Ua/Da	0.006305532500790578
Solidity_inverted_mean	Ua/Da	0.006280604874395634
Width_inverted_mean	Ua/Da	0.0062618795093037916
Feret_inverted_mean	Ua/Da	0.006257019442426848
Height_inverted_mean	Ua/Da	0.00623759546512026
BX_inverted_mean	Ua/Da	0.006153030518820546
FeretX_inverted_mean	Ua/Da	0.006132993768197981
MinFeret_inverted_mean	Ua/Da	0.005924752637674335
BX_inverted_std	Ua/Da	0.005818399762471449
FeretX_inverted_std	Ua/Da	0.005803023800804441
X_inverted_std	Ua/Da	0.005745637377114088
Angle_inverted_std	Ua/Da	0.005629359134712075
BY_inverted_mean	Ua/Da	0.005366619290270158
Y_inverted_std	Ua/Da	0.005025337085683534
FeretY_inverted_std	Ua/Da	0.00492158637553286
BY_inverted_std	Ua/Da	0.004850775742601177
Angle_mean	Ua/Da	0.004668096714649961
FeretY_inverted_mean	Ua/Da	0.004532017876774375
Perim._inverted_mean	Ua/Da	0.004158746013915415
FeretAngle_inverted_std	Ua/Da	0.0041499923858382415
Round_inverted_std	Ua/Da	0.004070337505530097
FeretAngle_std	Ua/Da	0.003527136390738761
Circ._std	Ua/Da	0.0030253599344282067
Area_inverted_std	Ua/Da	0.0029290982549711186
RawIntDen_inverted_std	Ua/Da	0.0029290982549708966
IntDen_inverted_std	Ua/Da	0.0029290982549708966
Major_inverted_mean	Ua/Da	0.0028822308764955284
FeretAngle_inverted_mean	Ua/Da	0.0028518465470765975
Minor_inverted_mean	Ua/Da	0.0025834737917856954
Major_inverted_std	Ua/Da	0.002490635299709165
Circ._inverted_mean	Ua/Da	0.0024653055403401902
Circ._inverted_std	Ua/Da	0.0023773371552298084
Minor_inverted_std	Ua/Da	0.00229985122947185
FeretAngle_mean	Ua/Da	0.001667570543901098
Perim._inverted_std	Ua/Da	0.0016084499394368734
Area_inverted_mean	Ua/Da	0.0014705298382835519
Circ._mean	Ua/Da	0.0012666106641178176
Perim._std	Ua/Da	0.0012255153062897817
MinFeret_inverted_std	Ua/Da	0.0011167436502496075
Width_inverted_std	Ua/Da	0.001104880372884809
Feret_inverted_std	Ua/Da	0.0010990720432201284
Height_inverted_std	Ua/Da	0.0010458535712227768
AR_inverted_mean	Ua/Da	0.0006272833966910474
Feret_std	Ua/Da	0.0004615386878696892
Width_std	Ua/Da	0.00037038964018520915
Height_std	Ua/Da	0.0003665122542312327
MinFeret_std	Ua/Da	0.00030544552297306904
X_mean	Ua/Da	0.0003051678977078476
Round_inverted_mean	Ua/Da	0.0003028264620755783
Solidity_inverted_std	Ua/Da	0.00012728776257930896
AR_inverted_std	Ua/Da	8.926379063556311e-05
Y_inverted_mean	Ua/Da	1.6862069342815644e-05
Minor_std	Ua/Da	1.6445739379089552e-05
Major_std	Ua/Da	1.6182697824329573e-05
Y_mean	Ua/Da	1.0184504435462038e-05
X_inverted_mean	Ua/Da	2.9126512545163408e-06
RawIntDen_std	Ua/Da	1.0813503622530973e-06
IntDen_std	Ua/Da	1.0813503622530973e-06
Area_std	Ua/Da	1.0813503620310527e-06
