feat	param	r2
%Area_inverted_std	Ua/Di	1.0
%Area_std	Ua/Di	1.0
Mean_inverted	Ua/Di	0.042299445423553794
Mean	Ua/Di	0.042299444200272096
IntDen_inverted_mean	Ua/Di	0.03669946305689209
RawIntDen_inverted_mean	Ua/Di	0.03669946305689209
%Area_mean	Ua/Di	0.03403755681745846
Median	Ua/Di	0.03343334950917065
Median_inverted	Ua/Di	0.03343334950917065
%Area_inverted_mean	Ua/Di	0.02746764953353431
IntDen_mean	Ua/Di	0.026984688071033047
RawIntDen_mean	Ua/Di	0.026984688071033047
num_spots	Ua/Di	0.016205190189929497
Solidity_inverted_mean	Ua/Di	0.011383239421520641
Circ._inverted_mean	Ua/Di	0.0073749431798432186
num_spots_inverted	Ua/Di	0.0035370809822707905
FeretAngle_mean	Ua/Di	0.00350233645417386
Solidity_std	Ua/Di	0.003047197883657149
Angle_mean	Ua/Di	0.002583902171777064
FeretAngle_std	Ua/Di	0.0025633461888072695
Major_std	Ua/Di	0.0017316063065847542
Area_inverted_mean	Ua/Di	0.0013289608049270596
Minor_std	Ua/Di	0.0012505630640663457
Solidity_mean	Ua/Di	0.001242938572198371
AR_inverted_mean	Ua/Di	0.0010636967836257227
Width_std	Ua/Di	0.0009902674074575568
Circ._std	Ua/Di	0.0009702935024076265
Height_std	Ua/Di	0.0009665636331102068
Perim._inverted_mean	Ua/Di	0.000942484671751953
Angle_std	Ua/Di	0.0008589602291185772
RawIntDen_std	Ua/Di	0.0008452842032743435
IntDen_std	Ua/Di	0.0008452842032743435
Area_std	Ua/Di	0.0008452842032740104
AR_inverted_std	Ua/Di	0.0008332616344651766
MinFeret_std	Ua/Di	0.0008010082493079551
Feret_std	Ua/Di	0.0007390627900347724
Solidity_inverted_std	Ua/Di	0.0007353603760481553
Round_inverted_mean	Ua/Di	0.0006848774938364999
Round_std	Ua/Di	0.0005025662637546668
Minor_inverted_mean	Ua/Di	0.000469959818483634
X_mean	Ua/Di	0.0004018522860860241
Major_inverted_mean	Ua/Di	0.0003932214543448387
FeretY_std	Ua/Di	0.000378151972309837
FeretX_std	Ua/Di	0.00033118317513292084
BY_std	Ua/Di	0.00032925132368621934
BX_std	Ua/Di	0.00031084726654184713
Y_std	Ua/Di	0.0002853317018878254
X_std	Ua/Di	0.00027460798184175683
Area_inverted_std	Ua/Di	0.00022425621211630276
RawIntDen_inverted_std	Ua/Di	0.00022425621211630276
IntDen_inverted_std	Ua/Di	0.00022425621211630276
Round_mean	Ua/Di	0.00018664999656026193
FeretY_mean	Ua/Di	0.00015494674889982019
Area_mean	Ua/Di	0.0001471441856200073
FeretX_inverted_mean	Ua/Di	0.00014564442457387639
BX_inverted_mean	Ua/Di	0.00014472666102594012
Angle_inverted_mean	Ua/Di	0.000135945965238915
FeretX_mean	Ua/Di	0.0001327629762100102
X_inverted_mean	Ua/Di	0.00013114003520497963
BX_mean	Ua/Di	9.855248896906144e-05
Perim._mean	Ua/Di	9.716257132474926e-05
Perim._std	Ua/Di	9.682708113256666e-05
Y_inverted_mean	Ua/Di	8.044310434296431e-05
BX_inverted_std	Ua/Di	8.003763427677502e-05
Feret_mean	Ua/Di	7.832909454563719e-05
FeretX_inverted_std	Ua/Di	7.810101192817775e-05
MinFeret_mean	Ua/Di	7.57815605788581e-05
Width_inverted_mean	Ua/Di	7.323882138343674e-05
BY_mean	Ua/Di	7.06698605693612e-05
Height_inverted_mean	Ua/Di	6.791604639799775e-05
Minor_mean	Ua/Di	6.719968767199269e-05
Feret_inverted_mean	Ua/Di	6.53967428252411e-05
Minor_inverted_std	Ua/Di	6.49265218169992e-05
Height_mean	Ua/Di	6.044413266381721e-05
Width_mean	Ua/Di	5.715550576657069e-05
MinFeret_inverted_mean	Ua/Di	4.984854269374228e-05
Height_inverted_std	Ua/Di	4.668727716294896e-05
Width_inverted_std	Ua/Di	4.587294692570687e-05
X_inverted_std	Ua/Di	4.014609441438388e-05
Major_mean	Ua/Di	3.6588063427878126e-05
FeretY_inverted_mean	Ua/Di	3.370354362786099e-05
Feret_inverted_std	Ua/Di	3.327199865554853e-05
Y_mean	Ua/Di	2.8057436617046072e-05
BY_inverted_mean	Ua/Di	2.759140526609194e-05
Circ._mean	Ua/Di	2.3948684865326975e-05
Angle_inverted_std	Ua/Di	2.3327639220416252e-05
Major_inverted_std	Ua/Di	1.9709672548606783e-05
FeretY_inverted_std	Ua/Di	1.896897300190936e-05
MinFeret_inverted_std	Ua/Di	1.7346733478751375e-05
FeretAngle_inverted_mean	Ua/Di	1.6855879818367114e-05
Circ._inverted_std	Ua/Di	1.2639157741745066e-05
AR_mean	Ua/Di	7.215977898655801e-06
Perim._inverted_std	Ua/Di	6.095006161221939e-06
AR_std	Ua/Di	5.8090049398495935e-06
BY_inverted_std	Ua/Di	4.90449371881585e-06
Y_inverted_std	Ua/Di	3.3223974843510362e-06
Round_inverted_std	Ua/Di	2.0753175552501446e-06
FeretAngle_inverted_std	Ua/Di	1.03237104753795e-07
