feat	param	r2
%Area_std	Ua/Ga	1.0
%Area_inverted_std	Ua/Ga	1.0
%Area_mean	Ua/Ga	0.37180865297595933
Mean_inverted	Ua/Ga	0.2772380124699336
Mean	Ua/Ga	0.27723801207194254
RawIntDen_inverted_mean	Ua/Ga	0.27136383026551214
IntDen_inverted_mean	Ua/Ga	0.27136383026551214
Median_inverted	Ua/Ga	0.2090969655491166
Median	Ua/Ga	0.2090969655491166
RawIntDen_mean	Ua/Ga	0.19150844489049335
IntDen_mean	Ua/Ga	0.19150844489049335
%Area_inverted_mean	Ua/Ga	0.1753001004520437
Solidity_inverted_mean	Ua/Ga	0.034240824793755786
Circ._inverted_mean	Ua/Ga	0.026861011372449894
Angle_mean	Ua/Ga	0.02594489176264414
Area_inverted_mean	Ua/Ga	0.023849732936495838
Round_std	Ua/Ga	0.02298579108327925
Round_mean	Ua/Ga	0.021693795019614437
FeretAngle_std	Ua/Ga	0.021667536996663683
FeretY_mean	Ua/Ga	0.021054202073825468
FeretAngle_mean	Ua/Ga	0.020853289174452394
FeretY_std	Ua/Ga	0.020817005270260536
Area_mean	Ua/Ga	0.02056242798701402
BY_std	Ua/Ga	0.02053721197509184
Y_std	Ua/Ga	0.02046837534154966
X_std	Ua/Ga	0.020329458408789525
FeretX_std	Ua/Ga	0.020262047916503878
BX_std	Ua/Ga	0.02020689163904732
Angle_std	Ua/Ga	0.020020232840968544
Minor_mean	Ua/Ga	0.01951867618286074
Major_mean	Ua/Ga	0.018908292913573987
MinFeret_mean	Ua/Ga	0.01889964845058567
Feret_mean	Ua/Ga	0.01875386793262257
Height_mean	Ua/Ga	0.01862352747991658
Width_mean	Ua/Ga	0.018619243492355997
FeretX_mean	Ua/Ga	0.018567829780649303
BY_mean	Ua/Ga	0.018431217514424447
BX_mean	Ua/Ga	0.018359391814832815
Minor_inverted_mean	Ua/Ga	0.01784271129434578
Major_inverted_mean	Ua/Ga	0.017620431696548255
Circ._std	Ua/Ga	0.017451922939195175
Perim._mean	Ua/Ga	0.017091292067816455
Angle_inverted_mean	Ua/Ga	0.016023253757997624
AR_mean	Ua/Ga	0.015024906599770183
AR_std	Ua/Ga	0.014721641384798478
num_spots	Ua/Ga	0.010497639899529121
Round_inverted_mean	Ua/Ga	0.010398101104697632
Solidity_mean	Ua/Ga	0.00902239534119642
Feret_inverted_mean	Ua/Ga	0.008511594062728833
MinFeret_inverted_mean	Ua/Ga	0.008501073244364
Height_inverted_mean	Ua/Ga	0.008394350036680764
Width_inverted_mean	Ua/Ga	0.00838324408409108
Major_std	Ua/Ga	0.008058708908656564
BY_inverted_mean	Ua/Ga	0.00796019027660988
X_inverted_std	Ua/Ga	0.007876578727796568
Solidity_inverted_std	Ua/Ga	0.00785748365760297
Solidity_std	Ua/Ga	0.007784034999086642
Round_inverted_std	Ua/Ga	0.007709594019723376
BY_inverted_std	Ua/Ga	0.007670262758849078
FeretX_inverted_mean	Ua/Ga	0.007652718848207396
BX_inverted_mean	Ua/Ga	0.007598396052573286
Y_inverted_std	Ua/Ga	0.007586070110743082
FeretX_inverted_std	Ua/Ga	0.007523174592087956
BX_inverted_std	Ua/Ga	0.007495478862845406
FeretY_inverted_std	Ua/Ga	0.007493467585168112
FeretY_inverted_mean	Ua/Ga	0.007102814087395659
Angle_inverted_std	Ua/Ga	0.00697456852975209
Height_std	Ua/Ga	0.006891296793363422
Width_std	Ua/Ga	0.006780680907757852
FeretAngle_inverted_std	Ua/Ga	0.006720745971666275
Circ._inverted_std	Ua/Ga	0.006461237279752341
Feret_std	Ua/Ga	0.0060882605919622135
AR_inverted_std	Ua/Ga	0.0057356360299409825
Minor_std	Ua/Ga	0.005584215119442626
MinFeret_std	Ua/Ga	0.005563285567366294
FeretAngle_inverted_mean	Ua/Ga	0.005199958687749695
AR_inverted_mean	Ua/Ga	0.004567308945121029
Width_inverted_std	Ua/Ga	0.0042822143006412405
Height_inverted_std	Ua/Ga	0.004228679375041455
Feret_inverted_std	Ua/Ga	0.0040743899116362225
Major_inverted_std	Ua/Ga	0.003735034997490283
Perim._std	Ua/Ga	0.0036483826885428394
MinFeret_inverted_std	Ua/Ga	0.003592142427844558
IntDen_std	Ua/Ga	0.003499974162360364
RawIntDen_std	Ua/Ga	0.003499974162360364
Area_std	Ua/Ga	0.003499974162360142
Perim._inverted_std	Ua/Ga	0.003257326578569475
Minor_inverted_std	Ua/Ga	0.002723411611751936
Circ._mean	Ua/Ga	0.002054690439257878
Area_inverted_std	Ua/Ga	0.0019974726717729707
RawIntDen_inverted_std	Ua/Ga	0.0019974726717728597
IntDen_inverted_std	Ua/Ga	0.0019974726717728597
num_spots_inverted	Ua/Ga	0.0010842675206199637
Perim._inverted_mean	Ua/Ga	0.00018857317576670418
Y_inverted_mean	Ua/Ga	0.000109120474079627
X_inverted_mean	Ua/Ga	9.371362904908587e-05
X_mean	Ua/Ga	7.867836624808611e-05
Y_mean	Ua/Ga	8.606158863333491e-08
