feat	param	r2
%Area_std	Ui/Ba	1.0
%Area_inverted_std	Ui/Ba	1.0
Mean	Ui/Ba	0.2571356646018963
Mean_inverted	Ui/Ba	0.2571356641875828
%Area_inverted_mean	Ui/Ba	0.255073853283454
RawIntDen_mean	Ui/Ba	0.2518185571223026
IntDen_mean	Ui/Ba	0.2518185571223026
IntDen_inverted_mean	Ui/Ba	0.23573925615685432
RawIntDen_inverted_mean	Ui/Ba	0.23573925615685432
Median	Ui/Ba	0.2347832329651267
Median_inverted	Ui/Ba	0.2347832329651267
Major_mean	Ui/Ba	0.07357231949756238
Width_mean	Ui/Ba	0.07295242015733716
Height_mean	Ui/Ba	0.07294752194164811
Minor_mean	Ui/Ba	0.07277380063568639
Feret_mean	Ui/Ba	0.07275055434317856
MinFeret_mean	Ui/Ba	0.07253096060328079
Area_mean	Ui/Ba	0.07237758955822138
BX_mean	Ui/Ba	0.07168918263281032
FeretX_mean	Ui/Ba	0.07140421830921706
BY_mean	Ui/Ba	0.07137220654787524
Perim._mean	Ui/Ba	0.07055092417436448
X_std	Ui/Ba	0.0681264229763251
Angle_std	Ui/Ba	0.06792115498283158
Y_std	Ui/Ba	0.06759062076694011
BY_std	Ui/Ba	0.06557926225707678
BX_std	Ui/Ba	0.06545424644038478
FeretY_std	Ui/Ba	0.06538893121868561
FeretX_std	Ui/Ba	0.06528315406140228
FeretY_mean	Ui/Ba	0.0649422326935154
Round_std	Ui/Ba	0.06035523957431521
%Area_mean	Ui/Ba	0.05649697901585604
FeretAngle_std	Ui/Ba	0.05270543535169625
Angle_inverted_mean	Ui/Ba	0.04269785700817996
Angle_mean	Ui/Ba	0.03988273612893278
Circ._mean	Ui/Ba	0.03489526260143749
Round_mean	Ui/Ba	0.033777464794123024
num_spots	Ui/Ba	0.03185973210447868
Solidity_mean	Ui/Ba	0.029108854434251152
FeretAngle_mean	Ui/Ba	0.028827418084478973
AR_std	Ui/Ba	0.027579225133492757
Solidity_std	Ui/Ba	0.025536528131969827
AR_mean	Ui/Ba	0.019731713376562987
Circ._inverted_mean	Ui/Ba	0.017703512411961442
Circ._std	Ui/Ba	0.012110946255531996
Solidity_inverted_mean	Ui/Ba	0.011535184558129075
FeretAngle_inverted_mean	Ui/Ba	0.008355183644172759
FeretY_inverted_mean	Ui/Ba	0.0076861531999482535
Area_inverted_mean	Ui/Ba	0.002981816807425597
Perim._inverted_mean	Ui/Ba	0.0015401898215565701
Minor_inverted_mean	Ui/Ba	0.0011833159081821032
Major_inverted_mean	Ui/Ba	0.0011179649475048237
Height_std	Ui/Ba	0.0005437562954205832
Width_std	Ui/Ba	0.0005280673480047016
Area_inverted_std	Ui/Ba	0.0005187407695201873
IntDen_inverted_std	Ui/Ba	0.0005187407695200763
RawIntDen_inverted_std	Ui/Ba	0.0005187407695200763
Major_std	Ui/Ba	0.0004495168737284061
Major_inverted_std	Ui/Ba	0.00039078748155352283
Minor_inverted_std	Ui/Ba	0.00037991147049587504
MinFeret_std	Ui/Ba	0.0003496997156519077
Feret_std	Ui/Ba	0.00031884329417586343
Minor_std	Ui/Ba	0.00028099178768425936
MinFeret_inverted_std	Ui/Ba	0.00021869581072719857
Feret_inverted_std	Ui/Ba	0.00021251864817095623
num_spots_inverted	Ui/Ba	0.00020767246409036932
Width_inverted_std	Ui/Ba	0.00020479805496487202
Height_inverted_std	Ui/Ba	0.00020117238596550902
X_mean	Ui/Ba	0.00018410673081237228
Y_mean	Ui/Ba	0.00017333685823917033
Round_inverted_mean	Ui/Ba	0.00017259044104522836
Perim._inverted_std	Ui/Ba	0.00016089165547883422
Perim._std	Ui/Ba	7.403150901807987e-05
Circ._inverted_std	Ui/Ba	7.121281655997347e-05
X_inverted_std	Ui/Ba	6.816967455847145e-05
FeretAngle_inverted_std	Ui/Ba	6.435484651490242e-05
FeretX_inverted_std	Ui/Ba	6.282580936467497e-05
BX_inverted_std	Ui/Ba	6.106533711225381e-05
BY_inverted_std	Ui/Ba	5.8458831825203283e-05
FeretY_inverted_std	Ui/Ba	5.724162292708446e-05
Feret_inverted_mean	Ui/Ba	4.0695494844755764e-05
BY_inverted_mean	Ui/Ba	3.6851595888065525e-05
Angle_inverted_std	Ui/Ba	3.677764088572122e-05
Round_inverted_std	Ui/Ba	3.511587641591429e-05
MinFeret_inverted_mean	Ui/Ba	3.4924001900082935e-05
Height_inverted_mean	Ui/Ba	3.3506429326424225e-05
Y_inverted_std	Ui/Ba	3.3215549046783366e-05
Width_inverted_mean	Ui/Ba	3.27665134742805e-05
BX_inverted_mean	Ui/Ba	2.2308762099743085e-05
FeretX_inverted_mean	Ui/Ba	2.0756420122003405e-05
AR_inverted_mean	Ui/Ba	1.6317637433704846e-05
Solidity_inverted_std	Ui/Ba	1.530362935420193e-05
X_inverted_mean	Ui/Ba	7.856783534099243e-06
IntDen_std	Ui/Ba	4.254389349811483e-06
RawIntDen_std	Ui/Ba	4.254389349811483e-06
Area_std	Ui/Ba	4.254389349589438e-06
Y_inverted_mean	Ui/Ba	3.998367578916806e-06
AR_inverted_std	Ui/Ba	2.4924701735873356e-07
