feat	param	r2
%Area_std	Ui/Da	1.0
%Area_inverted_std	Ui/Da	1.0
Mean_inverted	Ui/Da	0.18786686784524065
Mean	Ui/Da	0.18786686778560702
IntDen_inverted_mean	Ui/Da	0.17687939964447108
RawIntDen_inverted_mean	Ui/Da	0.17687939964447108
Median_inverted	Ui/Da	0.16655536149570516
Median	Ui/Da	0.16655536149570516
RawIntDen_mean	Ui/Da	0.16387783943489942
IntDen_mean	Ui/Da	0.16387783943489942
%Area_inverted_mean	Ui/Da	0.15719907173598913
%Area_mean	Ui/Da	0.054598855380004085
Major_mean	Ui/Da	0.03185328332117365
Perim._mean	Ui/Da	0.03183495675025627
Height_mean	Ui/Da	0.03175041175121618
Width_mean	Ui/Da	0.03171208308047402
Feret_mean	Ui/Da	0.031682878010322546
MinFeret_mean	Ui/Da	0.031605335465337725
Minor_mean	Ui/Da	0.0315868075201603
Area_mean	Ui/Da	0.0315633724521478
BY_mean	Ui/Da	0.0314217469462833
BX_mean	Ui/Da	0.03111665501364702
FeretX_mean	Ui/Da	0.03105024202365958
Angle_std	Ui/Da	0.03033680661931426
X_std	Ui/Da	0.029268621098616276
Y_std	Ui/Da	0.02893239717918994
BY_std	Ui/Da	0.02819402457276421
FeretY_std	Ui/Da	0.02787238760018884
BX_std	Ui/Da	0.027454032823608365
FeretX_std	Ui/Da	0.02740642181364894
Round_std	Ui/Da	0.027093649375985907
FeretY_mean	Ui/Da	0.026961014546698636
FeretAngle_std	Ui/Da	0.023097884024343873
Circ._mean	Ui/Da	0.018194865358051038
AR_std	Ui/Da	0.01601439044122477
Angle_mean	Ui/Da	0.01536062573328012
Angle_inverted_mean	Ui/Da	0.014854216744015325
Round_mean	Ui/Da	0.012895476788854165
FeretAngle_mean	Ui/Da	0.010986140890504759
AR_mean	Ui/Da	0.009136690140510884
Solidity_mean	Ui/Da	0.008895422312894086
Solidity_std	Ui/Da	0.008191045982574918
Circ._inverted_mean	Ui/Da	0.00399948233327152
Circ._std	Ui/Da	0.002925638071195502
Perim._inverted_mean	Ui/Da	0.0026170082342413803
FeretX_inverted_mean	Ui/Da	0.0025830817049316
BX_inverted_mean	Ui/Da	0.00255714570608645
num_spots_inverted	Ui/Da	0.002459848403291276
Width_inverted_mean	Ui/Da	0.0021573301514872245
BX_inverted_std	Ui/Da	0.002144683475904796
Height_inverted_mean	Ui/Da	0.0021330015779938982
Feret_inverted_mean	Ui/Da	0.002112666623603099
FeretX_inverted_std	Ui/Da	0.002109734181510836
MinFeret_inverted_mean	Ui/Da	0.002054307739831396
X_inverted_std	Ui/Da	0.0019249003508837736
BY_inverted_mean	Ui/Da	0.0018702737219724597
Round_inverted_std	Ui/Da	0.0018596201284084568
Y_inverted_std	Ui/Da	0.0018532632833340168
Angle_inverted_std	Ui/Da	0.0018346194384550873
FeretY_inverted_std	Ui/Da	0.001725623589988512
FeretAngle_inverted_mean	Ui/Da	0.0016807002759727796
BY_inverted_std	Ui/Da	0.0016624811540622009
Solidity_inverted_std	Ui/Da	0.0014896983712979761
Major_inverted_mean	Ui/Da	0.0014045621062903635
FeretAngle_inverted_std	Ui/Da	0.001366566275254999
RawIntDen_std	Ui/Da	0.0012118791932781425
IntDen_std	Ui/Da	0.0012118791932781425
Area_std	Ui/Da	0.0012118791932779205
Minor_inverted_mean	Ui/Da	0.0011882615783417316
Circ._inverted_std	Ui/Da	0.0011597039942199405
FeretY_inverted_mean	Ui/Da	0.0009095445332956142
AR_inverted_std	Ui/Da	0.0007670766673746332
Round_inverted_mean	Ui/Da	0.0006979885481460668
Area_inverted_mean	Ui/Da	0.0005566402054688613
Solidity_inverted_mean	Ui/Da	0.0005351546361664905
Perim._std	Ui/Da	0.0005004091233635766
Perim._inverted_std	Ui/Da	0.0004510985991221794
Minor_std	Ui/Da	0.0003803704392102425
Feret_std	Ui/Da	0.00030119920821503054
num_spots	Ui/Da	0.0002857840117859167
Major_std	Ui/Da	0.00028418711033528776
Height_inverted_std	Ui/Da	0.00026811444651808625
MinFeret_std	Ui/Da	0.00026516502792028884
Width_inverted_std	Ui/Da	0.0002620208857704309
Feret_inverted_std	Ui/Da	0.0002486806000748798
MinFeret_inverted_std	Ui/Da	0.0002298354353567067
X_inverted_mean	Ui/Da	0.00021578015996648325
AR_inverted_mean	Ui/Da	0.00017824472369631916
Height_std	Ui/Da	0.00016049403892381964
Width_std	Ui/Da	0.000141984408139173
Major_inverted_std	Ui/Da	9.339354143911294e-05
Minor_inverted_std	Ui/Da	8.69266807883573e-05
X_mean	Ui/Da	6.964165686917934e-05
Area_inverted_std	Ui/Da	5.782730829628768e-06
RawIntDen_inverted_std	Ui/Da	5.782730829295701e-06
IntDen_inverted_std	Ui/Da	5.782730829295701e-06
Y_mean	Ui/Da	3.597505306984772e-07
Y_inverted_mean	Ui/Da	3.4342507893025953e-07
