feat	param	r2
%Area_inverted_std	Ui/Gi	1.0
%Area_std	Ui/Gi	1.0
Mean_inverted	Ui/Gi	0.1985913964694569
Mean	Ui/Gi	0.19859139425785688
RawIntDen_inverted_mean	Ui/Gi	0.1935148765239587
IntDen_inverted_mean	Ui/Gi	0.1935148765239587
IntDen_mean	Ui/Gi	0.19115210016393747
RawIntDen_mean	Ui/Gi	0.19115210016393747
Median	Ui/Gi	0.1824342114194074
Median_inverted	Ui/Gi	0.1824342114194074
%Area_inverted_mean	Ui/Gi	0.1795222901363409
Perim._mean	Ui/Gi	0.051280027853078614
%Area_mean	Ui/Gi	0.051077859292208205
Width_mean	Ui/Gi	0.04957734122734314
Height_mean	Ui/Gi	0.04956905169437731
Feret_mean	Ui/Gi	0.049397047293894714
MinFeret_mean	Ui/Gi	0.049183560466206866
Major_mean	Ui/Gi	0.048760000181958474
Minor_mean	Ui/Gi	0.048062449562041976
BX_mean	Ui/Gi	0.04801501519435525
BY_mean	Ui/Gi	0.047889194262102586
FeretX_mean	Ui/Gi	0.047745741069845526
Area_mean	Ui/Gi	0.04692859997440846
Angle_std	Ui/Gi	0.045696568928407566
X_std	Ui/Gi	0.04509098225278041
Y_std	Ui/Gi	0.044255041133747564
BX_std	Ui/Gi	0.04238595376134069
FeretY_std	Ui/Gi	0.0422955847473061
FeretX_std	Ui/Gi	0.04226096951038116
BY_std	Ui/Gi	0.04195438622873515
Circ._mean	Ui/Gi	0.04064870777920815
FeretY_mean	Ui/Gi	0.04025014637862301
Round_std	Ui/Gi	0.03597882085266613
FeretAngle_std	Ui/Gi	0.033822041273133374
Angle_inverted_mean	Ui/Gi	0.023362055624393974
num_spots	Ui/Gi	0.021907720273333098
Round_mean	Ui/Gi	0.01825515048147197
Angle_mean	Ui/Gi	0.017959832069517012
Circ._inverted_mean	Ui/Gi	0.015742896077376223
FeretAngle_mean	Ui/Gi	0.015219322123922296
AR_std	Ui/Gi	0.013837337854967435
Solidity_std	Ui/Gi	0.009192403196016663
AR_mean	Ui/Gi	0.008727408310185147
Solidity_inverted_mean	Ui/Gi	0.008556530180702682
Solidity_mean	Ui/Gi	0.0071411644044842015
Perim._inverted_mean	Ui/Gi	0.007053282628404656
Angle_inverted_std	Ui/Gi	0.0036927445418215576
Width_inverted_mean	Ui/Gi	0.0036388108443398126
Height_inverted_mean	Ui/Gi	0.0036138424519778223
Feret_inverted_mean	Ui/Gi	0.0035777144576929487
MinFeret_inverted_mean	Ui/Gi	0.0034961664797956704
Y_inverted_std	Ui/Gi	0.003400705119771308
num_spots_inverted	Ui/Gi	0.0033169592563327965
FeretAngle_inverted_std	Ui/Gi	0.003316809076650329
FeretX_inverted_mean	Ui/Gi	0.0032788764179930707
FeretAngle_inverted_mean	Ui/Gi	0.0032561163423723283
BX_inverted_mean	Ui/Gi	0.003251668456508816
X_inverted_std	Ui/Gi	0.00318215883242301
BY_inverted_mean	Ui/Gi	0.0030665955138063916
FeretY_inverted_std	Ui/Gi	0.002982898560392022
BY_inverted_std	Ui/Gi	0.0027981336808518
Round_inverted_std	Ui/Gi	0.002765558791834599
BX_inverted_std	Ui/Gi	0.002593425072002442
Circ._std	Ui/Gi	0.002591672610667284
FeretX_inverted_std	Ui/Gi	0.002582389926446327
FeretY_inverted_mean	Ui/Gi	0.002149365967386796
Major_inverted_mean	Ui/Gi	0.0010114840283110826
Circ._inverted_std	Ui/Gi	0.0009795285235744133
Minor_inverted_mean	Ui/Gi	0.0008837232657538108
Perim._std	Ui/Gi	0.0007637539852050068
Area_std	Ui/Gi	0.0006082456694216365
IntDen_std	Ui/Gi	0.0006082456694216365
RawIntDen_std	Ui/Gi	0.0006082456694216365
Round_inverted_mean	Ui/Gi	0.0005033229008467588
Y_mean	Ui/Gi	0.0004736283234205718
Solidity_inverted_std	Ui/Gi	0.0004460880497217934
AR_inverted_std	Ui/Gi	0.00036921200620188
Perim._inverted_std	Ui/Gi	0.00033661552781938386
Feret_std	Ui/Gi	0.0002833114402599479
Major_inverted_std	Ui/Gi	0.00027642792409809935
MinFeret_std	Ui/Gi	0.0002452652694819868
Height_inverted_std	Ui/Gi	0.00019551606522383302
Minor_inverted_std	Ui/Gi	0.00018968809428487887
Width_inverted_std	Ui/Gi	0.00018790076895391916
Feret_inverted_std	Ui/Gi	0.00017377097141657583
MinFeret_inverted_std	Ui/Gi	0.00016444063411269472
Minor_std	Ui/Gi	0.0001566933017300709
Height_std	Ui/Gi	0.00015458131629786376
Width_std	Ui/Gi	0.00015160319031448655
Area_inverted_std	Ui/Gi	0.00012345407173719458
IntDen_inverted_std	Ui/Gi	0.00012345407173708356
RawIntDen_inverted_std	Ui/Gi	0.00012345407173708356
Area_inverted_mean	Ui/Gi	8.332035123936876e-05
Major_std	Ui/Gi	6.591737952810206e-05
X_inverted_mean	Ui/Gi	5.665073009308852e-05
Y_inverted_mean	Ui/Gi	1.4965538707278903e-05
X_mean	Ui/Gi	3.478007592483401e-06
AR_inverted_mean	Ui/Gi	2.527313481048843e-06
