feat	param	r2
%Area_inverted_std	Ui	1.0
%Area_std	Ui	1.0
Mean	Ui	0.19799696755227225
Mean_inverted	Ui	0.1979969664721266
RawIntDen_inverted_mean	Ui	0.18579767265846048
IntDen_inverted_mean	Ui	0.18579767265846048
Median_inverted	Ui	0.17587574940200223
Median	Ui	0.17587574940200223
IntDen_mean	Ui	0.17374391800459632
RawIntDen_mean	Ui	0.17374391800459632
%Area_inverted_mean	Ui	0.1683744480812408
%Area_mean	Ui	0.054542975802371996
Major_mean	Ui	0.036316939861120834
Height_mean	Ui	0.03614460444592238
Width_mean	Ui	0.03610172930241773
Feret_mean	Ui	0.036048673178197155
Perim._mean	Ui	0.036022625133284136
Minor_mean	Ui	0.03598198132658981
MinFeret_mean	Ui	0.035964279430866
Area_mean	Ui	0.0359301532999049
BY_mean	Ui	0.035662959864593335
BX_mean	Ui	0.03541467891934824
FeretX_mean	Ui	0.03531023539684597
Angle_std	Ui	0.03433429002830124
X_std	Ui	0.0332508989671394
Y_std	Ui	0.03286646521651193
BY_std	Ui	0.03188522385861148
FeretY_std	Ui	0.031631317251906044
BX_std	Ui	0.03120141776859775
FeretX_std	Ui	0.031131053973145306
FeretY_mean	Ui	0.030888953172817257
Round_std	Ui	0.030708912342064965
FeretAngle_std	Ui	0.025810211579096243
Circ._mean	Ui	0.020082363270462533
AR_std	Ui	0.017796140706123453
Angle_mean	Ui	0.017611310076738662
Angle_inverted_mean	Ui	0.01724053846953888
Round_mean	Ui	0.014876383830009776
FeretAngle_mean	Ui	0.012343002367785294
Solidity_mean	Ui	0.010739175509445364
AR_mean	Ui	0.010407343145012793
Solidity_std	Ui	0.009992245976111702
Circ._inverted_mean	Ui	0.004544136807559163
Circ._std	Ui	0.003585370173532665
Perim._inverted_mean	Ui	0.0023983970822326617
FeretX_inverted_mean	Ui	0.002121930046975362
BX_inverted_mean	Ui	0.0020851396531282873
FeretAngle_inverted_mean	Ui	0.0019272013254520992
Width_inverted_mean	Ui	0.0016985473642897597
BX_inverted_std	Ui	0.0016939420566295382
Height_inverted_mean	Ui	0.0016767906960131196
FeretX_inverted_std	Ui	0.0016651192575731777
Feret_inverted_mean	Ui	0.0016609563555314288
MinFeret_inverted_mean	Ui	0.0016220847425093554
num_spots_inverted	Ui	0.0015584269278402507
Round_inverted_std	Ui	0.001552177018290135
X_inverted_std	Ui	0.0015142183695643352
Y_inverted_std	Ui	0.001498490831679411
Angle_inverted_std	Ui	0.0014680232699043616
BY_inverted_mean	Ui	0.0014497192142887139
Solidity_inverted_std	Ui	0.0014253524076848212
FeretY_inverted_std	Ui	0.0013908787466985206
BY_inverted_std	Ui	0.0013095814454857635
RawIntDen_std	Ui	0.0011717035104008566
IntDen_std	Ui	0.0011717035104008566
Area_std	Ui	0.0011717035104005236
FeretY_inverted_mean	Ui	0.001169528595144187
FeretAngle_inverted_std	Ui	0.001088294978383919
num_spots	Ui	0.0010821263771241263
Circ._inverted_std	Ui	0.0010618798521363493
Major_inverted_mean	Ui	0.0009847540747295325
Minor_inverted_mean	Ui	0.0008201589704898149
Solidity_inverted_mean	Ui	0.0007594249816902376
AR_inverted_std	Ui	0.0007085814636046406
Round_inverted_mean	Ui	0.000593454495466661
Perim._std	Ui	0.00044120162121108475
Perim._inverted_std	Ui	0.0003993661505435897
Minor_std	Ui	0.0003319661686305153
Area_inverted_mean	Ui	0.0002992916597072126
Height_inverted_std	Ui	0.00026880472654067233
Width_inverted_std	Ui	0.00026056448676448074
Feret_std	Ui	0.0002542483079439606
Feret_inverted_std	Ui	0.0002479238738384293
X_inverted_mean	Ui	0.00023978937581781157
Major_std	Ui	0.0002396822339497673
MinFeret_inverted_std	Ui	0.000225117973974287
MinFeret_std	Ui	0.00022504238877518734
AR_inverted_mean	Ui	0.00017518959549789326
Height_std	Ui	0.000124139523093314
Width_std	Ui	0.00010962866505659363
Major_inverted_std	Ui	8.657967836978031e-05
Minor_inverted_std	Ui	7.81639827890368e-05
X_mean	Ui	7.531487499767842e-05
Y_mean	Ui	8.533325169479689e-06
Area_inverted_std	Ui	3.5937844421463083e-06
RawIntDen_inverted_std	Ui	3.5937844421463083e-06
IntDen_inverted_std	Ui	3.5937844421463083e-06
Y_inverted_mean	Ui	2.054962147446382e-06
