 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,F2_A 8_(green)_(0-100).tif,40000,92.578,122.626,0,0,255,100.000,100.000,94.697,95.634,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,3703110,0,0.570,-1.676,36.305,3703110,0,0,135.000,200.000,1.000,1.000,1.000
2,F2_A 8_(green)_(0-100).tif,2261,255.000,0.000,255,255,255,32.482,38.535,32.482,38.535,329.563,0,0,76,99,108.418,26.553,126.271,0.262,123.004,576555,255,NaN,NaN,100.000,576555,0,0,126.404,46.671,4.083,0.245,0.637
3,F2_A 8_(green)_(0-100).tif,1410,255.000,0.000,255,255,255,173.477,14.618,173.477,14.618,184.953,145,0,55,40,54.501,32.940,9.416,0.518,60.440,359550,255,NaN,NaN,100.000,359550,153,38,38.956,37.882,1.655,0.604,0.842
4,F2_A 8_(green)_(0-100).tif,2601,255.000,0.000,255,255,255,124.156,100.049,124.156,100.049,479.446,110,10,29,190,194.565,17.021,90.643,0.142,190.095,663255,255,NaN,NaN,100.000,663255,123,10,91.809,28.561,11.431,0.087,0.590
5,F2_A 8_(green)_(0-100).tif,2018,255.000,0.000,255,255,255,79.994,51.023,79.994,51.023,242.108,47,17,61,70,78.829,32.594,129.732,0.433,83.546,514590,255,NaN,NaN,100.000,514590,50,19,132.089,40.661,2.418,0.413,0.807
6,F2_A 8_(green)_(0-100).tif,124,255.000,0.000,255,255,255,188.226,58.323,188.226,58.323,57.941,183,46,11,22,19.536,8.081,89.247,0.464,22.361,31620,255,NaN,NaN,100.000,31620,190,46,100.305,10.348,2.417,0.414,0.723
7,F2_A 8_(green)_(0-100).tif,2103,255.000,0.000,255,255,255,71.513,144.639,71.513,144.639,306.492,46,104,54,96,76.982,34.782,63.917,0.281,100.578,536265,255,NaN,NaN,100.000,536265,46,200,72.646,44.904,2.213,0.452,0.702
8,F2_A 8_(green)_(0-100).tif,1850,255.000,0.000,255,255,255,21.555,148.625,21.555,148.625,235.966,6,107,32,85,87.581,26.895,93.597,0.418,87.556,471750,255,NaN,NaN,100.000,471750,10,107,103.878,30.954,3.256,0.307,0.795
9,F2_A 8_(green)_(0-100).tif,1654,255.000,0.000,255,255,255,164.426,144.614,164.426,144.614,187.723,142,107,44,72,72.051,29.228,61.897,0.590,75.895,421770,255,NaN,NaN,100.000,421770,151,179,71.565,32.255,2.465,0.406,0.884
10,F2_A 8_(green)_(0-100).tif,501,255.000,0.000,255,255,255,174.081,184.256,174.081,184.256,97.255,161,167,25,33,38.944,16.380,62.115,0.666,40.224,127755,255,NaN,NaN,100.000,127755,161,200,55.125,17.441,2.378,0.421,0.915
