 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MLC_F1_11-20-23_(green)_(0-105).tif,40000,15.306,60.572,0,0,255,100.000,100.000,102.778,110.754,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,612255,0,3.705,11.724,6.003,612255,0,0,135.000,200.000,1.000,1.000,1.000
2,MLC_F1_11-20-23_(green)_(0-105).tif,9,255.000,0.000,255,255,255,32.611,1.944,32.611,1.944,10.485,31,0,3,4,4.563,2.511,116.565,1.000,5.000,2295,255,NaN,NaN,100.000,2295,31,0,126.870,3.000,1.817,0.550,0.857
3,MLC_F1_11-20-23_(green)_(0-105).tif,1,255.000,0.000,255,255,255,77.500,0.500,77.500,0.500,2.828,77,0,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,77,0,135.000,1.000,1.000,1.000,1.000
4,MLC_F1_11-20-23_(green)_(0-105).tif,2,255.000,0.000,255,255,255,105.500,1.000,105.500,1.000,4.828,105,0,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,105,0,116.565,1.000,2.000,0.500,1.000
5,MLC_F1_11-20-23_(green)_(0-105).tif,34,255.000,0.000,255,255,255,73.265,8.765,73.265,8.765,22.971,70,5,6,8,8.438,5.131,77.340,0.810,8.944,8670,255,NaN,NaN,100.000,8670,72,13,63.435,6.000,1.645,0.608,0.840
6,MLC_F1_11-20-23_(green)_(0-105).tif,15,255.000,0.000,255,255,255,32.900,15.700,32.900,15.700,17.071,31,12,3,7,7.784,2.453,85.935,0.647,7.616,3825,255,NaN,NaN,100.000,3825,31,19,66.801,3.000,3.173,0.315,0.833
7,MLC_F1_11-20-23_(green)_(0-105).tif,60,255.000,0.000,255,255,255,103.617,23.633,103.617,23.633,43.456,99,17,11,11,9.140,8.359,106.526,0.399,12.207,15300,255,NaN,NaN,100.000,15300,99,27,55.008,10.733,1.093,0.915,0.682
8,MLC_F1_11-20-23_(green)_(0-105).tif,7,255.000,0.000,255,255,255,74.500,19.500,74.500,19.500,8.485,73,18,3,3,3.772,2.363,45.000,1.000,4.243,1785,255,NaN,NaN,100.000,1785,73,21,45.000,2.828,1.596,0.626,0.875
9,MLC_F1_11-20-23_(green)_(0-105).tif,1,255.000,0.000,255,255,255,149.500,19.500,149.500,19.500,2.828,149,19,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,149,19,135.000,1.000,1.000,1.000,1.000
10,MLC_F1_11-20-23_(green)_(0-105).tif,5,255.000,0.000,255,255,255,74.900,24.700,74.900,24.700,7.657,74,23,2,3,3.144,2.025,108.435,1.000,3.606,1275,255,NaN,NaN,100.000,1275,74,23,123.690,2.000,1.553,0.644,0.909
11,MLC_F1_11-20-23_(green)_(0-105).tif,12,255.000,0.000,255,255,255,180.167,26.000,180.167,26.000,11.899,178,24,4,4,4.424,3.454,142.762,1.000,5.000,3060,255,NaN,NaN,100.000,3060,179,24,126.870,4.000,1.281,0.781,0.857
12,MLC_F1_11-20-23_(green)_(0-105).tif,39,255.000,0.000,255,255,255,32.397,36.474,32.397,36.474,26.142,30,31,5,11,10.140,4.897,92.863,0.717,11.045,9945,255,NaN,NaN,100.000,9945,32,31,95.194,5.000,2.071,0.483,0.867
13,MLC_F1_11-20-23_(green)_(0-105).tif,2,255.000,0.000,255,255,255,53.500,36.000,53.500,36.000,4.828,53,35,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,53,35,116.565,1.000,2.000,0.500,1.000
