 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_rnai_med_(green)_(0-109).tif,40000,62.124,109.465,0,0,255,100.000,100.000,97.519,114.209,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2484975,0,1.194,-0.573,24.363,2484975,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_rnai_med_(green)_(0-109).tif,120,255.000,0.000,255,255,255,62.817,6.133,62.817,6.133,53.698,56,0,15,15,16.720,9.138,146.220,0.523,19.849,30600,255,NaN,NaN,100.000,30600,56,0,130.914,12.728,1.830,0.547,0.712
3,RTO_rnai_med_(green)_(0-109).tif,835,255.000,0.000,255,255,255,89.078,22.241,89.078,22.241,341.889,59,0,60,46,40.603,26.184,29.923,0.090,64.498,212925,255,NaN,NaN,100.000,212925,63,40,29.745,43.282,1.551,0.645,0.416
4,RTO_rnai_med_(green)_(0-109).tif,2821,255.000,0.000,255,255,255,142.439,124.367,142.439,124.367,676.039,112,5,56,195,136.733,26.269,84.291,0.078,199.902,719355,255,NaN,NaN,100.000,719355,120,200,77.285,52.430,5.205,0.192,0.368
5,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,135.500,16.500,135.500,16.500,2.828,135,16,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,135,16,135.000,1.000,1.000,1.000,1.000
6,RTO_rnai_med_(green)_(0-109).tif,4,255.000,0.000,255,255,255,168.250,19.750,168.250,19.750,7.657,167,18,2,3,3.192,1.596,71.565,0.857,3.606,1020,255,NaN,NaN,100.000,1020,167,21,56.310,2.000,2.000,0.500,0.800
7,RTO_rnai_med_(green)_(0-109).tif,51,255.000,0.000,255,255,255,37.480,26.402,37.480,26.402,42.284,31,19,13,13,14.634,4.437,130.043,0.358,17.692,13005,255,NaN,NaN,100.000,13005,31,19,137.291,7.662,3.298,0.303,0.576
8,RTO_rnai_med_(green)_(0-109).tif,4319,255.000,0.000,255,255,255,66.686,136.223,66.686,136.223,1162.656,5,22,118,178,92.595,59.389,106.529,0.040,183.439,1101345,255,NaN,NaN,100.000,1101345,16,22,107.447,102.383,1.559,0.641,0.329
9,RTO_rnai_med_(green)_(0-109).tif,114,255.000,0.000,255,255,255,110.939,46.763,110.939,46.763,63.941,105,33,10,23,21.187,6.851,79.573,0.350,24.042,29070,255,NaN,NaN,100.000,29070,108,56,73.072,9.538,3.093,0.323,0.669
10,RTO_rnai_med_(green)_(0-109).tif,4,255.000,0.000,255,255,255,105.000,36.250,105.000,36.250,9.899,103,35,4,3,4.428,1.150,143.909,0.513,5.000,1020,255,NaN,NaN,100.000,1020,103,35,143.130,1.941,3.850,0.260,0.571
11,RTO_rnai_med_(green)_(0-109).tif,209,255.000,0.000,255,255,255,70.232,61.648,70.232,61.648,132.711,64,39,11,46,35.385,7.520,91.883,0.149,46.530,53295,255,NaN,NaN,100.000,53295,67,85,81.347,11.000,4.705,0.213,0.524
12,RTO_rnai_med_(green)_(0-109).tif,3,255.000,0.000,255,255,255,103.833,40.500,103.833,40.500,7.657,103,39,2,3,3.213,1.189,118.155,0.643,3.606,765,255,NaN,NaN,100.000,765,103,39,123.690,1.789,2.702,0.370,0.667
13,RTO_rnai_med_(green)_(0-109).tif,181,255.000,0.000,255,255,255,93.964,62.649,93.964,62.649,68.426,86,52,17,21,20.313,11.345,113.568,0.486,23.345,46155,255,NaN,NaN,100.000,46155,87,54,133.264,12.703,1.790,0.559,0.731
14,RTO_rnai_med_(green)_(0-109).tif,139,255.000,0.000,255,255,255,166.406,61.730,166.406,61.730,61.012,160,53,13,17,14.635,12.093,91.605,0.469,17.889,35445,255,NaN,NaN,100.000,35445,162,54,116.565,13.000,1.210,0.826,0.751
15,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,134.500,56.500,134.500,56.500,2.828,134,56,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,134,56,135.000,1.000,1.000,1.000,1.000
16,RTO_rnai_med_(green)_(0-109).tif,4,255.000,0.000,255,255,255,133.500,61.000,133.500,61.000,8.828,133,59,1,4,4.514,1.128,90.000,0.645,4.123,1020,255,NaN,NaN,100.000,1020,133,59,104.036,1.000,4.000,0.250,1.000
17,RTO_rnai_med_(green)_(0-109).tif,35,255.000,0.000,255,255,255,112.700,68.100,112.700,68.100,31.799,110,63,6,9,8.360,5.331,97.479,0.435,10.296,8925,255,NaN,NaN,100.000,8925,110,63,119.055,6.000,1.568,0.638,0.722
18,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,85.500,67.500,85.500,67.500,2.828,85,67,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,85,67,135.000,1.000,1.000,1.000,1.000
19,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,86.500,69.500,86.500,69.500,2.828,86,69,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,86,69,135.000,1.000,1.000,1.000,1.000
20,RTO_rnai_med_(green)_(0-109).tif,156,255.000,0.000,255,255,255,23.250,88.071,23.250,88.071,85.054,16,73,15,31,29.727,6.682,106.790,0.271,32.280,39780,255,NaN,NaN,100.000,39780,17,73,106.189,9.689,4.449,0.225,0.607
21,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,111.500,75.500,111.500,75.500,2.828,111,75,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,111,75,135.000,1.000,1.000,1.000,1.000
22,RTO_rnai_med_(green)_(0-109).tif,143,255.000,0.000,255,255,255,113.542,95.738,113.542,95.738,85.355,111,77,6,37,36.608,4.974,91.114,0.247,37.054,36465,255,NaN,NaN,100.000,36465,112,77,93.094,6.000,7.360,0.136,0.745
23,RTO_rnai_med_(green)_(0-109).tif,88,255.000,0.000,255,255,255,73.080,97.125,73.080,97.125,43.456,68,88,10,16,12.648,8.858,78.718,0.586,17.088,22440,255,NaN,NaN,100.000,22440,69,104,69.444,10.000,1.428,0.700,0.749
24,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,80.500,90.500,80.500,90.500,2.828,80,90,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,80,90,135.000,1.000,1.000,1.000,1.000
25,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,105.500,99.500,105.500,99.500,2.828,105,99,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,105,99,135.000,1.000,1.000,1.000,1.000
26,RTO_rnai_med_(green)_(0-109).tif,1,255.000,0.000,255,255,255,25.500,107.500,25.500,107.500,2.828,25,107,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,25,107,135.000,1.000,1.000,1.000,1.000
27,RTO_rnai_med_(green)_(0-109).tif,100,255.000,0.000,255,255,255,31.470,125.430,31.470,125.430,74.083,23,109,15,28,26.426,4.818,115.592,0.229,30.083,25500,255,NaN,NaN,100.000,25500,24,109,111.448,8.287,5.485,0.182,0.597
28,RTO_rnai_med_(green)_(0-109).tif,6,255.000,0.000,255,255,255,149.667,114.500,149.667,114.500,8.485,148,113,3,3,3.718,2.055,53.130,1.000,4.243,1530,255,NaN,NaN,100.000,1530,148,116,45.000,2.683,1.809,0.553,0.800
29,RTO_rnai_med_(green)_(0-109).tif,22,255.000,0.000,255,255,255,198.818,124.273,198.818,124.273,24.485,197,118,3,11,9.988,2.804,84.161,0.461,11.045,5610,255,NaN,NaN,100.000,5610,199,118,95.194,3.000,3.561,0.281,0.846
30,RTO_rnai_med_(green)_(0-109).tif,122,255.000,0.000,255,255,255,156.098,133.852,156.098,133.852,47.213,151,125,11,17,16.775,9.260,88.065,0.688,17.720,31110,255,NaN,NaN,100.000,31110,154,142,73.610,10.357,1.812,0.552,0.838
31,RTO_rnai_med_(green)_(0-109).tif,180,255.000,0.000,255,255,255,191.072,152.283,191.072,152.283,64.184,185,140,12,25,24.271,9.443,72.026,0.549,26.571,45900,255,NaN,NaN,100.000,45900,186,165,70.201,10.436,2.570,0.389,0.853
32,RTO_rnai_med_(green)_(0-109).tif,2,255.000,0.000,255,255,255,1.000,170.000,1.000,170.000,5.657,0,169,2,2,2.596,0.981,135.000,0.785,2.828,510,255,NaN,NaN,100.000,510,0,169,135.000,1.414,2.646,0.378,0.667
33,RTO_rnai_med_(green)_(0-109).tif,79,255.000,0.000,255,255,255,182.234,195.057,182.234,195.057,36.971,177,188,9,12,12.858,7.823,62.968,0.726,15.000,20145,255,NaN,NaN,100.000,20145,177,200,53.130,9.000,1.644,0.608,0.913
