 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,mpar_rto(c-c)_(green)_(0-137).tif,40000,23.479,73.730,0,0,255,100.000,100.000,108.632,119.522,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,939165,0,2.822,5.962,9.207,939165,0,0,135.000,200.000,1.000,1.000,1.000
2,mpar_rto(c-c)_(green)_(0-137).tif,17,255.000,0.000,255,255,255,113.912,3.794,113.912,3.794,19.071,112,0,3,8,8.899,2.432,93.154,0.587,8.544,4335,255,NaN,NaN,100.000,4335,112,0,110.556,3.000,3.659,0.273,0.829
3,mpar_rto(c-c)_(green)_(0-137).tif,34,255.000,0.000,255,255,255,132.294,7.235,132.294,7.235,23.314,130,3,5,9,9.092,4.761,75.754,0.786,9.849,8670,255,NaN,NaN,100.000,8670,131,12,66.038,5.000,1.910,0.524,0.883
4,mpar_rto(c-c)_(green)_(0-137).tif,4,255.000,0.000,255,255,255,187.000,13.500,187.000,13.500,7.657,186,12,2,3,3.216,1.583,58.283,0.857,3.606,1020,255,NaN,NaN,100.000,1020,186,15,56.310,2.000,2.031,0.492,0.800
5,mpar_rto(c-c)_(green)_(0-137).tif,1,255.000,0.000,255,255,255,179.500,14.500,179.500,14.500,2.828,179,14,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,179,14,135.000,1.000,1.000,1.000,1.000
6,mpar_rto(c-c)_(green)_(0-137).tif,5,255.000,0.000,255,255,255,90.500,17.100,90.500,17.100,10.485,89,15,3,4,4.409,1.444,49.265,0.572,5.000,1275,255,NaN,NaN,100.000,1275,89,19,53.130,2.121,3.053,0.328,0.625
7,mpar_rto(c-c)_(green)_(0-137).tif,59,255.000,0.000,255,255,255,182.331,21.585,182.331,21.585,40.042,176,16,13,10,9.248,8.123,10.002,0.462,13.342,15045,255,NaN,NaN,100.000,15045,176,22,167.005,10.000,1.139,0.878,0.641
8,mpar_rto(c-c)_(green)_(0-137).tif,2,255.000,0.000,255,255,255,188.000,18.500,188.000,18.500,4.243,187,18,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,187,18,153.435,1.000,2.000,0.500,1.000
9,mpar_rto(c-c)_(green)_(0-137).tif,4,255.000,0.000,255,255,255,19.250,20.750,19.250,20.750,9.071,18,19,3,3,3.589,1.419,135.000,0.611,4.243,1020,255,NaN,NaN,100.000,1020,18,19,135.000,2.121,2.530,0.395,0.615
10,mpar_rto(c-c)_(green)_(0-137).tif,7,255.000,0.000,255,255,255,33.071,23.500,33.071,23.500,17.314,31,20,4,7,7.045,1.265,117.039,0.293,8.062,1785,255,NaN,NaN,100.000,1785,31,20,119.745,2.236,5.568,0.180,0.500
11,mpar_rto(c-c)_(green)_(0-137).tif,41,255.000,0.000,255,255,255,166.305,26.500,166.305,26.500,37.213,163,20,6,15,14.818,3.523,78.425,0.372,15.297,10455,255,NaN,NaN,100.000,10455,166,35,78.690,4.651,4.206,0.238,0.641
12,mpar_rto(c-c)_(green)_(0-137).tif,49,255.000,0.000,255,255,255,111.214,25.459,111.214,25.459,28.385,106,21,9,9,9.542,6.538,39.713,0.764,10.630,12495,255,NaN,NaN,100.000,12495,107,28,41.186,8.232,1.459,0.685,0.824
13,mpar_rto(c-c)_(green)_(0-137).tif,1,255.000,0.000,255,255,255,183.500,27.500,183.500,27.500,2.828,183,27,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,183,27,135.000,1.000,1.000,1.000,1.000
14,mpar_rto(c-c)_(green)_(0-137).tif,2,255.000,0.000,255,255,255,7.500,29.000,7.500,29.000,4.828,7,28,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,7,28,116.565,1.000,2.000,0.500,1.000
